Target,Model,AUC,AUC_ROC,BEDROC,EF0.5,EF1,EF5,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er-beta,KarmaDock Raw,,0.90284375,0.651511162,21,15.75,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pim-2,KarmaDock Raw,,0.84255137,0.347222026,10.06666667,10.06666667,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts,KarmaDock Raw,,0.598919492,0.115651733,0,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnk1,KarmaDock Raw,,0.840703192,0.610912157,17.985,19.075,10.6690678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpa,KarmaDock Raw,,0.968477293,0.89176092,29.075,29.075,14.0362069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiv1pr,KarmaDock Raw,,0.890035073,0.901558072,32.86486486,27.38738739,15.88468468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr,KarmaDock Raw,,0.622328629,0.332135131,15.48,7.74,3.541176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alr2,KarmaDock Raw,,0.464535865,0.000745192,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurkb,KarmaDock Raw,,0.988085106,0.940953121,25.3125,27.84375,17.2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mk2,KarmaDock Raw,,0.93401421,0.635574399,23.32,18.55,11.05689655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam17,KarmaDock Raw,,0.688225399,0.429358227,20.48333333,15.3625,6.044262295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egfr,KarmaDock Raw,,0.853178694,0.788755506,30.1,25.08333333,12.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p38-alpha,KarmaDock Raw,,0.931117697,0.752540436,25.4375,25.4375,13.01065574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inha,KarmaDock Raw,,0.477341772,0.022280021,0,0,1.506147541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt1,KarmaDock Raw,,0.891469816,0.52826146,17.745,13.44318182,10.52669492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11betahsd1,KarmaDock Raw,,0.625813544,0.043208273,0,2.675,1.014655172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igf1r,KarmaDock Raw,,0.98279163,0.896636877,29.075,26.43181818,16.04137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cox1,KarmaDock Raw,,0.619560185,0.161457029,5.6,5.090909091,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tie2,KarmaDock Raw,,0.787791199,0.813791287,29.975,27.25,12.19322034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnk3,KarmaDock Raw,,0.856773504,0.740578139,25.20833333,25.20833333,11.09166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegfr2,KarmaDock Raw,,0.837679932,0.498517937,20.35,22.89375,6.505327869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,KarmaDock Raw,,0.993348624,1.04251862,30.975,30.975,18.28032787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ache,KarmaDock Raw,,0.58106961,0.190639637,10.15,7.6125,5.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fgfr1,KarmaDock Raw,,0.950790167,0.909590505,29.475,29.475,14.22931034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tp,KarmaDock Raw,,0.718140244,0.450826276,20.48,15.36,4.517647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pygl-out,KarmaDock Raw,,0.77972408,0.108976393,5.15,2.575,2.026229508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fxa,KarmaDock Raw,,0.969757366,0.870947032,23.88,24.42272727,15.68389831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gba,KarmaDock Raw,,0.636176471,0.217506718,10.25,10.25,2.016393443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsk3b,KarmaDock Raw,,0.928948498,0.691773123,30.125,20.08333333,11.04583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppara,KarmaDock Raw,,0.849545455,0.778435219,22.8,20.72727273,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdac8,KarmaDock Raw,,0.397110553,0.002267038,0,0,0.505737705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qpct,KarmaDock Raw,,0.985371452,0.740225012,25.79166667,25.79166667,16.23606557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hmgr,KarmaDock Raw,,0.968880535,1.031979993,30.925,30.925,18.25081967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parp-1,KarmaDock FF,,0.927794497,0.785524617,30.075,27.56875,12.53125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsp90,KarmaDock FF,,0.905029838,0.684858618,25.27083333,25.27083333,12.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar,KarmaDock FF,,0.905223881,0.969032451,16.075,16.075,9.54453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyp2a6,KarmaDock FF,,0.485788863,0.099751617,5.6375,2.505555556,1.002222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2a,KarmaDock FF,,0.668897306,0.267627676,15.35,7.675,4.026229508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdm2,KarmaDock FF,,0.842221262,0.578051398,29.925,24.48409091,8.115254237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jak3,KarmaDock FF,,0.941832325,0.717656565,23.94,24.48409091,11.15847458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ephb4,KarmaDock FF,,0.99697615,0.968719256,25.29166667,27.82083333,19.7275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxr,KarmaDock FF,,0.976737242,0.947814397,24.025,24.025,14.51510417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prkcq,KarmaDock FF,,0.870675559,0.702873297,25.04166667,25.04166667,12.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lck,KarmaDock FF,,0.889230439,0.819446652,25.0625,25.0625,14.53625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace2,KarmaDock FF,,0.520954962,0.036477063,0,0,1.523360656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdac2,KarmaDock FF,,0.521443782,0.038659521,0,0,2.023333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braf,KarmaDock FF,,0.727735043,0.306813997,10.08333333,12.60416667,5.041666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fkbp1a,KarmaDock FF,,0.970850796,0.990826446,30.825,30.825,16.67581967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thrombin,KarmaDock FF,,0.924082765,0.894577282,30.3,30.3,13.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnk2,KarmaDock FF,,0.585512367,0.443739939,29.3,15.98181818,4.546551724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kif11,KarmaDock FF,,0.647722412,0.10849836,5.0375,5.0375,1.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upa,KarmaDock FF,,0.717495675,0.754199592,29.9,29.9,10.13559322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pygl-in,KarmaDock FF,,0.818896812,0.568679399,20.53333333,17.96666667,9.593442623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
itk,KarmaDock FF,,0.802230246,0.464678459,15.2125,15.2125,8.620416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pim-1,KarmaDock FF,,0.807399487,0.440315923,5.0375,12.59375,9.0675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiv1rt,KarmaDock FF,,0.617672048,0.018786891,0,0,1.014166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcl2,KarmaDock FF,,0.830038103,0.491352599,15.2625,15.2625,8.506967213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adrb2,KarmaDock FF,,0.598424842,0.074873659,0,2.615909091,2.524122807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pde5,KarmaDock FF,,0.759427609,0.321385467,10.23333333,10.23333333,5.032786885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pde4b,KarmaDock FF,,0.907592282,0.673094756,30.8,20.53333333,13.63278689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctsk,KarmaDock FF,,0.481213389,0.235922504,0,10.29166667,4.049180328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pnp,KarmaDock FF,,0.942779177,0.810423605,30.775,28.21041667,11.09918033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmp2,KarmaDock FF,,0.421648398,0.033288345,0,0,0.502459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock-1,KarmaDock FF,,0.838838903,0.753671439,25.14583333,25.14583333,11.56708333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdk2,KarmaDock FF,,0.901189446,0.49008444,11.96,10.87272727,10.64237288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catl,KarmaDock FF,,0.693629505,0.48292921,15.4125,20.55,6.569262295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhfr,KarmaDock FF,,0.825886824,0.614678657,15.3,22.95,10.03278689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurka,KarmaDock FF,,0.982856533,0.918821414,30.275,27.75208333,17.15583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sirt2,KarmaDock FF,,0.566899915,0.020760041,0,0,0.507916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pparg,KarmaDock FF,,0.712113636,0.452762054,28.5,15.54545455,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src,KarmaDock FF,,0.866097353,0.73138017,30.275,25.22916667,13.11916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr,KarmaDock FF,,0.653909552,0.244078128,10.19166667,7.64375,5.51352459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sars-hcov,KarmaDock FF,,0.588351017,0.098972955,6.148717949,2.794871795,1.042155585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cox2,KarmaDock FF,,0.701864303,0.058509499,0,0,3.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegfr1,KarmaDock FF,,0.793522727,0.463092467,11.4,10.36363636,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi3kg,KarmaDock FF,,0.816054654,0.439172508,20.18333333,15.1375,7.56875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdk1,KarmaDock FF,,0.972600686,1.022093112,30.175,30.175,18.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erbb2,KarmaDock FF,,0.935104987,0.855228961,29.575,26.88636364,16.04067797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tk,KarmaDock FF,,0.783563652,0.608998196,25.70833333,23.1375,8.597540984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace,KarmaDock FF,,0.838096234,0.546828283,20.58333333,23.15625,7.592213115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17betahsd1,KarmaDock FF,,0.498146588,0.022728138,0,0,0.502868852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
