Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
adrb2,KarmaDock FF,1.0,2.616,231,14649,147,6.064,0.729,2.685,0.508,4.125,0.021,0.02,2.616,0.598,0.075
adrb2,KarmaDock FF,5.0,2.524,231,14649,733,29.176,0.721,2.587,0.539,12.63,0.044,0.037,2.524,0.598,0.075
cdk2,KarmaDock FF,0.5,11.96,471,27755,139,28.211,0.937,14.751,0.528,20.296,0.102,0.085,11.96,0.901,0.49
cdk2,KarmaDock FF,1.0,10.873,471,27755,278,51.294,0.929,13.106,0.55,18.451,0.13,0.126,10.873,0.901,0.49
cdk2,KarmaDock FF,5.0,10.642,471,27755,1388,250.673,0.927,12.768,0.745,53.221,0.291,0.251,10.642,0.901,0.49
pparg,KarmaDock FF,0.5,28.5,482,24949,125,68.825,0.984,62.193,0.57,55.06,0.274,0.221,28.5,0.712,0.453
pparg,KarmaDock FF,1.0,15.545,482,24949,250,75.082,0.956,21.789,0.574,30.033,0.205,0.195,15.545,0.712,0.453
pparg,KarmaDock FF,5.0,7.5,482,24949,1248,180.83,0.896,8.601,0.666,37.517,0.209,0.186,7.5,0.712,0.453
src,KarmaDock FF,0.5,30.275,519,34158,171,78.66,0.982,55.213,0.574,46.0,0.258,0.222,30.275,0.866,0.731
src,KarmaDock FF,1.0,25.229,519,34158,342,131.1,0.976,40.291,0.623,38.333,0.303,0.296,25.229,0.866,0.731
src,KarmaDock FF,5.0,13.119,519,34158,1708,340.462,0.942,16.136,0.808,65.6,0.345,0.289,13.119,0.866,0.731
ace,KarmaDock FF,0.5,20.583,278,17051,86,28.861,0.968,30.475,0.55,33.559,0.18,0.152,20.583,0.838,0.547
ace,KarmaDock FF,1.0,23.156,278,17051,171,64.559,0.973,36.595,0.613,37.754,0.287,0.279,23.156,0.838,0.547
ace,KarmaDock FF,5.0,7.592,278,17051,853,105.587,0.895,8.523,0.668,37.981,0.195,0.166,7.592,0.838,0.547
egfr,KarmaDock FF,0.5,30.1,540,34875,175,81.561,0.982,55.501,0.574,46.606,0.259,0.222,30.1,0.868,0.735
egfr,KarmaDock FF,1.0,25.083,540,34875,349,135.547,0.976,40.377,0.622,38.839,0.304,0.296,25.083,0.868,0.735
egfr,KarmaDock FF,5.0,10.535,540,34875,1744,284.486,0.925,12.394,0.742,52.683,0.274,0.231,10.535,0.868,0.735
inha,KarmaDock FF,0.5,0.0,43,2329,12,0.0,0.0,0.0,0.497,0.0,-0.01,-0.008,0.0,0.499,0.04
inha,KarmaDock FF,1.0,0.0,43,2329,24,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,0.499,0.04
inha,KarmaDock FF,5.0,2.008,43,2329,117,4.338,0.672,2.047,0.526,10.088,0.032,0.028,2.008,0.499,0.04
akt1,KarmaDock FF,0.5,17.745,292,16176,81,25.946,0.962,25.637,0.543,32.032,0.161,0.132,17.745,0.892,0.562
akt1,KarmaDock FF,1.0,16.132,292,16176,162,47.175,0.957,22.349,0.577,29.12,0.206,0.197,16.132,0.892,0.562
akt1,KarmaDock FF,5.0,10.527,292,16176,809,153.728,0.927,12.762,0.743,52.646,0.296,0.26,10.527,0.892,0.562
igf1r,KarmaDock FF,0.5,29.075,147,9044,46,21.739,0.982,54.231,0.573,47.258,0.258,0.219,29.075,0.972,0.916
igf1r,KarmaDock FF,1.0,29.075,147,9044,91,43.005,0.982,54.231,0.644,47.258,0.364,0.353,29.075,0.972,0.916
igf1r,KarmaDock FF,5.0,14.036,147,9044,453,103.349,0.947,17.889,0.832,70.305,0.385,0.328,14.036,0.972,0.916
fgfr1,KarmaDock FF,0.5,29.475,129,435,3,26.223,1.596,-2.679,0.64,874.086,1.541,0.389,29.475,0.947,0.873
fgfr1,KarmaDock FF,1.0,24.116,129,435,5,35.758,1.569,-2.758,0.689,715.161,1.618,0.523,24.116,0.947,0.873
fgfr1,KarmaDock FF,5.0,14.229,129,435,22,92.834,1.474,-3.109,0.976,421.973,1.982,1.251,14.229,0.947,0.873
ppara,KarmaDock FF,0.5,17.1,371,16295,82,31.925,0.965,27.364,0.541,38.933,0.175,0.134,17.1,0.837,0.687
ppara,KarmaDock FF,1.0,15.545,371,16295,163,57.691,0.959,23.514,0.574,35.393,0.223,0.205,15.545,0.837,0.687
ppara,KarmaDock FF,5.0,12.5,371,16295,815,231.946,0.945,17.075,0.794,62.519,0.403,0.371,12.5,0.837,0.687
hdac8,KarmaDock FF,0.5,0.0,164,10481,53,0.0,0.0,0.0,0.497,0.0,-0.009,-0.008,0.0,0.44,0.001
hdac8,KarmaDock FF,1.0,0.0,164,10481,105,0.0,0.0,0.0,0.495,0.0,-0.013,-0.012,0.0,0.44,0.001
hdac8,KarmaDock FF,5.0,0.0,164,10481,525,0.0,0.0,0.0,0.475,0.0,-0.029,-0.024,0.0,0.44,0.001
lck,KarmaDock Aligned,0.5,25.062,416,27305,137,52.311,0.976,39.926,0.561,38.183,0.213,0.183,25.062,0.827,0.717
lck,KarmaDock Aligned,1.0,25.062,416,27305,274,104.623,0.976,39.926,0.623,38.183,0.301,0.295,25.062,0.827,0.717
lck,KarmaDock Aligned,5.0,11.028,416,27305,1366,229.498,0.929,13.052,0.755,55.168,0.286,0.24,11.028,0.827,0.717
hdac2,KarmaDock Aligned,0.5,15.175,180,10352,52,13.721,0.953,20.256,0.536,26.386,0.134,0.111,15.175,0.486,0.189
hdac2,KarmaDock Aligned,1.0,7.588,180,10352,104,13.721,0.896,8.589,0.534,13.193,0.088,0.085,7.588,0.486,0.189
hdac2,KarmaDock Aligned,5.0,2.023,180,10352,518,18.224,0.673,2.061,0.526,10.124,0.031,0.027,2.023,0.486,0.189
braf,KarmaDock Aligned,0.5,20.167,150,9887,50,15.298,0.966,28.616,0.549,30.596,0.17,0.147,20.167,0.797,0.351
braf,KarmaDock Aligned,1.0,12.604,150,9887,99,18.931,0.939,15.348,0.559,19.122,0.145,0.142,12.604,0.797,0.351
braf,KarmaDock Aligned,5.0,5.042,150,9887,495,37.862,0.843,5.376,0.603,25.241,0.115,0.096,5.042,0.797,0.351
kif11,KarmaDock Aligned,0.5,5.038,116,6837,35,2.991,0.844,5.415,0.511,8.547,0.038,0.032,5.037,0.641,0.214
kif11,KarmaDock Aligned,1.0,7.556,116,6837,69,8.846,0.895,8.52,0.534,12.82,0.087,0.084,7.556,0.641,0.214
kif11,KarmaDock Aligned,5.0,4.534,116,6837,342,26.307,0.828,4.828,0.59,22.679,0.107,0.092,4.534,0.641,0.214
adrb2,KarmaDock Aligned,0.5,0.0,231,14649,74,0.0,0.0,0.0,0.497,0.0,-0.009,-0.008,0.0,0.519,0.024
adrb2,KarmaDock Aligned,1.0,0.0,231,14649,147,0.0,0.0,0.0,0.495,0.0,-0.013,-0.012,0.0,0.519,0.024
adrb2,KarmaDock Aligned,5.0,1.01,231,14649,733,11.67,0.502,1.01,0.5,5.052,0.0,0.0,1.01,0.519,0.024
cdk2,KarmaDock Aligned,0.5,29.9,471,27755,139,70.529,0.984,59.668,0.574,50.74,0.269,0.225,29.9,0.932,0.793
cdk2,KarmaDock Aligned,1.0,24.464,471,27755,278,115.411,0.976,41.119,0.62,41.515,0.31,0.299,24.464,0.932,0.793
cdk2,KarmaDock Aligned,5.0,12.163,471,27755,1388,286.483,0.938,15.066,0.784,60.825,0.337,0.29,12.163,0.932,0.793
pparg,KarmaDock Aligned,0.5,22.8,482,24949,125,55.06,0.976,39.962,0.556,44.048,0.217,0.175,22.8,0.609,0.493
pparg,KarmaDock Aligned,1.0,18.136,482,24949,250,87.596,0.965,27.379,0.588,35.038,0.242,0.229,18.136,0.609,0.493
pparg,KarmaDock Aligned,5.0,6.0,482,24949,1248,144.664,0.869,6.656,0.628,30.013,0.161,0.143,6.0,0.609,0.493
src,KarmaDock Aligned,0.5,25.229,519,34158,171,65.55,0.976,40.291,0.562,38.333,0.213,0.184,25.229,0.778,0.6
src,KarmaDock Aligned,1.0,22.706,519,34158,342,117.99,0.972,34.139,0.61,34.5,0.271,0.265,22.706,0.778,0.6
src,KarmaDock Aligned,5.0,7.569,519,34158,1708,196.421,0.894,8.422,0.667,37.846,0.187,0.157,7.569,0.778,0.6
ace,KarmaDock Aligned,0.5,15.438,278,17051,86,21.646,0.953,20.294,0.537,25.169,0.132,0.112,15.437,0.686,0.469
ace,KarmaDock Aligned,1.0,12.865,278,17051,171,35.866,0.941,16.014,0.56,20.974,0.154,0.149,12.865,0.686,0.469
ace,KarmaDock Aligned,5.0,8.098,278,17051,853,112.627,0.902,9.178,0.68,40.513,0.21,0.179,8.098,0.686,0.469
egfr,KarmaDock Aligned,0.5,25.083,540,34875,175,67.968,0.976,40.377,0.561,38.839,0.214,0.184,25.083,0.863,0.7
egfr,KarmaDock Aligned,1.0,25.083,540,34875,349,135.547,0.976,40.377,0.622,38.839,0.304,0.296,25.083,0.863,0.7
egfr,KarmaDock Aligned,5.0,10.033,540,34875,1744,270.939,0.921,11.695,0.729,50.174,0.26,0.219,10.033,0.863,0.7
inha,KarmaDock Aligned,0.5,0.0,43,2329,12,0.0,0.0,0.0,0.497,0.0,-0.01,-0.008,0.0,0.509,0.013
inha,KarmaDock Aligned,1.0,0.0,43,2329,24,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,0.509,0.013
inha,KarmaDock Aligned,5.0,1.004,43,2329,117,2.169,0.501,1.004,0.5,5.044,0.0,0.0,1.004,0.509,0.013
akt1,KarmaDock Aligned,0.5,5.915,292,16176,81,8.649,0.867,6.503,0.513,10.677,0.047,0.039,5.915,0.807,0.338
akt1,KarmaDock Aligned,1.0,10.755,292,16176,162,31.45,0.929,13.104,0.55,19.413,0.133,0.127,10.755,0.807,0.338
akt1,KarmaDock Aligned,5.0,6.015,292,16176,809,87.844,0.869,6.626,0.628,30.084,0.156,0.137,6.015,0.807,0.338
igf1r,KarmaDock Aligned,0.5,17.445,147,9044,46,13.043,0.96,23.953,0.543,28.355,0.151,0.128,17.445,0.923,0.597
igf1r,KarmaDock Aligned,1.0,18.502,147,9044,91,27.367,0.963,26.029,0.59,30.073,0.227,0.22,18.502,0.923,0.597
igf1r,KarmaDock Aligned,5.0,11.53,147,9044,453,84.894,0.933,13.958,0.768,57.751,0.311,0.265,11.53,0.923,0.597
fgfr1,KarmaDock Aligned,0.5,17.685,129,435,3,15.734,1.518,-2.931,0.582,524.452,0.903,0.228,17.685,0.909,0.782
fgfr1,KarmaDock Aligned,1.0,24.116,129,435,5,35.758,1.569,-2.758,0.689,715.161,1.618,0.523,24.116,0.909,0.782
fgfr1,KarmaDock Aligned,5.0,11.688,129,435,22,76.256,1.428,-3.334,0.884,346.62,1.602,1.011,11.688,0.909,0.782
ppara,KarmaDock Aligned,0.5,5.7,371,16295,82,10.642,0.865,6.401,0.512,12.978,0.051,0.039,5.7,0.616,0.306
ppara,KarmaDock Aligned,1.0,7.773,371,16295,163,28.846,0.902,9.229,0.535,17.697,0.104,0.095,7.773,0.616,0.306
ppara,KarmaDock Aligned,5.0,5.0,371,16295,815,92.778,0.846,5.514,0.602,25.008,0.14,0.129,5.0,0.616,0.306
hdac8,KarmaDock Aligned,0.5,0.0,164,10481,53,0.0,0.0,0.0,0.497,0.0,-0.009,-0.008,0.0,0.474,0.0
hdac8,KarmaDock Aligned,1.0,0.0,164,10481,105,0.0,0.0,0.0,0.495,0.0,-0.013,-0.012,0.0,0.474,0.0
hdac8,KarmaDock Aligned,5.0,0.0,164,10481,525,0.0,0.0,0.0,0.475,0.0,-0.029,-0.024,0.0,0.474,0.0
ppara,Glide@SP,0.5,0.0,371,16295,82,0.0,0.0,0.0,0.497,0.0,-0.011,-0.008,0.0,0.705,0.054
ppara,Glide@SP,1.0,2.496,371,16295,163,9.262,0.721,2.586,0.508,5.682,0.023,0.021,2.496,0.705,0.054
ppara,Glide@SP,5.0,2.102,371,16295,815,38.996,0.683,2.157,0.528,10.511,0.039,0.036,2.102,0.705,0.054
hdac2,Glide@SP,0.5,30.35,180,10352,52,27.442,0.984,63.146,0.575,52.772,0.277,0.231,30.35,0.733,0.56
hdac2,Glide@SP,1.0,23.346,180,10352,104,42.218,0.975,38.616,0.614,40.594,0.299,0.288,23.346,0.733,0.56
hdac2,Glide@SP,5.0,6.468,180,10352,518,58.257,0.877,7.161,0.639,32.365,0.167,0.145,6.468,0.733,0.56
inha,Glide@SP,0.5,26.25,43,2329,12,5.816,0.98,49.996,0.566,48.465,0.249,0.205,26.25,0.556,0.564
inha,Glide@SP,1.0,18.846,43,2329,24,8.351,0.966,28.369,0.594,34.795,0.25,0.239,18.846,0.556,0.564
inha,Glide@SP,5.0,7.903,43,2329,117,17.072,0.901,9.083,0.677,39.703,0.218,0.192,7.903,0.556,0.564
kif11,Glide@SP,0.5,21.589,116,6837,35,12.82,0.971,33.49,0.554,36.629,0.194,0.163,21.589,0.907,0.558
kif11,Glide@SP,1.0,16.275,116,6837,69,19.053,0.957,22.102,0.578,27.613,0.203,0.196,16.275,0.907,0.558
kif11,Glide@SP,5.0,9.414,116,6837,342,54.627,0.917,11.014,0.714,47.092,0.254,0.219,9.414,0.907,0.558
cdk2,Glide@SP,0.5,0.0,471,27755,139,0.0,0.0,0.0,0.497,0.0,-0.009,-0.008,0.0,0.852,0.218
cdk2,Glide@SP,1.0,7.475,471,27755,278,35.264,0.894,8.416,0.533,12.685,0.086,0.083,7.475,0.852,0.218
cdk2,Glide@SP,5.0,5.98,471,27755,1388,140.854,0.867,6.542,0.627,29.905,0.15,0.129,5.98,0.852,0.218
akt1,Glide@SP,0.5,5.051,292,16176,81,7.386,0.845,5.458,0.51,9.118,0.039,0.032,5.051,0.733,0.187
akt1,Glide@SP,1.0,7.577,292,16176,162,22.157,0.896,8.619,0.534,13.677,0.09,0.086,7.577,0.733,0.187
akt1,Glide@SP,5.0,3.536,292,16176,809,51.637,0.788,3.709,0.565,17.684,0.079,0.069,3.536,0.733,0.187
igf1r,Glide@SP,0.5,9.932,147,9044,46,7.426,0.921,11.651,0.523,16.143,0.082,0.07,9.932,0.75,0.218
igf1r,Glide@SP,1.0,4.966,147,9044,91,7.345,0.842,5.314,0.52,8.071,0.051,0.05,4.966,0.75,0.218
igf1r,Glide@SP,5.0,3.03,147,9044,453,22.31,0.758,3.135,0.552,15.177,0.06,0.051,3.03,0.75,0.218
adrb2,Glide@SP,0.5,0.0,231,14649,74,0.0,0.0,0.0,0.497,0.0,-0.009,-0.008,0.0,0.843,0.264
adrb2,Glide@SP,1.0,4.796,231,14649,147,11.117,0.836,5.106,0.519,7.563,0.048,0.047,4.796,0.843,0.264
adrb2,Glide@SP,5.0,7.442,231,14649,733,86.017,0.892,8.298,0.664,37.237,0.187,0.158,7.442,0.843,0.264
egfr,Glide@SP,0.5,8.828,540,34875,175,23.921,0.91,10.067,0.52,13.669,0.07,0.06,8.828,0.794,0.207
egfr,Glide@SP,1.0,4.753,540,34875,349,25.687,0.835,5.052,0.519,7.36,0.047,0.046,4.753,0.794,0.207
egfr,Glide@SP,5.0,5.572,540,34875,1744,150.457,0.857,6.003,0.616,27.862,0.132,0.111,5.572,0.794,0.207
hdac8,Glide@SP,0.5,4.407,164,10481,53,3.655,0.823,4.66,0.509,6.896,0.031,0.026,4.407,0.654,0.055
hdac8,Glide@SP,1.0,2.373,164,10481,105,3.899,0.708,2.426,0.507,3.713,0.017,0.017,2.373,0.654,0.055
hdac8,Glide@SP,5.0,0.995,164,10481,525,8.175,0.499,0.995,0.5,4.985,-0.0,-0.0,0.995,0.654,0.055
fgfr1,Glide@SP,0.5,14.738,129,435,3,13.111,1.482,-3.076,0.567,437.043,0.743,0.188,14.738,0.758,0.504
fgfr1,Glide@SP,1.0,14.738,129,435,5,21.852,1.482,-3.076,0.612,437.043,0.962,0.311,14.737,0.758,0.504
fgfr1,Glide@SP,5.0,8.493,129,435,22,55.408,1.341,-3.934,0.769,251.855,1.123,0.709,8.493,0.758,0.504
braf,Glide@SP,0.5,4.429,150,9887,50,3.359,0.824,4.676,0.509,6.719,0.03,0.026,4.429,0.713,0.105
braf,Glide@SP,1.0,4.769,150,9887,99,7.163,0.835,5.063,0.519,7.236,0.047,0.046,4.769,0.713,0.105
braf,Glide@SP,5.0,2.541,150,9887,495,19.082,0.722,2.603,0.539,12.722,0.044,0.037,2.541,0.713,0.105
src,Glide@SP,0.5,4.436,519,34158,171,11.525,0.824,4.684,0.509,6.74,0.03,0.026,4.436,0.632,0.134
src,Glide@SP,1.0,2.389,519,34158,342,12.412,0.709,2.441,0.507,3.629,0.017,0.017,2.389,0.632,0.134
src,Glide@SP,5.0,2.545,519,34158,1708,66.051,0.723,2.607,0.539,12.727,0.044,0.037,2.545,0.632,0.134
pparg,Glide@SP,0.5,0.0,482,24949,125,0.0,0.0,0.0,0.497,0.0,-0.01,-0.008,0.0,0.611,0.081
pparg,Glide@SP,1.0,2.375,482,24949,250,11.471,0.709,2.441,0.507,4.588,0.019,0.018,2.375,0.611,0.081
pparg,Glide@SP,5.0,2.5,482,24949,1248,60.277,0.72,2.576,0.538,12.506,0.048,0.043,2.5,0.611,0.081
ace,Glide@SP,0.5,26.464,278,17051,86,37.107,0.979,45.79,0.565,43.147,0.233,0.198,26.464,0.882,0.702
ace,Glide@SP,1.0,21.375,278,17051,171,59.593,0.97,32.274,0.604,34.85,0.264,0.256,21.375,0.882,0.702
ace,Glide@SP,5.0,11.952,278,17051,853,166.215,0.936,14.602,0.778,59.79,0.324,0.276,11.952,0.882,0.702
lck,Glide@SP,0.5,4.3,416,27305,137,8.975,0.819,4.531,0.508,6.551,0.029,0.025,4.3,0.768,0.227
lck,Glide@SP,1.0,6.946,416,27305,274,28.997,0.884,7.65,0.53,10.583,0.074,0.073,6.946,0.768,0.227
lck,Glide@SP,5.0,4.441,416,27305,1366,92.423,0.824,4.691,0.587,22.217,0.098,0.082,4.441,0.768,0.227
ppara,Gold@ChemPLP,0.5,4.429,371,16295,82,8.268,0.828,4.813,0.509,10.083,0.037,0.028,4.429,0.679,0.193
ppara,Gold@ChemPLP,1.0,7.154,371,16295,163,26.549,0.893,8.351,0.531,16.288,0.094,0.087,7.154,0.679,0.193
ppara,Gold@ChemPLP,5.0,4.0,371,16295,815,74.223,0.811,4.301,0.577,20.006,0.105,0.097,4.0,0.679,0.193
hdac2,Gold@ChemPLP,0.5,13.286,180,10352,52,12.013,0.944,16.976,0.531,23.101,0.116,0.097,13.286,0.82,0.324
hdac2,Gold@ChemPLP,1.0,9.538,180,10352,104,17.249,0.918,11.236,0.544,16.585,0.114,0.11,9.538,0.82,0.324
hdac2,Gold@ChemPLP,5.0,6.5,180,10352,518,58.545,0.878,7.201,0.64,32.525,0.168,0.146,6.5,0.82,0.324
inha,Gold@ChemPLP,0.5,13.286,43,2329,12,2.944,0.945,17.279,0.532,24.529,0.121,0.1,13.286,0.588,0.274
inha,Gold@ChemPLP,1.0,9.538,43,2329,24,4.227,0.919,11.364,0.545,17.611,0.119,0.114,9.538,0.588,0.274
inha,Gold@ChemPLP,5.0,3.0,43,2329,117,6.48,0.757,3.117,0.551,15.071,0.063,0.056,3.0,0.588,0.274
