Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
rxr,KarmaDock Raw,5.0,12.012,40,1240,62,24.025,0.95,18.98,0.784,60.062,0.461,0.449,12.012,0.942,0.726
prkcq,KarmaDock Raw,0.5,20.033,40,1240,7,4.524,0.982,54.802,0.556,64.624,0.262,0.185,20.033,0.854,0.664
prkcq,KarmaDock Raw,1.0,20.033,40,1240,13,8.401,0.982,54.802,0.603,64.624,0.358,0.306,20.033,0.854,0.664
prkcq,KarmaDock Raw,5.0,14.023,40,1240,62,28.047,0.961,24.781,0.836,70.117,0.545,0.532,14.023,0.854,0.664
lck,KarmaDock Raw,0.5,25.062,40,1240,7,5.659,0.992,126.632,0.57,80.847,0.331,0.233,25.062,0.903,0.79
lck,KarmaDock Raw,1.0,25.062,40,1240,13,10.51,0.992,126.632,0.63,80.847,0.452,0.387,25.062,0.903,0.79
lck,KarmaDock Raw,5.0,13.534,40,1240,62,27.068,0.959,23.246,0.824,67.669,0.525,0.512,13.534,0.903,0.79
ace2,KarmaDock Raw,0.5,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.453,0.016
ace2,KarmaDock Raw,1.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.0,0.453,0.016
ace2,KarmaDock Raw,5.0,1.523,40,1240,62,3.047,0.608,1.55,0.514,7.617,0.022,0.021,1.523,0.453,0.016
hdac2,KarmaDock Raw,0.5,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.539,0.04
hdac2,KarmaDock Raw,1.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.0,0.539,0.04
hdac2,KarmaDock Raw,5.0,1.518,40,1240,62,3.035,0.607,1.544,0.513,7.587,0.022,0.021,1.518,0.539,0.04
braf,KarmaDock Raw,0.5,15.125,40,1240,7,3.415,0.966,28.583,0.541,48.79,0.194,0.137,15.125,0.828,0.326
braf,KarmaDock Raw,1.0,7.562,40,1240,13,3.171,0.906,9.68,0.536,24.395,0.123,0.106,7.562,0.828,0.326
braf,KarmaDock Raw,5.0,6.05,40,1240,62,12.1,0.879,7.275,0.63,30.25,0.212,0.206,6.05,0.828,0.326
fkbp1a,KarmaDock Raw,0.5,30.825,40,1240,7,6.96,1.0,5284.286,0.587,99.435,0.41,0.289,30.825,0.978,0.99
fkbp1a,KarmaDock Raw,1.0,30.825,40,1240,13,12.927,1.0,5284.286,0.662,99.435,0.56,0.48,30.825,0.978,0.99
fkbp1a,KarmaDock Raw,5.0,16.17,40,1240,62,32.341,0.97,32.713,0.892,80.852,0.635,0.619,16.17,0.978,0.99
thrombin,KarmaDock Raw,0.5,30.3,40,1240,7,6.842,0.999,1298.571,0.585,97.742,0.403,0.284,30.3,0.94,0.922
thrombin,KarmaDock Raw,1.0,30.3,40,1240,13,12.706,0.999,1298.571,0.659,97.742,0.551,0.471,30.3,0.94,0.922
thrombin,KarmaDock Raw,5.0,15.15,40,1240,62,30.3,0.966,28.675,0.866,75.75,0.593,0.578,15.15,0.94,0.922
jnk2,KarmaDock Raw,0.5,29.3,40,1240,7,6.616,0.998,517.059,0.583,94.516,0.389,0.275,29.3,0.601,0.467
jnk2,KarmaDock Raw,1.0,18.645,40,1240,13,7.819,0.978,45.276,0.596,60.147,0.332,0.284,18.645,0.601,0.467
jnk2,KarmaDock Raw,5.0,4.547,40,1240,62,9.093,0.838,5.156,0.592,22.733,0.149,0.145,4.547,0.601,0.467
kif11,KarmaDock Raw,0.5,5.038,40,1240,7,1.138,0.853,5.821,0.512,16.25,0.056,0.039,5.038,0.698,0.125
kif11,KarmaDock Raw,1.0,5.038,40,1240,13,2.112,0.853,5.821,0.522,16.25,0.076,0.065,5.038,0.698,0.125
kif11,KarmaDock Raw,5.0,3.526,40,1240,62,7.052,0.794,3.85,0.565,17.631,0.106,0.103,3.526,0.698,0.125
upa,KarmaDock Raw,0.5,29.9,40,1240,7,6.752,0.999,815.455,0.584,96.452,0.398,0.28,29.9,0.721,0.774
upa,KarmaDock Raw,1.0,29.9,40,1240,13,12.539,0.999,815.455,0.657,96.452,0.543,0.465,29.9,0.721,0.774
upa,KarmaDock Raw,5.0,10.642,40,1240,62,21.285,0.94,15.683,0.749,53.212,0.404,0.394,10.642,0.721,0.774
pygl-in,KarmaDock Raw,0.5,5.133,40,1240,7,1.159,0.856,5.954,0.512,16.559,0.057,0.04,5.133,0.739,0.13
pygl-in,KarmaDock Raw,1.0,2.567,40,1240,13,1.076,0.73,2.708,0.508,8.28,0.029,0.025,2.567,0.739,0.13
pygl-in,KarmaDock Raw,5.0,4.544,40,1240,62,9.089,0.837,5.153,0.592,22.721,0.148,0.145,4.544,0.739,0.13
itk,KarmaDock Raw,0.5,10.142,40,1240,7,2.29,0.936,14.586,0.527,32.715,0.126,0.089,10.142,0.809,0.482
itk,KarmaDock Raw,1.0,12.677,40,1240,13,5.316,0.954,20.756,0.563,40.894,0.219,0.188,12.677,0.809,0.482
itk,KarmaDock Raw,5.0,9.635,40,1240,62,19.269,0.931,13.528,0.723,48.173,0.362,0.352,9.635,0.809,0.482
pim-1,KarmaDock Raw,0.5,10.075,40,1240,7,2.275,0.935,14.444,0.526,32.5,0.125,0.088,10.075,0.79,0.407
pim-1,KarmaDock Raw,1.0,10.075,40,1240,13,4.225,0.935,14.444,0.549,32.5,0.171,0.146,10.075,0.79,0.407
pim-1,KarmaDock Raw,5.0,8.564,40,1240,62,17.128,0.92,11.451,0.695,42.819,0.317,0.309,8.564,0.79,0.407
hiv1rt,KarmaDock Raw,0.5,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.64,0.044
hiv1rt,KarmaDock Raw,1.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.0,0.64,0.044
hiv1rt,KarmaDock Raw,5.0,1.521,40,1240,62,3.043,0.608,1.548,0.513,7.606,0.022,0.021,1.521,0.64,0.044
bcl2,KarmaDock Raw,0.5,20.35,40,1240,7,4.595,0.983,57.324,0.556,65.645,0.266,0.188,20.35,0.822,0.5
bcl2,KarmaDock Raw,1.0,17.806,40,1240,13,7.467,0.976,40.488,0.591,57.44,0.316,0.27,17.806,0.822,0.5
bcl2,KarmaDock Raw,5.0,7.006,40,1240,62,14.011,0.898,8.759,0.655,35.029,0.252,0.245,7.006,0.822,0.5
adrb2,KarmaDock Raw,0.5,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.55,0.029
adrb2,KarmaDock Raw,1.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.0,0.55,0.029
adrb2,KarmaDock Raw,5.0,0.505,40,1240,62,1.01,0.332,0.497,0.487,2.524,-0.021,-0.02,0.505,0.55,0.029
pde5,KarmaDock Raw,0.5,15.35,40,1240,7,3.466,0.967,29.425,0.542,49.516,0.197,0.139,15.35,0.786,0.273
pde5,KarmaDock Raw,1.0,7.675,40,1240,13,3.219,0.908,9.871,0.536,24.758,0.125,0.107,7.675,0.786,0.273
pde5,KarmaDock Raw,5.0,5.033,40,1240,62,10.066,0.853,5.814,0.604,25.164,0.169,0.165,5.033,0.786,0.273
pde4b,KarmaDock Raw,0.5,20.533,40,1240,7,4.637,0.983,58.854,0.557,66.237,0.269,0.19,20.533,0.913,0.597
pde4b,KarmaDock Raw,1.0,15.4,40,1240,13,6.458,0.967,29.615,0.578,49.677,0.271,0.232,15.4,0.913,0.597
pde4b,KarmaDock Raw,5.0,13.633,40,1240,62,27.266,0.959,23.549,0.826,68.164,0.529,0.516,13.633,0.913,0.597
ctsk,KarmaDock Raw,0.5,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.488,0.2
ctsk,KarmaDock Raw,1.0,5.146,40,1240,13,2.158,0.857,5.971,0.522,16.599,0.078,0.067,5.146,0.488,0.2
ctsk,KarmaDock Raw,5.0,5.061,40,1240,62,10.123,0.854,5.854,0.605,25.307,0.17,0.166,5.061,0.488,0.2
pnp,KarmaDock Raw,0.5,30.775,40,1240,7,6.949,1.0,4103.333,0.587,99.274,0.41,0.289,30.775,0.909,0.833
pnp,KarmaDock Raw,1.0,28.21,40,1240,13,11.83,0.997,303.383,0.647,91.001,0.511,0.438,28.21,0.909,0.833
pnp,KarmaDock Raw,5.0,11.099,40,1240,62,22.198,0.944,16.732,0.761,55.496,0.423,0.412,11.099,0.909,0.833
mmp2,KarmaDock Raw,0.5,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.414,0.021
mmp2,KarmaDock Raw,1.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.0,0.414,0.021
mmp2,KarmaDock Raw,5.0,0.502,40,1240,62,1.005,0.331,0.494,0.487,2.512,-0.021,-0.02,0.502,0.414,0.021
rock-1,KarmaDock Raw,0.5,15.088,40,1240,7,3.407,0.966,28.445,0.541,48.669,0.194,0.137,15.088,0.869,0.617
rock-1,KarmaDock Raw,1.0,17.602,40,1240,13,7.382,0.975,39.414,0.59,56.781,0.312,0.267,17.602,0.869,0.617
rock-1,KarmaDock Raw,5.0,12.07,40,1240,62,24.14,0.95,19.128,0.786,60.35,0.464,0.452,12.07,0.869,0.617
cdk2,KarmaDock Raw,0.5,23.92,40,1240,7,5.401,0.99,101.356,0.567,77.161,0.315,0.222,23.92,0.924,0.679
cdk2,KarmaDock Raw,1.0,24.464,40,1240,13,10.259,0.991,112.281,0.627,78.915,0.441,0.377,24.464,0.924,0.679
cdk2,KarmaDock Raw,5.0,10.642,40,1240,62,21.285,0.94,15.683,0.749,53.212,0.404,0.394,10.642,0.924,0.679
catl,KarmaDock Raw,0.5,10.275,40,1240,7,2.32,0.937,14.873,0.527,33.145,0.128,0.09,10.275,0.696,0.418
catl,KarmaDock Raw,1.0,17.981,40,1240,13,7.541,0.976,41.435,0.592,58.004,0.319,0.273,17.981,0.696,0.418
catl,KarmaDock Raw,5.0,6.569,40,1240,62,13.139,0.89,8.067,0.644,32.846,0.233,0.227,6.569,0.696,0.418
dhfr,KarmaDock Raw,0.5,15.3,40,1240,7,3.455,0.967,29.236,0.542,49.355,0.197,0.139,15.3,0.838,0.57
dhfr,KarmaDock Raw,1.0,20.4,40,1240,13,8.555,0.983,57.736,0.605,65.806,0.365,0.312,20.4,0.838,0.57
dhfr,KarmaDock Raw,5.0,9.03,40,1240,62,18.059,0.925,12.33,0.707,45.148,0.336,0.328,9.03,0.838,0.57
aurka,KarmaDock Raw,0.5,30.275,40,1240,7,6.836,0.999,1252.759,0.585,97.661,0.403,0.284,30.275,0.993,0.971
aurka,KarmaDock Raw,1.0,27.752,40,1240,13,11.638,0.996,256.337,0.645,89.523,0.503,0.43,27.752,0.993,0.971
aurka,KarmaDock Raw,5.0,18.165,40,1240,62,36.33,0.977,42.458,0.943,90.825,0.719,0.701,18.165,0.993,0.971
sirt2,KarmaDock Raw,0.5,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.548,0.003
sirt2,KarmaDock Raw,1.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.0,0.548,0.003
sirt2,KarmaDock Raw,5.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.0,0.548,0.003
pparg,KarmaDock Raw,0.5,22.8,40,1240,7,5.148,0.988,83.415,0.564,73.548,0.3,0.212,22.8,0.729,0.546
pparg,KarmaDock Raw,1.0,15.545,40,1240,13,6.519,0.968,30.176,0.579,50.147,0.273,0.234,15.545,0.729,0.546
pparg,KarmaDock Raw,5.0,9.0,40,1240,62,18.0,0.925,12.273,0.707,45.0,0.335,0.327,9.0,0.729,0.546
src,KarmaDock Raw,0.5,30.275,40,1240,7,6.836,0.999,1252.759,0.585,97.661,0.403,0.284,30.275,0.852,0.744
src,KarmaDock Raw,1.0,22.706,40,1240,13,9.522,0.988,82.133,0.618,73.246,0.408,0.349,22.706,0.852,0.744
src,KarmaDock Raw,5.0,12.11,40,1240,62,24.22,0.951,19.232,0.787,60.55,0.465,0.453,12.11,0.852,0.744
gr,KarmaDock Raw,0.5,10.192,40,1240,7,2.301,0.936,14.694,0.527,32.876,0.126,0.089,10.192,0.645,0.229
gr,KarmaDock Raw,1.0,7.644,40,1240,13,3.205,0.908,9.818,0.536,24.657,0.125,0.107,7.644,0.645,0.229
gr,KarmaDock Raw,5.0,4.01,40,1240,62,8.02,0.817,4.457,0.578,20.049,0.126,0.123,4.01,0.645,0.229
sars-hcov,KarmaDock Raw,0.5,6.149,39,1209,7,1.388,0.881,7.423,0.515,19.835,0.072,0.051,6.149,0.596,0.113
sars-hcov,KarmaDock Raw,1.0,5.59,39,1209,13,2.344,0.868,6.599,0.525,18.031,0.087,0.075,5.59,0.596,0.113
sars-hcov,KarmaDock Raw,5.0,1.563,39,1209,61,3.076,0.614,1.593,0.515,7.887,0.024,0.023,1.563,0.596,0.113
cox2,KarmaDock Raw,0.5,5.362,40,1240,7,1.211,0.863,6.275,0.513,17.298,0.06,0.042,5.363,0.646,0.094
cox2,KarmaDock Raw,1.0,2.681,40,1240,13,1.124,0.74,2.84,0.509,8.649,0.032,0.027,2.681,0.646,0.094
cox2,KarmaDock Raw,5.0,1.532,40,1240,62,3.064,0.609,1.56,0.514,7.661,0.022,0.022,1.532,0.646,0.094
vegfr1,KarmaDock Raw,0.5,17.1,40,1240,7,3.861,0.974,36.906,0.547,55.161,0.221,0.156,17.1,0.808,0.452
vegfr1,KarmaDock Raw,1.0,12.955,40,1240,13,5.433,0.956,21.537,0.565,41.789,0.225,0.192,12.955,0.808,0.452
vegfr1,KarmaDock Raw,5.0,7.5,40,1240,62,15.0,0.905,9.574,0.668,37.5,0.272,0.265,7.5,0.808,0.452
pi3kg,KarmaDock Raw,0.5,20.183,40,1240,7,4.558,0.982,55.978,0.556,65.108,0.264,0.186,20.183,0.85,0.5
pi3kg,KarmaDock Raw,1.0,12.615,40,1240,13,5.29,0.954,20.584,0.563,40.692,0.218,0.187,12.615,0.85,0.5
pi3kg,KarmaDock Raw,5.0,9.587,40,1240,62,19.174,0.931,13.432,0.722,47.935,0.36,0.35,9.587,0.85,0.5
pdk1,KarmaDock Raw,0.5,30.175,40,1240,7,6.814,0.999,1097.273,0.585,97.339,0.401,0.283,30.175,0.977,1.021
pdk1,KarmaDock Raw,1.0,30.175,40,1240,13,12.654,0.999,1097.273,0.658,97.339,0.548,0.469,30.175,0.977,1.021
pdk1,KarmaDock Raw,5.0,18.105,40,1240,62,36.21,0.977,42.121,0.942,90.525,0.716,0.698,18.105,0.977,1.021
erbb2,KarmaDock Raw,0.5,23.66,40,1240,7,5.343,0.99,96.703,0.566,76.323,0.312,0.22,23.66,0.939,0.832
erbb2,KarmaDock Raw,1.0,26.886,40,1240,13,11.275,0.995,196.077,0.64,86.73,0.486,0.416,26.886,0.939,0.832
erbb2,KarmaDock Raw,5.0,14.537,40,1240,62,29.074,0.964,26.49,0.85,72.684,0.567,0.553,14.537,0.939,0.832
tk,KarmaDock Raw,0.5,15.425,40,1240,7,3.483,0.967,29.711,0.542,49.758,0.198,0.14,15.425,0.765,0.452
tk,KarmaDock Raw,1.0,15.425,40,1240,13,6.469,0.967,29.711,0.578,49.758,0.271,0.232,15.425,0.765,0.452
tk,KarmaDock Raw,5.0,9.103,40,1240,62,18.207,0.926,12.472,0.709,45.516,0.339,0.331,9.103,0.765,0.452
ace,KarmaDock Raw,0.5,20.583,40,1240,7,4.648,0.983,59.28,0.557,66.398,0.269,0.19,20.583,0.856,0.497
ace,KarmaDock Raw,1.0,20.583,40,1240,13,8.632,0.983,59.28,0.606,66.398,0.368,0.315,20.583,0.856,0.497
ace,KarmaDock Raw,5.0,6.074,40,1240,62,12.148,0.88,7.31,0.631,30.369,0.213,0.207,6.074,0.856,0.497
17betahsd1,KarmaDock Raw,0.5,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.508,0.023
17betahsd1,KarmaDock Raw,1.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.0,0.508,0.023
17betahsd1,KarmaDock Raw,5.0,0.503,40,1240,62,1.006,0.331,0.495,0.487,2.514,-0.021,-0.02,0.503,0.508,0.023
er-beta,KarmaDock Raw,0.5,21.0,40,1240,7,4.742,0.984,63.0,0.558,67.742,0.275,0.194,21.0,0.903,0.652
er-beta,KarmaDock Raw,1.0,15.75,40,1240,13,6.605,0.969,30.984,0.58,50.806,0.277,0.237,15.75,0.903,0.652
er-beta,KarmaDock Raw,5.0,9.0,40,1240,62,18.0,0.925,12.273,0.707,45.0,0.335,0.327,9.0,0.903,0.652
pim-2,KarmaDock Raw,0.5,10.067,40,1240,7,2.273,0.935,14.427,0.526,32.473,0.125,0.088,10.067,0.843,0.347
pim-2,KarmaDock Raw,1.0,10.067,40,1240,13,4.222,0.935,14.427,0.549,32.473,0.17,0.146,10.067,0.843,0.347
pim-2,KarmaDock Raw,5.0,7.55,40,1240,62,15.1,0.906,9.659,0.669,37.75,0.274,0.267,7.55,0.843,0.347
ts,KarmaDock Raw,0.5,0.0,40,1239,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.599,0.116
ts,KarmaDock Raw,1.0,0.0,40,1239,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.0,0.599,0.116
ts,KarmaDock Raw,5.0,3.5,40,1239,62,7.006,0.792,3.818,0.565,17.514,0.105,0.102,3.5,0.599,0.116
jnk1,KarmaDock Raw,0.5,17.985,40,1240,7,4.061,0.976,41.456,0.55,58.016,0.234,0.165,17.985,0.841,0.611
jnk1,KarmaDock Raw,1.0,19.075,40,1240,13,7.999,0.98,47.987,0.598,61.532,0.34,0.291,19.075,0.841,0.611
jnk1,KarmaDock Raw,5.0,10.669,40,1240,62,21.338,0.94,15.743,0.75,53.345,0.405,0.395,10.669,0.841,0.611
tpa,KarmaDock Raw,0.5,29.075,40,1240,7,6.565,0.998,453.117,0.582,93.79,0.386,0.272,29.075,0.968,0.892
tpa,KarmaDock Raw,1.0,29.075,40,1240,13,12.193,0.998,453.117,0.652,93.79,0.528,0.451,29.075,0.968,0.892
tpa,KarmaDock Raw,5.0,14.036,40,1240,62,28.072,0.961,24.823,0.837,70.181,0.546,0.532,14.036,0.968,0.892
hiv1pr,KarmaDock Raw,0.5,32.865,40,1240,7,7.421,1.002,-528.696,0.593,106.016,0.438,0.309,32.865,0.89,0.902
hiv1pr,KarmaDock Raw,1.0,27.387,40,1240,13,11.485,0.996,227.431,0.643,88.346,0.496,0.424,27.387,0.89,0.902
hiv1pr,KarmaDock Raw,5.0,15.885,40,1240,62,31.769,0.969,31.527,0.885,79.423,0.623,0.608,15.885,0.89,0.902
pr,KarmaDock Raw,0.5,15.48,40,1240,7,3.495,0.968,29.923,0.542,49.935,0.199,0.14,15.48,0.622,0.332
pr,KarmaDock Raw,1.0,7.74,40,1240,13,3.246,0.909,9.983,0.537,24.968,0.127,0.108,7.74,0.622,0.332
pr,KarmaDock Raw,5.0,3.541,40,1240,62,7.082,0.795,3.869,0.566,17.706,0.106,0.104,3.541,0.622,0.332
alr2,KarmaDock Raw,0.5,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.465,0.001
alr2,KarmaDock Raw,1.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.0,0.465,0.001
alr2,KarmaDock Raw,5.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.0,0.465,0.001
aurkb,KarmaDock Raw,0.5,25.312,40,1240,7,5.716,0.993,133.516,0.571,81.653,0.334,0.236,25.312,0.988,0.941
aurkb,KarmaDock Raw,1.0,27.844,40,1240,13,11.676,0.996,264.653,0.645,89.819,0.504,0.432,27.844,0.988,0.941
aurkb,KarmaDock Raw,5.0,17.212,40,1240,62,34.425,0.974,37.452,0.919,86.062,0.679,0.662,17.212,0.988,0.941
mk2,KarmaDock Raw,0.5,23.32,40,1240,7,5.266,0.989,91.094,0.565,75.226,0.307,0.217,23.32,0.934,0.636
mk2,KarmaDock Raw,1.0,18.55,40,1240,13,7.779,0.978,44.699,0.595,59.839,0.33,0.282,18.55,0.934,0.636
mk2,KarmaDock Raw,5.0,11.057,40,1240,62,22.114,0.943,16.633,0.76,55.284,0.421,0.41,11.057,0.934,0.636
adam17,KarmaDock Raw,0.5,20.483,40,1240,7,4.625,0.983,58.431,0.557,66.075,0.268,0.189,20.483,0.688,0.429
adam17,KarmaDock Raw,1.0,15.362,40,1240,13,6.442,0.967,29.472,0.578,49.556,0.27,0.231,15.362,0.688,0.429
adam17,KarmaDock Raw,5.0,6.044,40,1240,62,12.089,0.879,7.266,0.63,30.221,0.211,0.206,6.044,0.688,0.429
egfr,KarmaDock Raw,0.5,30.1,40,1240,7,6.797,0.999,1003.333,0.585,97.097,0.4,0.282,30.1,0.853,0.789
egfr,KarmaDock Raw,1.0,25.083,40,1240,13,10.519,0.992,127.183,0.63,80.914,0.453,0.387,25.083,0.853,0.789
egfr,KarmaDock Raw,5.0,12.04,40,1240,62,24.08,0.95,19.051,0.785,60.2,0.462,0.451,12.04,0.853,0.789
p38-alpha,KarmaDock Raw,0.5,25.438,40,1240,7,5.744,0.993,137.191,0.571,82.056,0.336,0.237,25.438,0.931,0.753
p38-alpha,KarmaDock Raw,1.0,25.438,40,1240,13,10.667,0.993,137.191,0.632,82.056,0.459,0.393,25.438,0.931,0.753
p38-alpha,KarmaDock Raw,5.0,13.011,40,1240,62,26.021,0.956,21.697,0.81,65.053,0.503,0.49,13.011,0.931,0.753
inha,KarmaDock Raw,0.5,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.477,0.022
inha,KarmaDock Raw,1.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.0,0.477,0.022
inha,KarmaDock Raw,5.0,1.506,40,1240,62,3.012,0.605,1.532,0.513,7.531,0.021,0.021,1.506,0.477,0.022
akt1,KarmaDock Raw,0.5,17.745,40,1240,7,4.007,0.976,40.162,0.549,57.242,0.23,0.162,17.745,0.891,0.528
akt1,KarmaDock Raw,1.0,13.443,40,1240,13,5.637,0.958,22.971,0.567,43.365,0.234,0.2,13.443,0.891,0.528
akt1,KarmaDock Raw,5.0,10.527,40,1240,62,21.053,0.939,15.425,0.746,52.633,0.399,0.389,10.527,0.891,0.528
11betahsd1,KarmaDock Raw,0.5,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.0,0.626,0.043
11betahsd1,KarmaDock Raw,1.0,2.675,40,1240,13,1.122,0.739,2.833,0.509,8.629,0.031,0.027,2.675,0.626,0.043
11betahsd1,KarmaDock Raw,5.0,1.015,40,1240,62,2.029,0.504,1.015,0.5,5.073,0.001,0.001,1.015,0.626,0.043
igf1r,KarmaDock Raw,0.5,29.075,40,1240,7,6.565,0.998,453.117,0.582,93.79,0.386,0.272,29.075,0.983,0.897
igf1r,KarmaDock Raw,1.0,26.432,40,1240,13,11.084,0.994,173.582,0.638,85.264,0.478,0.409,26.432,0.983,0.897
igf1r,KarmaDock Raw,5.0,16.041,40,1240,62,32.083,0.97,32.172,0.889,80.207,0.63,0.614,16.041,0.983,0.897
cox1,KarmaDock Raw,0.5,5.6,40,1240,7,1.265,0.869,6.614,0.513,18.065,0.063,0.045,5.6,0.62,0.161
cox1,KarmaDock Raw,1.0,5.091,40,1240,13,2.135,0.855,5.895,0.522,16.422,0.077,0.066,5.091,0.62,0.161
cox1,KarmaDock Raw,5.0,3.5,40,1240,62,7.0,0.792,3.818,0.565,17.5,0.105,0.102,3.5,0.62,0.161
