Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
hxk4,Gold,1.0,14.13,91,4720,48,13.076,0.95,19.046,0.568,27.242,0.187,0.177,14.13,,0.31
igf1r,Gold,1.0,28.38,147,9044,91,41.977,0.981,51.825,0.64,46.128,0.355,0.345,28.38,,0.46
inha,Gold,1.0,25.58,43,2329,24,11.335,0.979,47.578,0.629,47.228,0.344,0.329,25.58,,0.55
ital,Gold,1.0,6.52,136,8377,84,8.892,0.878,7.173,0.528,10.585,0.071,0.069,6.52,,0.12
jak2,Gold,1.0,28.97,106,6465,65,30.874,0.982,54.275,0.643,47.499,0.364,0.353,28.97,,0.49
kif11,Gold,1.0,33.62,116,6837,69,39.359,0.987,76.934,0.667,57.041,0.433,0.418,33.62,,0.54
kit,Gold,1.0,14.46,165,10323,104,24.037,0.949,18.506,0.569,23.112,0.173,0.168,14.46,,0.25
kith,Gold,1.0,15.79,57,2894,29,9.019,0.957,22.466,0.576,31.1,0.211,0.199,15.79,,0.3
kpcb,Gold,1.0,28.89,126,8611,87,36.778,0.98,49.314,0.643,42.273,0.343,0.337,28.89,,0.5
lck,Gold,1.0,15.48,416,27305,274,64.621,0.952,19.949,0.574,23.584,0.181,0.177,15.48,,0.26
lkha4,Gold,1.0,13.45,170,7992,80,22.888,0.949,18.439,0.564,28.61,0.185,0.172,13.45,,0.28
mapk2,Gold,1.0,21.78,100,6155,62,21.939,0.971,33.16,0.606,35.386,0.269,0.262,21.78,,0.43
mcr,Gold,1.0,2.13,38,2490,25,0.813,0.684,2.168,0.506,3.251,0.014,0.014,2.13,,0.05
met,Gold,1.0,39.76,165,11027,111,66.038,0.99,96.689,0.698,59.494,0.482,0.472,39.76,,0.61
mk01,Gold,1.0,20.25,78,4485,45,15.848,0.968,30.715,0.598,35.217,0.258,0.248,20.25,,0.44
mk10,Gold,1.0,23.08,103,6558,66,23.925,0.973,35.635,0.613,36.249,0.281,0.274,23.08,,0.41
mk14,Gold,1.0,14.19,578,35731,358,82.177,0.948,18.12,0.567,22.954,0.17,0.165,14.19,,0.26
mmp13,Gold,1.0,25.7,567,37374,374,145.82,0.976,41.485,0.625,38.989,0.308,0.302,25.7,,0.4
mp2k1,Gold,1.0,23.14,120,8089,81,27.806,0.972,34.713,0.613,34.328,0.273,0.268,23.14,,0.37
nos1,Gold,1.0,20.0,100,8044,81,20.139,0.963,26.287,0.597,24.863,0.215,0.214,20.0,,0.3
nram,Gold,1.0,19.39,98,4300,43,19.002,0.971,33.952,0.594,44.191,0.282,0.259,19.39,,0.39
pa2ga,Gold,1.0,20.2,98,5212,53,20.13,0.97,31.959,0.599,37.982,0.269,0.257,20.2,,0.34
parp1,Gold,1.0,14.17,507,30174,302,71.904,0.948,18.286,0.567,23.809,0.173,0.167,14.17,,0.24
pde5a,Gold,1.0,10.55,379,27420,275,40.101,0.924,12.18,0.549,14.582,0.114,0.112,10.55,,0.18
pgh1,Gold,1.0,14.36,174,9195,92,25.0,0.951,19.345,0.568,27.174,0.187,0.177,14.36,,0.25
pgh2,Gold,1.0,18.62,365,17398,174,67.971,0.968,29.915,0.59,39.064,0.259,0.242,18.62,,0.33
plk1,Gold,1.0,30.84,106,6789,68,32.743,0.983,58.553,0.652,48.152,0.378,0.369,30.84,,0.49
pnph,Gold,1.0,25.24,103,7010,71,26.331,0.975,39.529,0.625,37.086,0.299,0.294,25.24,,0.47
ppara,Gold,1.0,17.43,371,16295,163,64.685,0.966,28.24,0.584,39.684,0.252,0.232,17.43,,0.34
ppard,Gold,1.0,12.08,239,11497,115,28.879,0.94,15.795,0.557,25.112,0.162,0.152,12.08,,0.24
pparg,Gold,1.0,17.36,482,24949,250,83.846,0.962,25.616,0.584,33.538,0.231,0.219,17.36,,0.34
prgr,Gold,1.0,2.39,223,12892,129,5.333,0.71,2.45,0.507,4.134,0.019,0.018,2.39,,0.07
ptn1,Gold,1.0,41.54,128,7312,74,53.811,0.993,149.595,0.709,72.718,0.547,0.527,41.54,,0.66
pur2,Gold,1.0,56.0,50,2717,28,28.855,1.001,-1799.422,0.789,103.055,0.768,0.736,56.0,,0.95
pygm,Gold,1.0,6.49,77,3978,40,5.025,0.879,7.279,0.528,12.562,0.078,0.074,6.49,,0.19
pyrd,Gold,1.0,31.53,109,6070,61,34.538,0.986,71.376,0.656,56.619,0.416,0.399,31.53,,0.52
reni,Gold,1.0,24.04,104,7010,71,25.323,0.974,36.813,0.618,35.666,0.286,0.281,24.04,,0.44
rock1,Gold,1.0,12.0,99,6263,63,11.95,0.936,14.575,0.556,18.969,0.141,0.137,12.0,,0.24
rxra,Gold,1.0,30.53,113,4673,47,34.698,0.991,113.822,0.652,73.826,0.469,0.426,30.53,,0.52
sahh,Gold,1.0,42.86,63,3477,35,27.18,0.995,188.363,0.715,77.658,0.573,0.549,42.86,,0.69
src,Gold,1.0,14.31,519,34158,342,74.36,0.947,18.008,0.568,21.743,0.166,0.163,14.31,,0.24
tgfr1,Gold,1.0,38.35,133,8465,85,51.216,0.99,94.973,0.691,60.255,0.475,0.463,38.35,,0.6
thb,Gold,1.0,31.07,97,4975,50,30.289,0.987,77.279,0.654,60.579,0.427,0.404,31.07,,0.46
thrb,Gold,1.0,32.75,452,26837,269,148.378,0.986,71.806,0.662,55.159,0.418,0.404,32.75,,0.53
try1,Gold,1.0,42.76,439,21780,218,187.889,0.997,303.335,0.713,86.188,0.602,0.566,42.76,,0.67
tryb1,Gold,1.0,33.78,148,7660,77,50.255,0.99,95.377,0.668,65.267,0.464,0.439,33.78,,0.6
tysy,Gold,1.0,45.87,109,6758,68,50.309,0.994,173.47,0.729,73.984,0.579,0.563,45.87,,0.7
urok,Gold,1.0,43.21,162,9687,97,70.094,0.994,153.174,0.715,72.262,0.554,0.535,43.21,,0.66
vgfr2,Gold,1.0,20.54,379,17864,179,78.003,0.973,35.631,0.6,43.577,0.289,0.27,20.54,,0.35
wee1,Gold,1.0,61.76,102,6123,62,63.787,1.0,-2106.6,0.813,102.883,0.8,0.775,61.76,,0.89
xiap,Gold,1.0,26.0,99,5117,52,26.158,0.981,51.305,0.63,50.303,0.356,0.338,26.0,,0.5
aa2ar,Glide,1.0,5.21,481,10862,109,25.148,0.866,6.473,0.522,23.071,0.091,0.07,5.21,,0.13
abl1,Glide,1.0,17.42,180,9814,99,31.631,0.962,25.129,0.584,31.95,0.227,0.217,17.42,,0.33
ace,Glide,1.0,5.42,278,17051,171,15.111,0.854,5.848,0.523,8.837,0.057,0.056,5.42,,0.09
aces,Glide,1.0,8.13,441,25390,254,35.867,0.903,9.302,0.536,14.121,0.095,0.092,8.13,,0.16
ada,Glide,1.0,5.38,93,5527,56,5.069,0.853,5.816,0.523,9.053,0.058,0.056,5.38,,0.15
ada17,Glide,1.0,28.91,516,36010,361,149.548,0.98,48.649,0.642,41.426,0.339,0.333,28.91,,0.43
adrb1,Glide,1.0,18.7,247,15925,160,46.407,0.963,25.931,0.59,29.004,0.224,0.219,18.7,,0.32
adrb2,Glide,1.0,27.71,231,14649,147,64.233,0.98,48.439,0.636,43.696,0.34,0.332,27.71,,0.47
akt1,Glide,1.0,10.92,292,16176,162,31.934,0.93,13.356,0.551,19.712,0.135,0.129,10.92,,0.21
akt2,Glide,1.0,24.35,116,6745,68,28.476,0.976,41.173,0.62,41.877,0.312,0.301,24.35,,0.42
aldr,Glide,1.0,27.67,158,9054,91,43.941,0.981,52.573,0.636,48.287,0.358,0.345,27.67,,0.43
ampc,Glide,1.0,2.08,48,2866,29,1.01,0.679,2.119,0.506,3.484,0.014,0.014,2.08,,0.09
andr,Glide,1.0,25.7,178,10025,101,46.088,0.979,46.431,0.627,45.632,0.335,0.322,25.7,,0.42
aofb,Glide,1.0,6.67,121,6975,70,8.1,0.881,7.412,0.529,11.571,0.076,0.073,6.67,,0.14
bace1,Glide,1.0,14.13,280,17898,179,39.568,0.947,17.856,0.567,22.105,0.166,0.162,14.13,,0.26
braf,Glide,1.0,29.8,150,9887,99,44.759,0.982,53.565,0.646,45.211,0.359,0.352,29.8,,0.5
cah2,Glide,1.0,3.89,492,31266,313,19.16,0.803,4.078,0.515,6.121,0.037,0.036,3.89,,0.08
casp3,Glide,1.0,27.78,199,10828,109,55.65,0.982,55.714,0.637,51.055,0.37,0.353,27.78,,0.46
cdk2,Glide,1.0,29.87,471,27755,278,140.916,0.983,59.547,0.647,50.689,0.382,0.368,29.87,,0.5
comt,Glide,1.0,83.78,41,3872,39,34.598,0.999,734.431,0.921,88.713,0.864,0.864,83.78,,0.95
cp2c9,Glide,1.0,0.88,120,7325,74,1.067,0.468,0.878,0.499,1.442,-0.002,-0.002,0.88,,0.04
cp3a4,Glide,1.0,11.8,160,11766,118,18.935,0.933,13.864,0.555,16.046,0.128,0.126,11.8,,0.17
csf1r,Glide,1.0,18.4,164,12006,121,30.412,0.96,24.242,0.589,25.134,0.207,0.204,18.4,,0.31
cxcr4,Glide,1.0,0.0,39,3413,35,0.0,0.0,0.0,0.495,0.0,-0.011,-0.011,0.0,,0.01
def,Glide,1.0,5.13,99,5758,58,5.116,0.847,5.53,0.521,8.82,0.055,0.053,5.13,,0.14
dhi1,Glide,1.0,7.03,329,19461,195,23.175,0.887,7.843,0.531,11.885,0.08,0.077,7.03,,0.13
dpp4,Glide,1.0,11.84,532,40888,409,63.007,0.932,13.814,0.555,15.405,0.125,0.124,11.84,,0.22
drd3,Glide,1.0,1.69,478,33326,334,8.096,0.631,1.707,0.504,2.424,0.008,0.008,1.69,,0.04
dyr,Glide,1.0,30.87,231,17074,171,71.418,0.981,52.292,0.652,41.765,0.352,0.348,30.87,,0.47
egfr,Glide,1.0,24.95,540,34875,349,134.827,0.976,40.027,0.622,38.632,0.302,0.295,24.95,,0.41
esr1,Glide,1.0,48.78,375,20175,202,183.152,0.998,513.065,0.744,90.669,0.661,0.63,48.78,,0.81
esr2,Glide,1.0,44.26,363,19336,194,161.196,0.996,256.833,0.721,83.091,0.602,0.573,44.26,,0.75
fa10,Glide,1.0,13.74,537,20046,201,73.983,0.955,21.161,0.566,36.807,0.213,0.189,13.74,,0.31
fa7,Glide,1.0,44.04,114,6114,62,50.912,0.996,241.659,0.722,82.116,0.6,0.573,44.04,,0.71
fabp4,Glide,1.0,25.58,47,2518,26,12.414,0.98,48.04,0.629,47.747,0.346,0.331,25.58,,0.48
fak1,Glide,1.0,20.0,99,5388,54,19.844,0.969,31.039,0.597,36.748,0.262,0.25,20.0,,0.33
fgfr1,Glide,1.0,0.0,129,435,5,0.0,0.0,0.0,0.492,0.0,-0.07,-0.023,0.0,,0.04
fkb1a,Glide,1.0,41.82,111,5887,59,46.523,0.995,194.021,0.708,78.852,0.569,0.541,41.82,,0.71
fnta,Glide,1.0,6.85,589,51372,514,40.368,0.88,7.349,0.53,7.854,0.063,0.063,6.85,,0.12
fpps,Glide,1.0,1.23,85,8817,89,1.055,0.552,1.233,0.501,1.242,0.002,0.002,1.23,,0.01
gcr,Glide,1.0,16.56,183,12612,127,30.516,0.956,21.481,0.579,24.029,0.19,0.187,16.56,,0.25
glcm,Glide,1.0,11.11,54,3834,39,6.103,0.928,12.985,0.552,15.648,0.122,0.121,11.11,,0.18
gria2,Glide,1.0,33.33,158,11662,117,52.833,0.984,59.949,0.664,45.156,0.381,0.377,33.33,,0.48
grik1,Glide,1.0,20.0,101,6620,67,20.444,0.966,28.343,0.598,30.514,0.239,0.234,20.0,,0.33
hdac2,Glide,1.0,15.84,180,10352,104,28.644,0.956,21.481,0.576,27.543,0.199,0.191,15.84,,0.27
hdac8,Glide,1.0,2.45,164,10481,105,4.025,0.715,2.508,0.507,3.834,0.018,0.018,2.45,,0.1
hivint,Glide,1.0,2.06,100,6673,67,2.068,0.677,2.094,0.505,3.087,0.013,0.013,2.06,,0.04
hivpr,Glide,1.0,9.14,519,35905,360,47.562,0.912,10.379,0.541,13.212,0.099,0.098,9.14,,0.16
hivrt,Glide,1.0,22.94,337,18737,188,77.568,0.975,38.351,0.612,41.259,0.299,0.286,22.94,,0.41
hmdh,Glide,1.0,39.41,168,8878,89,66.373,0.993,152.079,0.696,74.576,0.537,0.51,39.41,,0.69
hs90a,Glide,1.0,1.16,86,4840,49,1.01,0.538,1.163,0.501,2.061,0.002,0.002,1.16,,0.03
hxk4,Glide,1.0,22.83,91,4720,48,21.127,0.976,39.993,0.613,44.015,0.31,0.295,22.83,,0.38
igf1r,Glide,1.0,32.65,147,9044,91,48.293,0.986,68.439,0.662,53.069,0.41,0.398,32.65,,0.5
inha,Glide,1.0,9.3,43,2329,24,4.121,0.917,11.021,0.544,17.17,0.116,0.111,9.3,,0.15
ital,Glide,1.0,8.91,136,8377,84,12.151,0.911,10.248,0.54,14.465,0.102,0.099,8.91,,0.13
jak2,Glide,1.0,33.77,106,6465,65,35.99,0.987,74.425,0.667,55.369,0.426,0.414,33.77,,0.51
kif11,Glide,1.0,38.79,116,6837,69,45.411,0.991,111.539,0.694,65.813,0.501,0.484,38.79,,0.59
kit,Glide,1.0,6.1,165,10323,104,10.14,0.869,6.651,0.526,9.75,0.066,0.064,6.1,,0.11
kith,Glide,1.0,30.77,57,2894,29,17.575,0.987,76.567,0.652,60.604,0.425,0.401,30.77,,0.63
kpcb,Glide,1.0,52.46,126,8611,87,66.783,0.996,222.446,0.764,76.762,0.634,0.623,52.46,,0.69
lck,Glide,1.0,25.12,416,27305,274,104.863,0.976,40.074,0.623,38.271,0.302,0.295,25.12,,0.39
lkha4,Glide,1.0,28.24,170,7992,80,48.056,0.986,69.22,0.639,60.07,0.404,0.376,28.24,,0.57
mapk2,Glide,1.0,27.72,100,6155,62,27.923,0.98,49.614,0.637,45.037,0.346,0.336,27.72,,0.49
mcr,Glide,1.0,29.41,38,2490,25,11.221,0.981,52.545,0.645,44.883,0.356,0.348,29.41,,0.39
met,Glide,1.0,27.71,165,11027,111,46.024,0.979,46.629,0.636,41.463,0.332,0.325,27.71,,0.44
mk01,Glide,1.0,12.66,78,4485,45,9.908,0.941,15.952,0.56,22.017,0.156,0.15,12.66,,0.28
mk10,Glide,1.0,12.5,103,6558,66,12.957,0.939,15.309,0.559,19.633,0.146,0.143,12.5,,0.26
mk14,Glide,1.0,22.15,578,35731,358,128.274,0.971,33.96,0.608,35.831,0.273,0.265,22.15,,0.36
mmp13,Glide,1.0,18.41,567,37374,374,104.457,0.962,25.157,0.588,27.93,0.217,0.213,18.41,,0.3
mp2k1,Glide,1.0,13.22,120,8089,81,15.886,0.942,16.201,0.562,19.612,0.151,0.148,13.22,,0.22
nos1,Glide,1.0,14.29,100,8044,81,14.389,0.945,17.161,0.568,17.765,0.15,0.15,14.29,,0.2
nram,Glide,1.0,41.84,98,4300,43,41.003,0.999,880.467,0.709,95.356,0.627,0.576,41.84,,0.68
