Target,Model,EF1,AUC_ROC,AUC,BEDROC,Source
dhi1,Scardino et al.(free)*,7,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
cox1,Scardino et al.(free)*,1.90,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
cdk2,Scardino et al.(free)*,16,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
ace,Scardino et al.(free)*,14,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
fa7,Scardino et al.(free)*,26.60,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
kpcb,Scardino et al.(free)*,46,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
igf1r,Scardino et al.(free)*,30,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
hxk4,Scardino et al.(free)*,2,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
prgr,Scardino et al.(free)*,8,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
nram,Scardino et al.(free)*,2,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
kith,Scardino et al.(free)*,8,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
lfa1,Scardino et al.(free)*,10.60,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
urok,Scardino et al.(free)*,43,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
andr,Scardino et al.(free)*,7,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
aa2ar,Gold,17.01,,0.87,0.29,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
abl1,Gold,26.92,,0.90,0.46,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ace,Gold,14.54,,0.74,0.27,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
aces,Gold,22.52,,0.75,0.36,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ada,Gold,18.28,,0.91,0.32,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ada17,Gold,20.49,,0.77,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
adrb1,Gold,27.53,,0.86,0.45,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
adrb2,Gold,26.41,,0.87,0.42,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
akt1,Gold,20.48,,0.91,0.38,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
akt2,Gold,41.03,,0.94,0.63,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
aldr,Gold,23.90,,0.79,0.40,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ampc,Gold,0,,0.75,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
andr,Gold,1.12,,0.57,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
aofb,Gold,16.39,,0.84,0.27,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
bace1,Gold,25.44,,0.78,0.41,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
braf,Gold,25,,0.91,0.39,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
cah2,Gold,16.70,,0.82,0.29,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
casp3,Gold,25.13,,0.91,0.49,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
cdk2,Gold,15.82,,0.85,0.29,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
comt,Gold,70.73,,0.99,0.82,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
cp2c9,Gold,5.83,,0.82,0.12,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
cp3a4,Gold,12.35,,0.77,0.22,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
csf1r,Gold,19.28,,0.87,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
cxcr4,Gold,2.50,,0.92,0.11,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
def,Gold,26.47,,0.91,0.48,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
dhi1,Gold,8.79,,0.75,0.16,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
dpp4,Gold,20.08,,0.75,0.30,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
drd3,Gold,11.04,,0.73,0.18,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
dyr,Gold,48.48,,0.92,0.66,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
egfr,Gold,25.09,,0.84,0.40,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
esr1,Gold,24.61,,0.76,0.42,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
esr2,Gold,17.49,,0.79,0.31,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fa10,Gold,34.26,,0.90,0.72,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fa7,Gold,45.61,,0.97,0.77,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fabp4,Gold,31.91,,0.87,0.50,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fak1,Gold,29,,0.95,0.52,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fgfr1,Gold,3.60,,0.70,0.83,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fkb1a,Gold,25,,0.84,0.39,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fnta,Gold,21.62,,0.78,0.32,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fpps,Gold,91.76,,1,0.97,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
gcr,Gold,6.98,,0.54,0.13,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
glcm,Gold,27.78,,0.90,0.40,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
gria2,Gold,14.56,,0.83,0.23,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
grik1,Gold,29.70,,0.92,0.47,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hdac2,Gold,16.76,,0.88,0.32,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hdac8,Gold,10,,0.87,0.21,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hivint,Gold,9,,0.78,0.17,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hivpr,Gold,17.91,,0.64,0.28,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hivrt,Gold,12.72,,0.80,0.23,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hmdh,Gold,24.12,,0.87,0.42,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hs90a,Gold,13.64,,0.85,0.26,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hxk4,Gold,14.13,,0.88,0.31,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
igf1r,Gold,28.38,,0.90,0.46,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
inha,Gold,25.58,,0.96,0.55,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ital,Gold,6.52,,0.80,0.12,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
jak2,Gold,28.97,,0.94,0.49,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
kif11,Gold,33.62,,0.89,0.54,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
kit,Gold,14.46,,0.83,0.25,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
kith,Gold,15.79,,0.87,0.30,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
kpcb,Gold,28.89,,0.90,0.50,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
lck,Gold,15.48,,0.80,0.26,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
lkha4,Gold,13.45,,0.85,0.28,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mapk2,Gold,21.78,,0.91,0.43,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mcr,Gold,2.13,,0.54,0.05,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
met,Gold,39.76,,0.93,0.61,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mk01,Gold,20.25,,0.94,0.44,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mk10,Gold,23.08,,0.91,0.41,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mk14,Gold,14.19,,0.82,0.26,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mmp13,Gold,25.70,,0.76,0.40,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mp2k1,Gold,23.14,,0.86,0.37,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
nos1,Gold,20,,0.87,0.30,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
nram,Gold,19.39,,0.93,0.39,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pa2ga,Gold,20.20,,0.82,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
parp1,Gold,14.17,,0.80,0.24,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pde5a,Gold,10.55,,0.73,0.18,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pgh1,Gold,14.36,,0.73,0.25,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pgh2,Gold,18.62,,0.77,0.33,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
plk1,Gold,30.84,,0.90,0.49,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pnph,Gold,25.24,,0.94,0.47,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ppara,Gold,17.43,,0.85,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ppard,Gold,12.08,,0.84,0.24,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pparg,Gold,17.36,,0.84,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
prgr,Gold,2.39,,0.64,0.07,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ptn1,Gold,41.54,,0.91,0.66,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pur2,Gold,56,,1,0.95,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pygm,Gold,6.49,,0.80,0.19,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pyrd,Gold,31.53,,0.85,0.52,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
reni,Gold,24.04,,0.85,0.44,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
rock1,Gold,12,,0.90,0.24,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
rxra,Gold,30.53,,0.82,0.52,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
sahh,Gold,42.86,,0.89,0.69,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
src,Gold,14.31,,0.77,0.24,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
tgfr1,Gold,38.35,,0.96,0.60,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
thb,Gold,31.07,,0.91,0.46,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
thrb,Gold,32.75,,0.85,0.53,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
try1,Gold,42.76,,0.88,0.67,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
tryb1,Gold,33.78,,0.90,0.60,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
tysy,Gold,45.87,,0.94,0.70,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
urok,Gold,43.21,,0.91,0.66,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
vgfr2,Gold,20.54,,0.82,0.35,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
wee1,Gold,61.76,,0.98,0.89,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
xiap,Gold,26,,0.94,0.50,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
aa2ar,Glide,5.21,,0.80,0.13,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
abl1,Glide,17.42,,0.74,0.33,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ace,Glide,5.42,,0.72,0.09,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
aces,Glide,8.13,,0.67,0.16,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ada,Glide,5.38,,0.68,0.15,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ada17,Glide,28.91,,0.81,0.43,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
adrb1,Glide,18.70,,0.88,0.32,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
adrb2,Glide,27.71,,0.88,0.47,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
akt1,Glide,10.92,,0.78,0.21,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
akt2,Glide,24.35,,0.85,0.42,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
aldr,Glide,27.67,,0.79,0.43,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ampc,Glide,2.08,,0.79,0.09,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
andr,Glide,25.70,,0.84,0.42,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
aofb,Glide,6.67,,0.76,0.14,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
bace1,Glide,14.13,,0.82,0.26,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
braf,Glide,29.80,,0.86,0.50,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
cah2,Glide,3.89,,0.77,0.08,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
casp3,Glide,27.78,,0.76,0.46,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
cdk2,Glide,29.87,,0.88,0.50,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
comt,Glide,83.78,,1,0.95,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
cp2c9,Glide,0.88,,0.64,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
cp3a4,Glide,11.80,,0.72,0.17,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
csf1r,Glide,18.40,,0.80,0.31,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
cxcr4,Glide,0,,0.72,0.01,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
def,Glide,5.13,,0.87,0.14,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
dhi1,Glide,7.03,,0.68,0.13,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
dpp4,Glide,11.84,,0.87,0.22,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
drd3,Glide,1.69,,0.72,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
dyr,Glide,30.87,,0.87,0.47,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
egfr,Glide,24.95,,0.84,0.41,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
esr1,Glide,48.78,,0.91,0.81,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
esr2,Glide,44.26,,0.94,0.75,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fa10,Glide,13.74,,0.68,0.31,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fa7,Glide,44.04,,0.91,0.71,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fabp4,Glide,25.58,,0.85,0.48,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fak1,Glide,20,,0.80,0.33,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fgfr1,Glide,0,,0.48,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fkb1a,Glide,41.82,,0.87,0.71,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fnta,Glide,6.85,,0.75,0.12,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
fpps,Glide,1.23,,0.55,0.01,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
gcr,Glide,16.56,,0.72,0.25,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
glcm,Glide,11.11,,0.65,0.18,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
gria2,Glide,33.33,,0.77,0.48,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
grik1,Glide,20,,0.90,0.33,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hdac2,Glide,15.84,,0.63,0.27,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hdac8,Glide,2.45,,0.88,0.10,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hivint,Glide,2.06,,0.72,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hivpr,Glide,9.14,,0.72,0.16,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hivrt,Glide,22.94,,0.83,0.41,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hmdh,Glide,39.41,,0.92,0.69,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hs90a,Glide,1.16,,0.65,0.03,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
hxk4,Glide,22.83,,0.57,0.38,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
igf1r,Glide,32.65,,0.86,0.50,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
inha,Glide,9.30,,0.56,0.15,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ital,Glide,8.91,,0.68,0.13,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
jak2,Glide,33.77,,0.88,0.51,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
kif11,Glide,38.79,,0.90,0.59,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
kit,Glide,6.10,,0.65,0.11,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
kith,Glide,30.77,,0.72,0.63,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
kpcb,Glide,52.46,,0.86,0.69,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
lck,Glide,25.12,,0.83,0.39,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
lkha4,Glide,28.24,,0.94,0.57,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mapk2,Glide,27.72,,0.92,0.49,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mcr,Glide,29.41,,0.82,0.39,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
met,Glide,27.71,,0.83,0.44,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mk01,Glide,12.66,,0.84,0.28,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mk10,Glide,12.50,,0.85,0.26,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mk14,Glide,22.15,,0.72,0.36,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mmp13,Glide,18.41,,0.77,0.30,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
mp2k1,Glide,13.22,,0.75,0.22,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
nos1,Glide,14.29,,0.75,0.20,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
nram,Glide,41.84,,0.95,0.68,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pa2ga,Glide,35.35,,0.79,0.59,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
parp1,Glide,41.12,,0.95,0.67,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pde5a,Glide,21.77,,0.85,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pgh1,Glide,17.11,,0.76,0.30,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pgh2,Glide,34.91,,0.82,0.60,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
plk1,Glide,43.81,,0.91,0.62,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pnph,Glide,7.77,,0.76,0.16,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ppara,Glide,8.94,,0.73,0.21,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ppard,Glide,3.61,,0.66,0.11,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pparg,Glide,7.53,,0.74,0.17,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
prgr,Glide,19.05,,0.84,0.22,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
ptn1,Glide,15.45,,0.84,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pur2,Glide,54,,0.99,0.97,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pygm,Glide,1.30,,0.56,0.02,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
pyrd,Glide,41.18,,0.88,0.62,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
reni,Glide,33.98,,0.84,0.48,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
rock1,Glide,25.25,,0.84,0.41,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
rxra,Glide,39.32,,0.97,0.84,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
sahh,Glide,43.33,,0.98,0.96,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
src,Glide,12.21,,0.74,0.23,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
tgfr1,Glide,44.36,,0.96,0.67,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
thb,Glide,35.79,,0.85,0.61,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
thrb,Glide,39.47,,0.92,0.65,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
try1,Glide,44.19,,0.91,0.69,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
tryb1,Glide,28.57,,0.88,0.47,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
tysy,Glide,38.53,,0.93,0.64,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
urok,Glide,53.70,,0.92,0.79,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
vgfr2,Glide,17,,0.68,0.30,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
wee1,Glide,59.80,,1,0.99,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
xiap,Glide,50.51,,0.82,0.77,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
aa2ar,Flexx,6.02,,0.74,0.11,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
abl1,Flexx,27.78,,0.85,0.48,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057
