clustering_method,method_name,selected_columns,abl1,ace,aldr,andr,cdk2,cox1,dhi1,drd3,dyr,esr1,fa7,fabp4,gria2,hdac2,hivrt,hmdh,hs90a,hxk4,igf1r,kith,kpcb,lfa1,lkha4,nram,pnph,prgr,ptn1,pyrd,reni,urok,xiap,Average
RMSD,method5,AD4_SCORCH,6.03,3.59,0.63,3.72,2.74,1.54,8.8,1.39,8.22,4.44,14.11,0.0,1.27,3.23,0.0,0.0,1.14,3.25,2.03,1.76,7.42,2.18,10.56,5.09,4.87,1.71,19.89,3.51,11.59,9.84,6.01,4.856774193548387
RMSD,method6,AD4_SCORCH,3.29,5.38,0.63,1.49,4.43,2.05,5.16,1.67,12.11,1.83,12.35,2.09,0.0,0.0,0.0,0.59,0.0,6.5,0.0,0.0,0.74,2.18,0.59,2.04,5.85,2.05,13.01,0.0,5.79,14.77,0.0,3.4383870967741936
RMSD,method7,AD4_SCORCH,3.29,4.67,1.26,2.6,3.16,1.54,5.76,1.95,11.67,1.83,10.58,2.09,0.63,1.08,0.0,0.59,0.0,5.42,0.0,0.0,2.23,1.45,1.17,2.04,2.92,1.37,13.01,0.0,12.55,14.15,2.0,3.5809677419354844
RMSD,method1,RFScoreVS_RTMScore,31.24,20.46,24.66,15.62,21.5,12.31,9.1,4.18,39.78,38.41,52.92,12.55,27.3,4.85,17.83,32.36,28.55,1.08,35.16,5.27,44.54,15.27,14.66,19.36,38.0,18.83,40.55,14.02,11.59,43.69,44.1,23.862580645161295
RMSD,method2,RFScoreVS_RTMScore,37.27,18.66,18.34,26.03,20.44,9.74,16.08,4.46,31.56,35.54,43.22,18.82,17.14,2.69,17.83,32.95,20.56,0.0,40.57,21.08,29.69,24.73,19.35,12.23,35.08,22.26,37.49,14.9,14.48,32.0,40.09,23.07354838709678
RMSD,method3,RFScoreVS_RTMScore,22.47,14.36,7.59,17.11,13.49,5.13,10.31,3.63,18.16,12.02,17.64,12.55,8.89,5.93,14.26,23.54,2.28,0.0,28.4,15.81,23.01,6.55,19.35,2.04,7.79,13.7,28.31,14.02,8.69,16.61,27.06,13.570967741935483
RMSD,method4,RFScoreVS_RTMScore,13.16,14.0,5.06,14.87,13.28,4.1,9.1,3.35,16.0,9.41,18.52,12.55,8.89,6.47,17.83,18.83,2.28,0.0,27.05,12.3,24.5,3.64,19.94,3.06,6.82,12.67,28.31,14.9,10.62,16.0,27.06,12.728064516129033
RMSD,method5,RFScoreVS_RTMScore,36.73,18.66,8.22,16.36,18.13,9.23,15.47,4.74,27.24,31.88,40.58,16.73,15.87,2.69,17.83,30.6,17.13,0.0,35.84,15.81,30.44,13.09,19.94,6.11,27.28,16.44,34.43,14.9,12.55,30.15,38.09,20.101935483870967
RMSD,method6,RFScoreVS_RTMScore,36.18,17.23,25.29,29.0,24.24,19.49,23.66,6.97,44.1,43.64,51.16,20.91,29.84,2.69,17.83,41.78,27.41,2.17,40.57,45.68,42.31,34.18,21.7,30.56,52.61,29.79,39.78,15.77,16.41,40.0,39.09,29.42064516129032
RMSD,method7,RFScoreVS_RTMScore,37.27,18.31,25.92,31.98,20.02,14.87,22.45,6.69,40.64,41.28,50.28,16.73,19.68,5.39,17.83,41.19,17.13,1.08,43.28,45.68,33.41,28.36,21.7,20.38,44.82,30.48,40.55,15.77,15.45,36.3,38.09,27.193870967741937
RMSD,method1,RFScoreVS_SCORCH,23.57,25.84,12.64,21.57,16.23,13.84,19.42,6.14,38.05,21.43,40.58,8.36,15.24,0.0,10.7,26.48,0.0,15.17,22.31,1.76,34.15,10.91,12.9,20.38,38.97,18.49,26.01,12.27,18.34,36.3,19.04,18.93838709677419
RMSD,method2,RFScoreVS_SCORCH,29.6,12.92,9.48,26.03,12.65,6.67,20.02,6.41,32.86,30.57,32.64,10.46,8.89,1.08,7.13,22.36,0.0,10.83,31.78,17.57,19.3,18.18,17.01,18.34,25.33,14.04,26.01,15.77,15.45,25.84,16.04,17.46
RMSD,method3,RFScoreVS_SCORCH,24.12,12.2,13.28,21.2,11.38,4.61,18.2,6.69,24.21,24.04,16.76,10.46,5.08,8.62,10.7,19.42,0.0,6.5,24.34,19.32,15.59,8.0,12.32,18.34,16.56,15.07,22.19,7.89,15.45,22.15,16.04,14.539677419354838
RMSD,method4,RFScoreVS_SCORCH,18.64,19.38,13.91,20.45,14.75,7.18,18.2,6.69,25.51,20.9,15.88,4.18,4.44,7.54,14.26,25.89,1.14,13.0,16.23,8.78,25.98,5.09,9.38,21.39,18.51,12.67,22.19,6.13,20.28,20.31,15.04,14.642580645161292
RMSD,method5,RFScoreVS_SCORCH,27.41,10.05,4.43,15.25,15.17,5.13,20.02,6.41,25.94,24.3,29.99,10.46,6.98,1.62,7.13,14.12,1.14,7.58,27.05,12.3,20.79,10.91,13.49,17.32,20.46,6.85,22.19,11.39,14.48,28.3,15.04,14.635483870967743
RMSD,method6,RFScoreVS_SCORCH,23.02,16.51,20.23,22.68,9.27,14.87,20.93,4.18,39.35,37.89,45.87,8.36,10.79,0.0,7.13,27.66,4.57,9.75,13.52,31.62,21.53,20.36,9.38,16.3,40.92,26.02,28.31,15.77,8.69,32.0,19.04,19.565161290322582
RMSD,method7,RFScoreVS_SCORCH,32.34,14.36,18.34,26.03,11.38,11.79,21.54,4.74,38.48,36.06,40.58,10.46,10.16,0.54,7.13,28.24,4.57,8.67,28.4,31.62,19.3,21.09,12.9,15.28,34.1,22.94,26.78,15.77,12.55,30.77,23.05,19.998709677419352
RMSD,method1,RTMScore_SCORCH,18.09,15.79,1.26,4.83,17.07,6.67,5.16,1.95,28.97,7.32,42.34,2.09,10.16,4.85,7.13,10.59,6.85,1.08,4.73,0.0,28.21,5.82,3.52,11.21,26.31,5.82,27.54,8.76,7.72,36.92,12.03,11.960967741935484
RMSD,method2,RTMScore_SCORCH,9.87,8.26,1.26,4.46,9.91,3.59,6.07,2.51,20.32,5.49,23.82,2.09,2.54,3.23,0.0,3.53,3.43,6.5,2.7,0.0,20.79,2.91,2.35,12.23,9.74,2.74,25.25,4.38,6.76,21.54,16.04,7.880967741935483
RMSD,method3,RTMScore_SCORCH,7.67,2.15,0.63,4.46,8.43,1.03,7.28,3.07,14.7,3.14,7.06,4.18,2.54,2.16,0.0,9.41,1.14,4.33,5.41,0.0,18.56,0.73,4.11,5.09,2.92,3.42,20.66,2.63,7.72,14.77,12.03,5.85258064516129
RMSD,method4,RTMScore_SCORCH,6.58,6.82,0.63,4.46,8.22,1.03,10.62,2.79,18.16,2.35,7.06,2.09,1.27,2.69,3.57,14.12,2.28,5.42,4.73,1.76,20.04,1.45,5.28,3.06,2.92,2.05,19.13,6.13,7.72,16.61,14.03,6.615161290322582
RMSD,method5,RTMScore_SCORCH,9.87,5.03,0.63,4.09,9.7,3.08,7.28,2.79,22.05,3.92,18.52,2.09,1.9,3.23,0.0,4.71,3.43,3.25,2.03,0.0,20.04,2.18,4.69,10.19,6.82,2.4,19.89,4.38,6.76,20.92,13.03,7.061290322580645
RMSD,method6,RTMScore_SCORCH,10.41,5.74,0.63,2.97,8.64,3.59,5.76,1.95,19.02,2.09,28.23,2.09,0.63,0.0,0.0,0.59,0.0,7.58,8.11,0.0,16.33,1.45,2.35,2.04,5.85,2.05,14.54,1.75,2.9,17.84,3.01,5.7464516129032255
RMSD,method7,RTMScore_SCORCH,7.67,4.31,1.26,3.72,6.96,1.03,7.28,2.51,18.59,1.83,19.41,2.09,0.0,1.62,0.0,0.59,1.14,7.58,6.09,0.0,16.33,1.45,1.76,3.06,4.87,1.37,17.6,2.63,6.76,17.84,6.01,5.592258064516129
RMSD,method1,AD4_RTMScore_SCORCH,18.09,14.36,5.06,2.97,15.17,5.13,4.55,2.23,24.21,12.02,43.22,4.18,6.98,7.0,3.57,10.59,3.43,0.0,16.9,1.76,25.98,3.64,14.08,6.11,24.36,5.14,29.84,7.01,12.55,26.46,13.03,11.92322580645161
RMSD,method2,AD4_RTMScore_SCORCH,15.35,13.64,3.16,4.46,11.8,4.61,5.46,2.79,16.43,7.32,28.23,6.27,5.08,5.39,0.0,7.06,1.14,2.17,14.2,3.51,23.76,1.45,18.77,4.08,13.64,5.48,25.25,4.38,9.66,17.23,17.04,9.639032258064516
RMSD,method3,AD4_RTMScore_SCORCH,7.13,6.1,2.53,4.09,7.17,0.51,4.85,3.35,9.94,3.4,9.7,8.36,3.17,2.16,0.0,13.53,1.14,1.08,9.47,0.0,18.56,1.45,12.32,1.02,0.97,4.79,21.42,3.51,11.59,9.84,16.04,6.425483870967741
RMSD,method4,AD4_RTMScore_SCORCH,8.77,12.56,1.26,1.86,6.53,1.54,10.92,2.51,11.67,2.09,11.47,6.27,1.27,3.23,0.0,15.89,1.14,2.17,10.14,5.27,19.3,2.18,14.08,1.02,3.9,4.79,20.66,4.38,14.48,12.31,10.02,7.215483870967741
RMSD,method5,AD4_RTMScore_SCORCH,12.06,11.84,1.26,3.72,9.91,4.1,6.67,2.79,12.54,4.96,27.34,10.46,5.08,5.39,0.0,6.47,2.28,3.25,12.17,1.76,23.01,1.45,15.25,3.06,12.67,5.82,26.01,5.26,8.69,17.84,17.04,9.037096774193548
RMSD,method6,AD4_RTMScore_SCORCH,11.51,8.97,1.26,1.86,10.33,3.08,6.07,1.67,20.32,2.35,30.87,2.09,0.63,0.0,0.0,0.59,0.0,8.67,12.85,0.0,21.53,2.91,2.35,6.11,5.85,2.05,17.6,3.51,4.83,19.07,6.01,6.933548387096774
RMSD,method7,AD4_RTMScore_SCORCH,8.77,12.56,0.63,2.97,10.12,1.03,8.49,2.23,18.59,1.57,25.58,2.09,0.63,3.23,0.0,0.59,2.28,7.58,10.82,0.0,20.04,2.18,3.52,1.02,4.87,1.37,19.13,2.63,12.55,17.84,12.03,6.998064516129032
RMSD,method1,RFScoreVS_RTMScore_SCORCH,29.05,29.07,15.81,16.36,25.92,11.79,13.95,4.74,45.4,37.36,50.28,10.46,29.21,4.31,14.26,33.54,25.13,3.25,30.43,3.51,45.28,13.82,14.66,22.41,42.87,18.83,37.49,14.02,17.38,48.61,42.1,24.235483870967744
RMSD,method2,RFScoreVS_RTMScore_SCORCH,33.44,21.89,6.32,20.08,20.87,8.72,20.63,5.02,37.62,33.71,41.46,14.64,16.51,3.23,17.83,32.36,12.56,5.42,34.49,15.81,32.66,14.55,17.01,21.39,32.15,17.46,34.43,14.02,14.48,36.92,33.08,21.63741935483871
RMSD,method3,RFScoreVS_RTMScore_SCORCH,14.8,16.87,4.43,14.87,12.86,3.59,15.47,4.18,22.48,14.37,17.64,12.55,8.89,3.77,10.7,24.13,2.28,5.42,19.61,10.54,25.24,4.36,17.01,10.19,4.87,15.07,26.01,14.9,16.41,19.69,25.06,13.492258064516129
RMSD,method4,RFScoreVS_RTMScore_SCORCH,15.35,22.61,2.53,16.73,13.49,4.61,16.99,3.9,24.65,9.93,19.41,14.64,3.17,7.0,17.83,33.54,0.0,6.5,22.99,12.3,31.18,7.27,15.84,13.24,14.62,9.93,26.01,12.27,19.31,24.0,24.06,15.029032258064515
RMSD,method5,RFScoreVS_RTMScore_SCORCH,29.05,18.66,3.79,16.36,18.76,6.67,17.29,5.3,35.45,27.44,38.81,12.55,13.97,3.77,17.83,28.83,8.0,5.42,29.75,10.54,31.18,11.64,16.42,17.32,23.38,14.04,29.84,14.02,15.45,35.07,30.07,18.92483870967742
RMSD,method6,RFScoreVS_RTMScore_SCORCH,24.67,19.38,20.23,22.68,19.6,14.87,20.93,5.58,44.53,39.98,51.16,10.46,18.41,0.0,10.7,39.43,9.14,9.75,29.08,33.38,39.34,19.64,12.32,23.43,43.85,27.05,33.66,15.77,13.52,36.92,25.06,23.694193548387094
RMSD,method7,RFScoreVS_RTMScore_SCORCH,31.24,16.51,14.54,24.91,18.76,11.28,22.15,5.3,41.94,36.32,48.51,14.64,12.06,2.16,10.7,32.36,6.85,7.58,33.13,36.89,33.41,19.64,17.01,16.3,35.08,21.91,30.6,15.77,14.48,32.0,31.07,22.422580645161293
spyRMSD,method1,AD4_CHEMPLP,4.93,13.48,6.32,2.24,2.32,2.57,2.12,0.83,2.16,6.27,10.58,12.55,6.35,9.16,3.33,3.53,0.0,0.0,8.11,15.81,11.88,0.0,18.18,1.02,4.87,1.37,13.77,4.54,5.79,3.08,11.07,6.071935483870968
spyRMSD,method2,AD4_CHEMPLP,7.67,14.55,2.53,2.24,2.11,1.03,3.64,1.94,3.03,6.01,11.47,2.09,9.52,11.86,0.0,5.88,0.0,0.0,8.11,19.32,11.88,0.0,26.98,1.02,9.74,3.77,19.89,0.91,4.83,4.92,14.09,6.807419354838711
spyRMSD,method3,AD4_CHEMPLP,7.13,12.42,1.9,1.49,2.32,0.0,2.73,1.67,0.0,4.7,7.94,0.0,8.25,10.24,0.0,4.71,1.14,0.0,6.09,8.78,10.39,0.0,21.7,1.02,7.79,2.4,16.07,0.0,5.79,3.69,13.09,5.272580645161291
spyRMSD,method4,AD4_CHEMPLP,7.13,12.77,1.9,1.49,1.9,0.0,2.73,1.39,0.0,4.96,8.82,0.0,8.25,10.78,0.0,5.3,1.14,0.0,6.09,8.78,10.39,0.0,21.7,1.02,7.79,2.74,16.83,0.0,5.79,3.08,14.09,5.38258064516129
spyRMSD,method5,AD4_CHEMPLP,7.13,12.42,3.79,2.24,1.26,0.51,3.64,0.56,0.43,4.18,8.82,0.0,6.98,10.78,0.0,5.88,1.14,0.0,7.44,17.57,10.39,0.0,25.22,2.04,8.77,3.77,18.36,0.91,4.83,3.69,13.09,5.994838709677421
spyRMSD,method6,AD4_CHEMPLP,3.29,14.55,6.95,2.61,2.74,2.06,1.52,1.39,1.3,6.01,9.7,14.64,4.44,8.62,3.33,4.71,0.0,0.0,8.11,10.54,14.1,0.0,19.94,0.0,2.92,1.03,15.3,7.26,3.86,3.08,11.07,5.970000000000001
spyRMSD,method7,AD4_CHEMPLP,6.58,15.61,5.06,1.86,2.11,0.0,2.73,0.83,0.43,4.96,11.47,6.27,8.89,11.86,0.0,5.3,0.0,0.0,6.76,14.05,11.14,0.0,25.81,1.02,8.77,2.05,19.13,1.81,4.83,4.31,14.09,6.378387096774195
spyRMSD,method1,AD4_LinF9,7.13,8.16,5.69,2.98,2.95,2.57,2.73,1.39,9.08,6.01,15.88,12.55,4.44,3.77,3.33,2.35,0.0,0.0,11.5,17.57,17.07,0.0,13.49,1.02,4.87,3.42,14.54,2.72,5.79,2.46,6.04,6.17741935483871
spyRMSD,method2,AD4_LinF9,12.61,9.58,3.16,3.73,3.58,1.03,2.73,0.56,6.49,3.4,14.11,6.27,3.17,4.85,0.0,2.35,0.0,0.0,18.93,17.57,18.56,0.73,19.35,1.02,8.77,4.45,16.83,3.63,4.83,2.46,9.06,6.574516129032258
spyRMSD,method3,AD4_LinF9,12.61,7.81,1.9,5.59,3.37,0.51,3.64,0.56,3.46,3.66,12.35,4.18,2.54,3.77,0.0,3.53,0.0,0.0,17.58,15.81,16.33,0.73,17.01,0.0,8.77,5.14,16.07,1.81,8.69,2.46,7.05,6.03
spyRMSD,method4,AD4_LinF9,12.06,7.45,1.9,6.71,3.58,0.51,3.64,0.56,3.46,3.4,13.23,4.18,2.54,3.77,0.0,4.12,0.0,0.0,17.58,15.81,16.33,0.73,17.59,0.0,8.77,5.14,16.07,1.81,8.69,2.46,8.05,6.133548387096774
spyRMSD,method5,AD4_LinF9,12.06,8.16,2.53,4.48,4.43,1.54,3.03,0.56,2.16,3.4,11.47,4.18,2.54,3.77,0.0,1.18,0.0,0.0,22.31,14.05,17.07,0.73,19.94,1.02,9.74,4.45,16.83,3.63,2.9,1.85,7.05,6.034193548387097
spyRMSD,method6,AD4_LinF9,7.13,8.16,5.69,1.49,3.37,1.54,3.03,1.39,8.22,7.05,14.11,12.55,4.44,5.39,3.33,1.77,0.0,0.0,10.82,24.6,18.56,0.73,10.56,1.02,4.87,4.45,14.54,5.44,3.86,1.23,7.05,6.335161290322581
spyRMSD,method7,AD4_LinF9,11.51,9.58,3.16,4.1,4.43,0.51,2.73,0.56,5.19,4.96,15.0,6.27,3.17,3.77,0.0,1.77,0.0,0.0,20.29,22.84,18.56,0.73,15.84,1.02,8.77,4.45,16.07,3.63,3.86,1.85,8.05,6.53774193548387
spyRMSD,method1,AD4_RTMScore,18.09,12.42,6.32,1.12,9.27,4.12,0.61,0.83,9.51,10.71,29.11,6.27,6.98,5.93,3.33,13.53,0.0,0.0,20.29,1.76,25.98,2.18,12.9,0.0,18.51,5.82,22.19,8.17,5.79,8.0,19.13,9.318387096774194
spyRMSD,method2,AD4_RTMScore,15.9,14.19,3.16,2.24,7.8,2.57,1.52,1.67,7.35,6.79,30.87,6.27,8.25,7.01,0.0,10.59,0.0,0.0,19.61,3.51,25.24,0.0,21.11,0.0,10.72,6.16,26.01,4.54,5.79,8.0,24.16,9.065483870967741
spyRMSD,method3,AD4_RTMScore,8.77,5.68,3.16,2.24,4.22,1.54,2.12,1.94,5.62,3.4,10.58,4.18,3.81,3.23,0.0,14.12,0.0,0.0,12.17,1.76,18.56,0.0,12.32,0.0,1.95,5.48,18.36,3.63,5.79,4.31,18.12,5.711612903225807
spyRMSD,method4,AD4_RTMScore,4.93,4.61,3.16,1.49,4.64,1.54,2.12,2.22,5.62,3.14,10.58,6.27,3.17,3.23,0.0,14.12,0.0,0.0,13.52,0.0,18.56,0.0,11.14,0.0,1.95,5.48,18.36,4.54,5.79,3.69,16.11,5.483225806451611
spyRMSD,method5,AD4_RTMScore,15.9,10.64,2.53,2.98,7.17,2.57,1.52,1.94,5.62,6.01,27.34,4.18,6.35,4.85,0.0,5.88,1.14,0.0,19.61,1.76,24.5,0.0,18.18,0.0,6.82,5.82,25.25,5.44,5.79,6.15,22.15,8.002903225806453
spyRMSD,method6,AD4_RTMScore,23.57,13.48,6.32,2.98,22.34,4.12,0.3,1.39,10.81,19.6,49.4,2.09,8.25,10.24,6.67,16.48,18.27,0.0,19.61,3.51,40.09,2.18,8.8,0.0,31.18,7.53,24.48,5.44,4.83,20.31,35.24,13.532580645161291
spyRMSD,method7,AD4_RTMScore,16.99,9.58,3.16,3.36,15.81,2.06,1.52,2.22,9.51,5.75,34.4,6.27,6.35,4.85,0.0,14.12,4.57,0.0,22.99,0.0,31.18,0.0,10.56,0.0,6.82,7.19,23.72,9.07,4.83,11.08,29.2,9.585806451612902
spyRMSD,method1,AD4_SCORCH,11.51,10.29,0.63,3.36,7.59,4.12,9.1,1.67,15.57,4.96,22.93,4.18,3.17,3.77,3.33,0.59,0.0,3.25,8.11,3.51,14.1,2.91,14.66,3.06,12.67,3.42,22.95,8.17,15.45,9.23,5.03,7.52548387096774
spyRMSD,method2,AD4_SCORCH,9.87,6.74,1.26,3.73,5.27,2.06,6.98,1.94,10.38,4.7,19.41,2.09,5.71,5.93,0.0,0.59,0.0,3.25,4.73,7.03,11.88,0.73,18.77,3.06,8.77,2.74,19.89,3.63,16.41,11.08,8.05,6.66709677419355
spyRMSD,method3,AD4_SCORCH,7.67,6.39,0.63,2.61,4.64,1.03,6.67,1.67,6.05,4.18,13.23,0.0,4.44,4.31,0.0,5.3,0.0,3.25,6.76,7.03,13.36,0.73,18.18,5.09,3.9,2.74,17.6,0.0,16.41,6.77,7.05,5.731935483870967
spyRMSD,method4,AD4_SCORCH,6.58,14.55,0.0,2.98,5.69,1.03,10.92,2.5,6.92,2.87,14.11,2.09,1.9,3.77,0.0,4.71,0.0,2.17,2.7,1.76,14.1,2.18,19.94,1.02,3.9,2.74,19.89,2.72,19.31,4.92,3.02,5.838387096774195
spyRMSD,method5,AD4_SCORCH,6.58,3.19,0.63,3.36,2.53,1.54,7.89,1.39,7.35,3.92,15.0,0.0,1.9,4.31,0.0,0.0,1.14,3.25,2.03,1.76,8.91,2.18,12.32,4.08,5.85,2.05,17.6,3.63,11.59,9.23,6.04,4.879032258064515
