,Scoring Function,Clustering Metric,adrb2,pde5a,hivrt,dyr,pnph,aldr,hdac2,hs90a,dhi1,cox1,cdk2,ace,kpcb,igf1r,prgr,nram,kith,andr,Average
19,GNINA,bestpose_SMINA,2.52,2.51,0.0,0.0,2.56,7.66,17.66,0.0,2.63,12.89,2.47,2.49,2.53,4.98,0.0,0.0,22.5,4.92,4.906666666666667
20,CNN-Score,bestpose_SMINA,0.0,0.0,10.43,24.62,17.91,12.77,2.52,10.13,0.0,12.89,0.0,4.97,7.58,12.46,0.0,2.53,27.5,0.0,8.128333333333332
21,CNN-Affinity,bestpose_SMINA,0.0,0.0,2.61,7.39,5.12,15.33,2.52,2.53,0.0,5.16,0.0,2.49,0.0,17.44,2.4,0.0,12.5,0.0,4.193888888888889
22,AD4,bestpose_SMINA,2.52,0.0,2.61,2.46,0.0,7.66,5.05,0.0,0.0,2.58,2.47,4.97,5.05,9.97,0.0,0.0,10.0,0.0,3.074444444444444
23,NNscore,bestpose_SMINA,0.0,0.0,0.0,0.0,0.0,0.0,12.61,5.07,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,2.5,0.0,1.3883333333333332
24,Vinardo,bestpose_SMINA,2.52,0.0,0.0,2.46,12.79,10.22,22.71,0.0,2.63,12.89,2.47,4.97,10.11,12.46,0.0,0.0,17.5,2.46,6.454999999999999
25,RTMScore,bestpose_SMINA,0.0,0.0,0.0,12.31,20.47,2.55,7.57,5.07,0.0,18.04,12.38,12.44,10.11,22.42,2.4,0.0,0.0,7.39,7.397222222222221
26,SCORCH,bestpose_SMINA,10.1,0.0,2.61,4.92,7.68,0.0,2.52,10.13,5.25,7.73,7.42,22.39,2.53,2.49,0.0,5.05,0.0,2.46,5.182222222222221
27,LinF9,bestpose_SMINA,0.0,0.0,2.61,0.0,0.0,5.11,2.52,0.0,2.63,2.58,2.47,2.49,5.05,4.98,0.0,5.05,10.0,0.0,2.5272222222222225
28,RFScoreVS,bestpose_GNINA,0.0,2.52,2.6,12.27,30.7,17.85,0.0,2.52,7.88,20.62,7.41,4.97,7.58,22.46,9.61,20.2,7.48,17.68,10.797222222222222
29,PLECnn,bestpose_GNINA,0.0,2.52,0.0,2.45,0.0,0.0,2.53,0.0,0.0,5.16,4.94,2.49,0.0,0.0,0.0,0.0,0.0,0.0,1.1161111111111113
30,KORPL,bestpose_GNINA,2.53,0.0,10.42,19.63,30.7,0.0,12.66,15.12,0.0,0.0,14.82,12.43,17.68,14.98,7.21,12.62,17.46,12.63,11.160555555555556
31,CHEMPLP,bestpose_GNINA,2.53,0.0,2.6,0.0,2.56,17.85,12.66,0.0,0.0,2.58,2.47,7.46,0.0,4.99,0.0,7.58,19.95,0.0,4.623888888888889
32,ConvexPLR,bestpose_GNINA,5.07,0.0,2.6,2.45,10.23,5.1,5.06,2.52,0.0,7.73,2.47,7.46,0.0,7.49,0.0,0.0,7.48,0.0,3.6477777777777782
33,GNINA,bestpose_GNINA,5.07,0.0,5.21,2.45,5.12,10.2,20.25,2.52,0.0,15.46,4.94,4.97,2.52,9.98,0.0,0.0,24.94,2.53,6.453333333333333
34,CNN-Score,bestpose_GNINA,0.0,0.0,7.81,22.09,17.91,10.2,7.59,5.04,0.0,10.31,2.47,7.46,5.05,14.98,0.0,2.52,27.43,2.53,7.966111111111112
35,CNN-Affinity,bestpose_GNINA,0.0,0.0,2.6,4.91,5.12,15.3,2.53,2.52,0.0,10.31,0.0,0.0,0.0,12.48,0.0,0.0,12.47,0.0,3.7911111111111118
36,AD4,bestpose_GNINA,2.53,0.0,5.21,2.45,2.56,7.65,7.59,0.0,0.0,12.89,2.47,4.97,5.05,4.99,0.0,0.0,12.47,0.0,3.935
37,NNscore,bestpose_GNINA,0.0,2.52,0.0,0.0,0.0,0.0,2.53,2.52,0.0,0.0,2.47,2.49,0.0,0.0,2.4,0.0,7.48,0.0,1.245
38,Vinardo,bestpose_GNINA,7.6,0.0,2.6,4.91,10.23,10.2,22.78,0.0,0.0,15.46,2.47,4.97,7.58,7.49,0.0,0.0,19.95,0.0,6.457777777777777
39,RTMScore,bestpose_GNINA,2.53,2.52,2.6,12.27,15.35,2.55,10.12,7.56,0.0,15.46,14.82,14.91,22.72,22.46,0.0,2.52,2.49,2.53,8.52277777777778
40,SCORCH,bestpose_GNINA,5.07,0.0,2.6,4.91,10.23,5.1,2.53,2.52,2.63,7.73,4.94,19.88,2.52,2.5,2.4,0.0,0.0,2.53,4.338333333333334
41,LinF9,bestpose_GNINA,5.07,0.0,2.6,0.0,2.56,7.65,5.06,0.0,0.0,2.58,0.0,4.97,12.62,9.98,0.0,2.52,17.46,2.53,4.2
42,RFScoreVS,espsim,0.0,5.1,2.41,10.08,25.71,12.75,0.0,0.0,5.28,10.35,10.17,5.04,10.26,10.3,7.23,7.68,2.54,17.41,7.906111111111112
43,PLECnn,espsim,5.12,0.0,0.0,0.0,0.0,0.0,2.58,0.0,2.64,5.18,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0033333333333332
44,KORPL,espsim,0.0,0.0,4.81,15.12,15.42,0.0,5.15,18.02,0.0,0.0,7.62,2.52,10.26,5.15,7.23,0.0,7.63,14.92,6.325
45,CHEMPLP,espsim,2.56,0.0,0.0,0.0,2.57,10.2,2.58,0.0,0.0,0.0,0.0,10.07,2.56,5.15,0.0,2.56,12.72,2.49,2.97
46,ConvexPLR,espsim,5.12,0.0,2.41,0.0,2.57,0.0,2.58,0.0,0.0,2.59,7.62,5.04,0.0,7.72,2.41,5.12,2.54,0.0,2.54
47,GNINA,espsim,2.56,0.0,2.41,0.0,0.0,0.0,5.15,0.0,0.0,5.18,0.0,2.52,0.0,7.72,0.0,0.0,10.17,9.95,2.5366666666666666
48,CNN-Score,espsim,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92,2.59,0.0,0.0,5.13,0.0,2.41,7.68,7.63,2.49,2.133888888888889
49,CNN-Affinity,espsim,0.0,2.55,2.41,2.52,2.57,5.1,5.15,0.0,0.0,2.59,2.54,5.04,5.13,10.3,2.41,0.0,7.63,2.49,3.2461111111111114
50,AD4,espsim,5.12,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,0.0,0.0,2.52,0.0,12.88,4.82,2.56,7.63,4.97,2.393333333333333
51,NNscore,espsim,0.0,2.55,0.0,2.52,2.57,2.55,5.15,0.0,0.0,0.0,0.0,0.0,2.56,2.58,4.82,0.0,7.63,0.0,1.8294444444444449
52,Vinardo,espsim,5.12,0.0,0.0,0.0,2.57,7.65,10.31,0.0,2.64,2.59,0.0,5.04,0.0,15.45,0.0,2.56,10.17,2.49,3.6994444444444445
53,RTMScore,espsim,2.56,0.0,0.0,7.56,0.0,10.2,0.0,0.0,2.64,0.0,0.0,0.0,15.39,7.72,4.82,0.0,0.0,7.46,3.2416666666666667
54,SCORCH,espsim,5.12,0.0,2.41,0.0,2.57,2.55,5.15,0.0,2.64,2.59,7.62,10.07,0.0,0.0,0.0,0.0,0.0,12.44,2.953333333333333
55,LinF9,espsim,5.12,0.0,0.0,0.0,0.0,5.1,2.58,0.0,2.64,0.0,0.0,5.04,5.13,12.88,0.0,2.56,10.17,4.97,3.121666666666667
56,RFScoreVS,RMSD,0.0,2.56,2.61,15.09,28.28,15.33,2.61,2.48,10.43,18.11,5.08,2.52,0.0,16.14,13.24,10.22,12.71,14.92,9.57388888888889
57,PLECnn,RMSD,2.56,2.56,0.0,0.0,2.57,0.0,5.23,0.0,2.61,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,1.288888888888889
58,KORPL,RMSD,5.12,0.0,7.83,15.09,12.85,0.0,7.84,14.89,0.0,0.0,5.08,5.04,14.82,5.38,23.83,15.34,5.08,19.9,8.782777777777778
59,CHEMPLP,RMSD,2.56,0.0,0.0,0.0,2.57,7.66,2.61,0.0,2.61,0.0,0.0,10.07,0.0,2.69,0.0,0.0,12.71,2.49,2.5538888888888893
60,ConvexPLR,RMSD,2.56,2.56,0.0,2.51,5.14,0.0,2.61,2.48,0.0,0.0,2.54,5.04,8.89,5.38,7.94,0.0,10.17,0.0,3.212222222222222
61,GNINA,RMSD,7.68,0.0,2.61,2.51,2.57,2.55,15.68,4.96,0.0,2.59,0.0,2.52,2.96,8.07,2.65,0.0,7.62,7.46,4.023888888888888
62,CNN-Score,RMSD,2.56,0.0,2.61,0.0,0.0,5.11,2.61,4.96,5.22,0.0,0.0,0.0,2.96,2.69,7.94,5.11,7.62,2.49,2.8822222222222225
63,CNN-Affinity,RMSD,0.0,5.11,2.61,0.0,0.0,7.66,5.23,2.48,2.61,7.76,2.54,2.52,0.0,16.14,2.65,0.0,7.62,0.0,3.6072222222222226
64,AD4,RMSD,0.0,0.0,0.0,2.51,0.0,2.55,5.23,0.0,2.61,0.0,0.0,2.52,2.96,8.07,5.3,0.0,10.17,2.49,2.4672222222222224
65,NNscore,RMSD,2.56,0.0,0.0,0.0,0.0,0.0,7.84,0.0,0.0,0.0,0.0,0.0,2.96,0.0,13.24,0.0,5.08,0.0,1.76
66,Vinardo,RMSD,2.56,0.0,0.0,5.03,2.57,10.22,18.29,0.0,2.61,2.59,0.0,2.52,5.93,8.07,0.0,0.0,12.71,2.49,4.1994444444444445
67,RTMScore,RMSD,2.56,0.0,2.61,0.0,5.14,0.0,2.61,7.44,2.61,2.59,7.62,0.0,11.85,16.14,10.59,0.0,0.0,2.49,4.125
68,SCORCH,RMSD,10.23,0.0,0.0,2.51,7.71,5.11,2.61,2.48,2.61,5.18,7.62,17.63,0.0,0.0,0.0,2.56,0.0,4.97,3.9566666666666666
69,LinF9,RMSD,0.0,0.0,0.0,0.0,2.57,5.11,2.61,0.0,2.61,0.0,0.0,2.52,2.96,13.45,0.0,0.0,7.62,2.49,2.33
70,RFScoreVS,bestpose_PLANTS,0.0,0.0,5.29,7.8,30.18,15.92,2.55,2.48,2.82,22.61,2.52,7.44,5.32,4.97,10.66,7.64,12.76,21.91,9.04833333333333
71,PLECnn,bestpose_PLANTS,7.52,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,15.08,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,1.676111111111111
72,KORPL,bestpose_PLANTS,0.0,7.71,7.93,2.6,27.66,0.0,17.86,12.39,0.0,2.51,10.09,14.88,5.32,9.93,18.65,15.27,2.55,18.78,9.673888888888891
73,CHEMPLP,bestpose_PLANTS,2.51,0.0,0.0,0.0,0.0,15.92,7.65,0.0,0.0,0.0,0.0,9.92,0.0,0.0,0.0,2.55,12.76,3.13,3.0244444444444443
74,ConvexPLR,bestpose_PLANTS,2.51,0.0,0.0,0.0,12.57,2.65,7.65,2.48,0.0,7.54,5.04,9.92,0.0,9.93,5.33,7.64,5.11,0.0,4.353888888888889
75,GNINA,bestpose_PLANTS,0.0,0.0,0.0,0.0,2.51,7.96,17.86,0.0,5.63,10.05,5.04,4.96,2.66,9.93,5.33,5.09,10.21,12.52,5.541666666666666
76,CNN-Score,bestpose_PLANTS,2.51,0.0,10.57,0.0,2.51,7.96,5.1,4.95,0.0,10.05,5.04,7.44,0.0,7.45,10.66,10.18,30.63,3.13,6.565555555555556
77,CNN-Affinity,bestpose_PLANTS,2.51,0.0,2.64,0.0,2.51,13.27,5.1,4.95,0.0,12.56,2.52,2.48,0.0,4.97,2.66,5.09,5.11,0.0,3.6872222222222226
78,AD4,bestpose_PLANTS,0.0,0.0,0.0,0.0,2.51,2.65,5.1,0.0,2.82,7.54,0.0,2.48,0.0,14.9,5.33,5.09,2.55,0.0,2.8316666666666666
79,NNscore,bestpose_PLANTS,0.0,0.0,0.0,0.0,0.0,0.0,5.1,9.91,0.0,0.0,2.52,4.96,0.0,0.0,2.66,0.0,5.11,0.0,1.6811111111111112
80,Vinardo,bestpose_PLANTS,5.02,0.0,0.0,0.0,2.51,13.27,22.96,0.0,0.0,12.56,0.0,7.44,0.0,4.97,0.0,2.55,17.87,9.39,5.474444444444445
81,RTMScore,bestpose_PLANTS,2.51,0.0,2.64,0.0,5.03,2.65,12.76,4.95,0.0,15.08,15.13,7.44,10.63,17.38,13.32,5.09,0.0,6.26,6.715
82,SCORCH,bestpose_PLANTS,0.0,0.0,0.0,0.0,7.54,0.0,5.1,2.48,0.0,10.05,2.52,19.84,0.0,0.0,0.0,0.0,0.0,3.13,2.8144444444444447
83,LinF9,bestpose_PLANTS,2.51,2.57,0.0,0.0,2.51,5.31,7.65,0.0,0.0,2.51,2.52,2.48,7.97,7.45,2.66,2.55,5.11,0.0,2.988888888888889
84,RFScoreVS,3DScore,0.0,0.0,7.22,17.6,23.14,17.88,2.56,7.71,13.2,15.51,7.61,2.52,7.69,12.82,14.48,12.77,10.17,14.91,10.432777777777778
85,PLECnn,3DScore,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,2.64,5.17,2.54,2.52,0.0,0.0,0.0,0.0,0.0,2.49,0.9949999999999998
86,KORPL,3DScore,7.66,2.55,9.62,25.15,12.85,2.55,2.56,10.28,0.0,2.59,12.68,10.07,12.81,17.95,19.3,10.22,0.0,12.43,9.515
87,CHEMPLP,3DScore,7.66,0.0,0.0,0.0,2.57,10.22,10.26,0.0,0.0,2.59,0.0,12.58,0.0,5.13,0.0,0.0,15.26,0.0,3.6816666666666666
88,ConvexPLR,3DScore,2.55,0.0,2.41,2.51,7.71,2.55,2.56,0.0,0.0,0.0,2.54,10.07,0.0,5.13,7.24,2.55,0.0,0.0,2.6566666666666667
89,GNINA,3DScore,2.55,0.0,0.0,2.51,0.0,7.66,12.82,0.0,0.0,2.59,2.54,2.52,5.12,7.69,2.41,0.0,15.26,4.97,3.8133333333333335
90,CNN-Score,3DScore,0.0,0.0,7.22,20.12,10.28,10.22,2.56,0.0,2.64,2.59,2.54,7.55,10.25,12.82,4.82,5.11,30.52,2.49,7.3183333333333325
91,CNN-Affinity,3DScore,2.55,2.55,2.41,2.51,5.14,7.66,5.13,0.0,0.0,7.76,2.54,2.52,2.56,15.39,2.41,0.0,7.63,0.0,3.8200000000000003
92,AD4,3DScore,2.55,0.0,4.81,2.51,0.0,5.11,2.56,0.0,0.0,2.59,0.0,5.03,10.25,12.82,2.41,2.55,5.09,0.0,3.2377777777777776
93,NNscore,3DScore,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,5.28,0.0,2.54,7.55,0.0,2.56,2.41,0.0,2.54,0.0,1.413333333333333
94,Vinardo,3DScore,0.0,0.0,4.81,5.03,10.28,10.22,15.39,0.0,2.64,5.17,0.0,5.03,15.38,10.26,2.41,2.55,12.72,4.97,5.9366666666666665
95,RTMScore,3DScore,0.0,0.0,2.41,20.12,12.85,0.0,5.13,5.14,0.0,7.76,10.14,15.1,12.81,20.52,9.65,0.0,0.0,9.94,7.309444444444446
96,SCORCH,3DScore,7.66,0.0,0.0,2.51,2.57,2.55,0.0,5.14,5.28,5.17,5.07,20.13,7.69,2.56,0.0,12.77,0.0,2.49,4.532777777777778
97,LinF9,3DScore,0.0,0.0,2.41,0.0,2.57,5.11,7.69,0.0,2.64,2.59,2.54,2.52,10.25,15.39,0.0,2.55,7.63,0.0,3.5494444444444446
98,RFScoreVS,spyRMSD,0.0,2.55,2.41,10.09,30.85,12.77,0.0,2.58,10.56,18.11,5.08,2.52,2.56,15.44,14.48,10.25,7.63,17.41,9.182777777777778
99,PLECnn,spyRMSD,0.0,2.55,0.0,0.0,5.14,0.0,2.58,0.0,2.64,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,1.2866666666666668
100,KORPL,spyRMSD,2.56,0.0,7.22,12.61,18.0,0.0,10.3,15.45,2.64,0.0,5.08,5.04,10.26,7.72,21.71,15.38,5.09,17.41,8.692777777777778
101,CHEMPLP,spyRMSD,2.56,0.0,0.0,0.0,0.0,7.66,2.58,0.0,5.28,0.0,0.0,10.07,0.0,0.0,0.0,2.56,15.26,2.49,2.692222222222222
102,ConvexPLR,spyRMSD,7.68,2.55,0.0,0.0,2.57,0.0,2.58,2.58,0.0,0.0,2.54,5.04,5.13,5.15,7.24,2.56,5.09,0.0,2.8172222222222225
103,GNINA,spyRMSD,5.12,0.0,2.41,2.52,5.14,2.55,15.45,2.58,0.0,2.59,0.0,0.0,2.56,7.72,2.41,0.0,7.63,7.46,3.6744444444444446
104,CNN-Score,spyRMSD,0.0,0.0,2.41,0.0,0.0,5.11,5.15,5.15,5.28,0.0,0.0,0.0,5.13,2.57,4.82,7.69,7.63,2.49,2.9683333333333337
105,CNN-Affinity,spyRMSD,0.0,2.55,2.41,0.0,0.0,7.66,5.15,2.58,2.64,5.18,0.0,2.52,2.56,12.86,2.41,0.0,7.63,0.0,3.1194444444444445
106,AD4,spyRMSD,0.0,0.0,0.0,0.0,2.57,2.55,5.15,0.0,2.64,0.0,0.0,2.52,5.13,7.72,7.24,0.0,7.63,2.49,2.535555555555556
107,NNscore,spyRMSD,2.56,0.0,0.0,0.0,0.0,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,5.15,9.65,0.0,5.09,0.0,1.5333333333333334
108,Vinardo,spyRMSD,5.12,0.0,0.0,5.05,5.14,10.22,15.45,0.0,5.28,2.59,0.0,2.52,2.56,7.72,0.0,0.0,10.17,0.0,3.99
109,RTMScore,spyRMSD,2.56,0.0,2.41,5.05,5.14,2.55,5.15,5.15,5.28,2.59,7.62,0.0,12.82,15.44,9.65,0.0,0.0,2.49,4.6611111111111105
110,SCORCH,spyRMSD,7.68,0.0,0.0,2.52,7.71,5.11,5.15,5.15,2.64,5.18,5.08,15.11,0.0,0.0,0.0,2.56,0.0,4.97,3.8255555555555554
111,LinF9,spyRMSD,0.0,0.0,0.0,0.0,2.57,5.11,2.58,0.0,2.64,2.59,0.0,2.52,7.69,12.86,0.0,0.0,5.09,2.49,2.563333333333334
