Scoring Function,Clustering Metric,fabp4,hivrt,dyr,aldr,lkha4,ptn1,pyrd,reni,hdac2,hs90a,abl1,gria2,esr1,dhi1,cox1,cdk2,ace,fa7,kpcb,igf1r,hxk4,prgr,nram,kith,lfa1,urok,andr,Average
SCORCH,bestpose,0.0,0.0,16.43,1.26,1.76,13.01,2.72,6.76,0.54,2.28,4.93,1.27,2.61,3.94,6.69,7.8,6.03,12.35,1.48,0.0,8.67,0.68,3.06,0.0,2.18,14.15,2.61,4.563333333333334
LinF9,bestpose,8.36,2.77,5.62,8.85,15.25,17.6,12.7,6.76,5.93,0.0,13.7,7.62,12.8,2.73,3.09,6.53,2.48,15.88,27.47,16.23,0.0,2.74,0.0,38.65,1.45,3.69,3.36,8.972592592592592
RFScoreVS,bestpose_SMINA,12.99,26.11,52.0,15.15,21.58,38.21,48.96,11.5,5.95,18.09,39.1,29.69,40.22,21.63,27.76,11.68,17.33,52.44,29.57,37.93,12.93,28.56,32.78,46.36,39.22,41.39,29.65,29.214074074074066
KORPL,bestpose_SMINA,0.0,13.05,49.83,1.89,18.66,29.81,1.81,3.83,9.2,35.05,30.29,10.74,16.72,0.3,0.0,16.99,14.15,55.06,9.61,27.09,3.23,11.7,17.42,1.78,6.54,51.89,10.64,16.565925925925924
CHEMPLP,bestpose_SMINA,2.16,2.61,0.0,5.68,21.58,18.34,18.13,2.87,14.61,0.0,6.61,9.47,4.18,3.05,1.54,1.49,18.74,7.87,8.13,8.81,0.0,1.03,0.0,17.83,0.0,0.62,0.0,6.494444444444445
ConvexPLR,bestpose_SMINA,8.66,2.61,26.0,5.05,23.91,13.76,20.85,6.71,7.57,2.26,18.17,10.11,10.19,0.91,4.11,5.52,16.62,36.71,4.44,17.61,7.54,3.1,3.07,5.35,3.63,16.06,0.76,10.41777777777778
GNINA,bestpose_SMINA,0.0,0.0,9.1,2.53,23.33,20.63,29.02,4.79,18.4,0.0,15.42,9.47,13.58,9.45,6.68,6.16,2.83,3.5,23.66,12.87,0.0,6.54,0.0,28.53,1.45,1.24,3.42,9.355555555555556
CNN-Score,bestpose_SMINA,0.0,15.67,33.37,2.53,17.49,14.52,9.07,8.62,5.95,12.44,22.03,7.58,8.1,4.57,9.77,5.95,12.73,25.35,21.44,15.58,2.15,2.41,6.15,32.1,3.63,8.03,0.0,11.378888888888888
CNN-Affinity,bestpose_SMINA,2.16,0.0,21.23,5.68,4.67,12.23,13.6,1.92,1.62,7.92,17.07,11.37,4.7,2.44,5.14,4.25,3.89,20.98,15.53,12.87,11.85,1.38,0.0,23.18,2.9,8.65,0.38,8.05962962962963
AD4,bestpose_SMINA,0.0,0.0,10.4,1.89,19.24,16.81,0.0,16.29,9.2,0.0,11.56,2.53,4.96,3.66,4.63,2.97,7.07,13.98,11.83,13.55,0.0,0.34,0.0,8.92,1.45,6.8,1.14,6.267407407407406
Vinardo,bestpose_SMINA,0.0,5.22,10.4,5.05,18.66,16.81,20.85,9.58,23.27,0.0,22.58,12.0,9.4,7.92,8.22,4.04,7.78,26.22,15.53,16.93,11.85,4.13,0.0,17.83,4.36,11.12,1.14,10.773703703703703
RTMScore,bestpose_SMINA,6.49,2.61,18.2,1.89,5.25,22.16,5.44,2.87,5.41,28.27,25.33,17.69,17.5,0.61,13.88,21.45,13.79,55.06,41.4,20.32,0.0,5.16,2.05,0.0,5.08,30.89,3.04,13.771851851851851
SCORCH,bestpose_SMINA,0.0,0.0,16.47,0.0,3.5,10.7,2.72,3.83,0.54,0.0,4.96,3.16,1.57,5.48,6.68,6.16,4.6,13.11,0.0,0.0,8.62,1.38,8.2,0.0,2.18,14.21,3.42,4.49962962962963
LinF9,bestpose_SMINA,0.0,5.22,6.93,4.42,9.33,15.28,8.16,4.79,4.87,0.0,9.36,5.68,8.1,3.35,1.03,2.76,1.06,13.98,21.44,9.48,0.0,1.38,0.0,32.1,2.18,3.09,2.28,6.528518518518518
RFScoreVS,bestpose_GNINA,12.98,8.05,48.06,17.68,21.57,30.56,41.73,13.42,4.87,5.65,23.12,29.68,43.62,15.19,16.96,12.08,13.09,50.69,29.56,34.55,1.08,24.69,23.58,44.63,35.59,32.73,29.17,24.61407407407407
KORPL,bestpose_GNINA,0.0,21.47,51.09,0.63,32.65,35.14,0.0,1.92,9.2,37.28,33.03,21.47,21.68,0.3,0.51,19.72,13.44,55.06,11.09,27.78,1.08,8.57,28.71,7.14,7.26,54.34,12.12,18.988148148148145
CHEMPLP,bestpose_GNINA,0.0,2.68,0.87,7.58,30.9,21.39,19.96,6.71,9.2,1.13,5.5,7.58,9.93,1.22,3.6,2.12,18.39,7.87,15.52,12.87,1.08,0.69,5.13,16.07,0.73,1.85,0.76,7.827037037037036
ConvexPLR,bestpose_GNINA,10.82,5.37,29.01,6.32,32.65,12.22,19.05,2.88,5.95,2.26,14.86,7.58,13.84,0.0,3.6,8.48,17.33,42.83,2.22,16.26,6.48,1.37,6.15,21.42,5.81,20.38,0.76,11.699999999999998
GNINA,bestpose_GNINA,0.0,5.37,12.99,3.16,25.66,21.39,29.94,7.67,16.77,0.0,12.11,12.0,22.2,1.52,7.19,6.78,3.54,11.36,23.65,14.9,3.24,0.0,0.0,28.56,2.18,3.71,6.44,10.456666666666665
CNN-Score,bestpose_GNINA,0.0,18.79,36.37,2.53,36.15,12.99,0.91,5.75,1.62,24.85,18.71,5.68,9.4,0.0,2.57,7.63,12.73,20.1,27.34,18.97,5.4,0.69,5.13,28.56,5.08,7.41,0.76,11.708148148148148
CNN-Affinity,bestpose_GNINA,0.0,2.68,19.05,9.47,4.66,17.57,8.16,2.88,1.08,7.91,12.66,7.58,2.87,0.91,5.65,5.94,2.83,20.1,19.21,21.0,20.51,0.34,0.0,21.42,2.18,8.03,0.38,8.335925925925928
AD4,bestpose_GNINA,2.16,2.68,12.12,3.79,22.16,13.75,0.0,11.5,4.33,1.13,7.16,3.16,10.71,1.82,6.68,4.45,8.14,18.35,8.13,13.55,0.0,1.37,2.05,16.07,0.73,5.56,2.27,6.808148148148148
Vinardo,bestpose_GNINA,0.0,5.37,16.45,7.58,27.99,21.39,24.49,12.46,20.56,0.0,17.61,17.05,18.54,1.52,9.25,5.72,6.01,27.09,16.26,18.29,11.87,0.69,0.0,12.5,4.36,14.2,1.14,11.792222222222222
RTMScore,bestpose_GNINA,2.16,8.05,26.41,4.42,3.5,23.68,7.26,2.88,10.28,31.63,25.87,22.1,25.6,0.0,11.82,30.1,17.68,55.06,34.73,23.03,0.0,3.43,5.13,0.0,4.36,38.29,1.52,15.518148148148148
SCORCH,bestpose_GNINA,0.0,0.0,17.75,1.26,2.92,13.75,0.0,2.88,0.54,1.13,4.4,0.63,2.35,1.52,4.62,6.57,4.95,13.98,0.0,0.0,9.71,2.06,3.08,0.0,2.18,14.2,1.52,4.148148148148149
LinF9,bestpose_GNINA,4.33,2.68,9.53,8.84,12.25,16.04,9.98,7.67,5.95,0.0,6.61,6.95,13.58,1.82,2.57,4.88,2.12,16.61,26.61,11.52,0.0,3.09,0.0,33.92,0.73,3.71,3.79,7.991851851851852
RFScoreVS,espsim,12.55,5.58,40.64,15.81,12.32,29.07,19.06,7.72,2.16,5.71,37.83,12.7,36.84,16.99,8.75,14.33,12.42,23.82,7.42,31.78,1.08,23.28,12.23,29.86,31.27,17.84,28.72,18.436296296296295
KORPL,espsim,0.0,16.75,38.04,2.53,8.21,29.83,5.44,0.0,15.09,19.42,14.25,5.71,4.44,0.3,0.51,7.16,5.68,22.93,8.16,8.79,1.08,10.27,2.04,7.02,4.36,28.3,10.07,10.236296296296299
CHEMPLP,espsim,4.18,0.0,0.0,11.38,19.35,15.3,1.81,7.72,8.62,2.28,3.84,2.54,3.92,1.52,0.0,2.11,14.19,5.29,5.94,2.03,0.0,2.05,2.04,22.83,0.0,4.31,1.86,5.374444444444446
ConvexPLR,espsim,29.28,5.58,12.54,5.69,14.08,19.12,4.54,1.93,5.39,2.28,12.06,4.44,3.14,0.91,1.03,4.0,9.22,8.82,1.48,10.82,0.0,5.82,2.04,15.81,4.36,8.61,0.75,7.1755555555555555
GNINA,espsim,8.36,0.0,8.65,6.32,15.25,16.83,9.07,1.93,11.32,0.0,10.42,2.54,3.4,5.46,1.03,2.11,3.55,5.29,6.68,8.79,0.0,2.05,0.0,21.07,2.91,0.62,4.85,5.87037037037037
CNN-Score,espsim,0.0,0.0,6.05,3.79,4.11,6.12,0.0,4.83,3.23,8.0,9.87,1.27,2.09,1.21,1.03,0.84,1.42,2.65,9.65,0.0,3.25,3.08,1.02,17.56,0.73,2.46,0.0,3.4911111111111115
CNN-Affinity,espsim,2.09,5.58,7.35,8.85,1.76,15.3,2.72,0.97,3.23,5.71,7.13,2.54,2.35,0.91,2.06,4.64,3.55,10.58,12.62,8.79,3.25,4.79,0.0,15.81,0.73,4.31,0.37,5.11074074074074
AD4,espsim,0.0,0.0,6.48,2.53,13.49,12.24,0.0,8.69,8.08,1.14,10.96,4.44,3.4,1.82,0.51,2.74,8.87,12.35,11.88,7.44,0.0,4.45,1.02,8.78,1.45,4.31,1.12,5.118148148148147
Vinardo,espsim,8.36,0.0,10.38,9.48,16.42,22.18,1.81,4.83,14.55,0.0,13.16,3.17,3.14,3.94,2.06,4.21,5.32,11.47,6.68,10.82,0.0,3.08,0.0,14.05,1.45,6.15,1.49,6.6000000000000005
RTMScore,espsim,18.82,5.58,10.81,8.22,4.11,19.89,1.81,0.97,3.77,3.43,12.06,6.98,4.44,0.91,2.57,8.22,3.55,21.17,19.3,9.47,0.0,6.16,0.0,0.0,2.91,12.92,2.98,7.075925925925925
SCORCH,espsim,0.0,5.58,9.94,0.63,0.59,11.47,0.0,3.86,1.08,1.14,3.29,0.63,2.35,6.67,0.51,2.53,1.42,4.41,0.0,0.0,0.0,2.74,0.0,0.0,1.45,10.46,3.36,2.7448148148148155
LinF9,espsim,10.46,0.0,3.89,5.69,7.04,16.06,9.07,1.93,5.93,0.0,11.51,1.9,2.61,1.52,1.54,2.74,3.9,10.58,12.62,10.14,0.0,4.79,0.0,22.83,2.91,1.85,1.86,5.680370370370371
RFScoreVS,RMSD,10.46,10.7,41.08,25.92,20.53,39.78,14.9,13.52,4.31,12.56,36.73,14.6,41.81,23.06,15.38,14.12,15.43,42.34,18.56,38.54,1.08,32.19,29.54,49.19,38.55,30.77,31.61,24.713333333333328
KORPL,RMSD,0.0,10.7,31.56,0.0,16.42,32.13,2.63,2.9,12.39,29.7,18.09,3.17,9.41,0.91,1.03,10.75,8.26,50.28,9.65,20.96,0.0,16.09,23.43,10.54,2.91,43.07,14.87,14.142592592592594
CHEMPLP,RMSD,10.46,0.0,0.0,7.59,23.46,19.13,0.0,2.9,11.32,0.0,3.84,3.81,4.96,3.64,1.03,0.63,17.23,7.94,9.65,2.7,0.0,2.4,2.04,14.05,0.73,3.69,0.74,5.701481481481482
ConvexPLR,RMSD,29.28,0.0,9.94,2.53,14.08,20.66,4.38,1.93,4.31,0.0,9.87,6.35,3.66,0.61,1.54,5.69,11.49,16.76,8.17,14.2,3.25,5.82,1.02,8.78,2.91,9.23,0.37,7.289999999999998
GNINA,RMSD,8.36,0.0,5.19,3.16,18.18,19.13,7.01,3.86,14.01,1.14,8.22,2.54,6.53,5.76,2.05,6.53,5.38,3.53,21.53,12.17,0.0,0.68,0.0,29.87,0.0,1.85,8.55,7.230740740740742
CNN-Score,RMSD,0.0,3.57,2.16,4.43,26.98,9.95,0.88,4.83,3.23,13.71,7.13,1.9,2.35,3.34,0.0,1.05,5.38,4.41,14.1,2.03,10.83,4.79,9.17,17.57,2.18,3.69,0.0,5.913333333333333
CNN-Affinity,RMSD,0.0,3.57,6.49,6.95,1.17,16.07,5.26,1.93,3.23,8.0,7.67,3.17,2.35,1.52,4.1,5.06,3.23,14.11,14.1,12.85,10.83,4.11,0.0,14.05,0.73,5.54,0.37,5.794814814814815
AD4,RMSD,2.09,0.0,7.35,3.79,17.59,11.48,0.0,10.62,5.39,0.0,9.32,5.71,5.49,3.03,1.03,4.43,11.13,14.11,11.88,10.14,0.0,3.77,0.0,12.3,1.45,5.54,2.97,5.948518518518518
Vinardo,RMSD,8.36,0.0,9.51,5.69,16.42,19.13,5.26,5.79,18.86,1.14,13.7,5.71,6.01,3.64,1.54,5.48,7.18,10.58,14.85,15.55,6.5,2.74,0.0,21.08,1.45,6.15,1.12,7.905185185185186
RTMScore,RMSD,8.36,0.0,12.97,2.53,5.28,23.72,4.38,0.97,5.93,3.43,16.99,8.25,7.05,1.82,2.05,18.13,5.74,33.52,37.86,20.96,0.0,6.85,0.0,0.0,0.73,16.61,2.97,9.15185185185185
SCORCH,RMSD,2.09,0.0,7.78,1.26,0.59,11.48,0.0,4.83,0.54,0.0,3.29,0.0,2.09,5.46,1.54,2.53,5.38,8.82,0.0,0.0,5.42,1.37,2.04,0.0,0.73,11.69,3.72,3.061111111111112
LinF9,RMSD,10.46,0.0,3.03,3.16,9.38,17.6,4.38,2.9,3.23,0.0,10.41,3.17,4.7,2.43,1.54,5.06,3.23,10.58,24.5,20.29,0.0,4.45,0.0,24.6,1.45,1.85,4.09,6.536666666666666
RFScoreVS,bestpose_PLANTS,15.06,22.15,17.25,30.96,31.48,36.38,49.01,1.95,14.54,12.6,35.54,22.36,40.93,22.07,22.24,10.76,13.17,35.2,14.15,29.98,5.48,36.43,20.55,42.14,28.98,14.29,36.83,24.536296296296292
KORPL,bestpose_PLANTS,0.0,2.77,6.19,0.0,19.82,41.02,1.82,0.97,19.92,16.04,22.21,3.89,21.52,0.61,0.0,18.72,10.32,34.3,5.96,25.21,15.35,23.09,21.58,0.0,2.29,30.45,8.79,13.068148148148149
CHEMPLP,bestpose_PLANTS,30.12,0.0,0.88,18.85,16.91,17.03,9.98,6.82,11.31,0.0,3.89,5.83,8.4,1.53,1.03,2.15,14.95,6.32,6.7,3.41,0.0,1.08,0.0,14.05,0.76,4.35,3.35,7.025925925925925
ConvexPLR,bestpose_PLANTS,34.42,2.77,3.98,22.89,23.32,17.8,19.06,3.9,9.69,2.29,12.77,11.67,6.3,0.0,2.59,9.47,8.19,23.47,14.9,22.48,14.26,4.33,0.0,12.29,2.29,8.08,0.0,10.859629629629628
GNINA,bestpose_PLANTS,30.12,0.0,3.54,15.48,13.99,20.9,24.51,2.92,12.38,0.0,10.0,8.75,14.96,2.76,5.69,6.45,4.63,7.22,25.33,8.86,4.39,5.41,1.03,24.58,2.29,2.49,13.39,10.076666666666666
CNN-Score,bestpose_PLANTS,2.15,2.77,7.96,18.85,25.07,22.45,0.0,1.95,4.85,6.87,15.55,12.64,13.38,0.61,5.17,7.31,8.9,18.05,26.82,14.99,18.64,5.05,4.11,35.11,3.81,4.97,2.93,10.7762962962963
CNN-Affinity,bestpose_PLANTS,6.45,0.0,7.52,25.58,5.83,17.03,14.52,0.97,4.85,5.73,10.0,5.83,6.56,1.53,5.69,8.17,4.27,19.86,21.6,8.86,17.54,2.89,3.08,36.87,1.53,6.21,0.84,9.25222222222222
AD4,bestpose_PLANTS,2.15,2.77,2.21,8.08,13.99,6.97,0.91,5.85,5.92,1.15,8.88,7.78,7.08,1.84,3.62,3.01,5.7,10.83,11.92,14.99,0.0,1.08,2.06,17.56,1.53,3.73,0.42,5.63074074074074
Vinardo,bestpose_PLANTS,30.12,2.77,6.19,21.54,17.49,23.22,15.43,6.82,19.92,0.0,17.77,10.69,12.07,1.53,6.21,3.87,7.83,19.86,11.92,9.54,12.06,1.8,0.0,15.8,5.34,4.97,5.02,10.732592592592594
RTMScore,bestpose_PLANTS,2.15,8.31,1.77,8.08,7.58,28.64,4.54,0.0,12.92,10.31,17.77,5.83,22.57,0.61,14.48,19.58,13.17,37.01,30.54,20.44,0.0,8.66,7.19,0.0,0.76,14.91,3.35,11.154444444444445
SCORCH,bestpose_PLANTS,0.0,0.0,2.21,1.35,0.58,13.16,0.0,4.87,0.54,2.29,5.0,2.92,2.1,3.07,5.17,7.53,4.27,4.51,0.74,0.68,12.06,1.44,2.06,0.0,3.05,13.67,3.35,3.578518518518518
LinF9,bestpose_PLANTS,21.51,2.77,0.44,12.12,5.83,18.58,8.17,2.92,9.69,0.0,6.66,6.8,11.55,1.53,1.55,5.38,6.41,9.93,25.33,12.95,0.0,2.53,0.0,35.11,2.29,2.49,2.51,7.964814814814812
RFScoreVS,3DScore,23.0,9.27,47.48,27.8,19.34,39.76,43.56,20.27,10.32,17.09,41.1,16.49,37.36,26.69,18.01,12.25,17.03,44.92,29.69,35.1,8.66,32.87,26.45,48.94,41.45,33.8,30.58,28.121481481481485
KORPL,3DScore,0.0,10.43,44.89,1.26,22.85,31.35,0.0,3.86,11.95,28.48,24.66,3.81,16.46,0.0,0.51,19.42,11.0,51.97,8.91,24.3,0.0,25.0,23.4,0.0,3.64,47.32,12.68,15.857407407407406
CHEMPLP,3DScore,31.37,3.48,0.0,12.64,13.48,22.18,8.17,3.86,11.95,0.0,6.03,3.81,6.53,2.43,2.06,1.69,13.48,3.52,6.68,4.73,0.0,1.03,0.0,5.24,0.0,1.23,2.61,6.229629629629631
ConvexPLR,3DScore,35.55,4.64,22.02,9.48,18.75,18.35,11.8,6.76,2.17,0.0,16.99,4.44,10.45,0.61,0.0,7.39,11.71,25.54,2.23,13.5,3.25,5.82,4.07,5.24,6.54,15.36,0.75,9.755925925925924
GNINA,3DScore,25.09,2.32,6.91,8.21,12.3,18.35,13.61,2.9,15.2,0.0,11.51,3.17,13.06,5.76,3.09,8.02,2.84,9.69,16.33,7.43,0.0,3.42,0.0,27.96,0.73,1.23,9.32,8.46111111111111
CNN-Score,3DScore,0.0,10.43,25.47,6.32,22.85,14.53,5.44,2.9,2.72,20.51,14.79,2.54,8.36,2.12,1.03,6.33,7.45,22.02,23.75,10.13,7.58,5.48,7.12,29.71,5.09,6.15,1.49,10.085555555555556
CNN-Affinity,3DScore,4.18,1.16,20.29,12.0,2.93,14.53,11.8,3.86,1.09,12.53,13.15,7.61,6.01,1.82,3.09,6.55,2.13,21.14,17.07,16.88,15.15,3.77,2.03,17.48,2.18,6.76,0.37,8.428148148148148
AD4,3DScore,12.55,2.32,10.79,5.05,12.3,10.71,0.0,9.65,2.17,0.0,10.41,4.44,6.53,2.43,1.54,5.07,8.16,14.09,9.65,7.43,0.0,1.37,2.03,8.74,0.73,6.76,2.24,5.820740740740741
Vinardo,3DScore,29.28,5.79,11.66,11.37,12.3,17.59,9.98,5.79,15.75,0.0,15.89,7.61,11.5,4.55,3.09,6.33,6.74,24.66,12.62,9.45,4.33,4.79,0.0,15.73,3.64,6.76,2.61,9.622592592592595
RTMScore,3DScore,0.0,4.64,18.99,4.42,5.27,16.82,5.44,0.0,7.6,25.07,18.63,8.88,17.77,0.3,6.17,24.28,13.83,44.92,29.69,22.28,0.0,7.19,2.03,0.0,4.36,32.57,2.98,12.004814814814814
SCORCH,3DScore,0.0,0.0,12.09,2.53,2.34,12.23,1.81,1.93,0.0,0.0,3.84,0.63,1.05,2.12,2.06,4.86,5.32,16.74,0.0,0.0,8.66,2.05,15.26,1.75,2.18,9.83,1.86,4.116296296296296
LinF9,3DScore,18.82,1.16,6.91,9.48,8.2,16.82,8.17,3.86,7.06,0.0,9.86,4.44,9.93,2.43,1.54,5.28,1.77,16.74,20.78,12.83,0.0,4.79,1.02,29.71,1.45,0.0,4.48,7.686296296296297
RFScoreVS,spyRMSD,10.46,16.66,41.08,25.92,21.11,39.02,41.74,12.55,5.39,11.42,36.73,14.6,42.07,23.06,15.43,13.91,14.9,44.1,18.56,36.51,1.08,32.87,29.54,47.43,39.27,28.92,32.45,25.80666666666666
KORPL,spyRMSD,0.0,10.0,31.13,0.0,15.25,32.9,0.0,2.9,14.01,30.84,18.64,3.17,9.67,0.91,1.03,10.54,9.22,51.16,10.39,22.31,0.0,16.78,22.41,7.03,3.64,43.69,14.92,14.168148148148148
CHEMPLP,spyRMSD,6.27,0.0,0.0,6.32,23.46,17.6,1.81,2.9,10.78,0.0,3.84,4.44,4.7,3.94,1.03,1.48,17.38,8.82,9.65,4.73,0.0,2.74,2.04,15.81,0.0,3.08,1.12,5.7014814814814825
ConvexPLR,spyRMSD,27.19,0.0,12.97,2.53,15.84,19.13,8.17,0.97,2.69,0.0,10.41,6.98,3.66,0.0,1.03,6.11,10.29,19.41,9.65,15.55,4.33,6.16,0.0,10.54,3.64,8.61,0.37,7.638148148148149
GNINA,spyRMSD,6.27,0.0,5.19,3.16,20.53,19.13,9.07,3.86,12.93,1.14,7.67,3.17,6.53,4.85,2.06,5.06,5.32,3.53,20.79,14.88,0.0,1.03,0.0,29.87,0.0,0.0,8.58,7.208148148148149
CNN-Score,spyRMSD,0.0,3.33,2.16,4.43,25.22,11.48,0.91,4.83,4.85,11.42,7.67,0.63,2.61,3.64,0.51,1.05,6.03,5.29,12.62,3.38,10.83,4.45,10.19,17.57,2.91,2.46,0.37,5.957037037037037
CNN-Affinity,spyRMSD,0.0,3.33,5.62,7.59,1.17,14.54,7.26,1.93,2.16,8.0,9.32,3.81,2.61,1.21,4.12,5.27,3.19,15.0,14.1,14.2,9.75,4.11,0.0,12.3,1.45,5.54,0.75,5.8640740740740736
AD4,spyRMSD,4.18,0.0,7.35,3.79,19.35,12.24,0.91,10.62,5.93,0.0,8.77,7.62,5.49,2.43,1.03,2.95,10.29,14.11,13.36,12.85,0.0,3.77,1.02,10.54,0.73,6.15,3.73,6.267037037037038
Vinardo,spyRMSD,6.27,0.0,9.94,6.32,17.59,19.89,5.44,4.83,20.48,1.14,14.25,5.71,6.27,3.03,1.03,5.06,8.51,11.47,14.1,14.88,7.58,2.74,0.0,17.57,1.45,6.15,1.12,7.882222222222222
RTMScore,spyRMSD,6.27,0.0,12.97,2.53,5.86,22.95,11.8,0.97,5.93,4.57,16.44,9.52,6.27,2.12,2.06,18.34,5.32,31.75,34.89,20.29,0.0,7.19,0.0,0.0,0.73,15.38,2.61,9.139259259259259
SCORCH,spyRMSD,2.09,0.0,7.78,1.26,0.59,12.24,0.0,5.79,0.54,1.14,3.29,0.0,2.35,4.85,1.03,2.74,4.61,7.94,0.0,0.0,5.42,1.03,1.02,0.0,0.73,10.46,3.73,2.9862962962962967
LinF9,spyRMSD,8.36,0.0,3.89,3.79,10.56,16.83,7.26,2.9,2.69,0.0,10.96,3.81,4.96,2.73,1.54,4.64,4.26,9.7,24.5,20.96,0.0,5.14,0.0,22.84,1.45,1.23,3.36,6.605925925925925
