,Scoring Function,Clustering Metric,ace,adrb2,aldr,andr,cdk2,cox1,dhi1,dyr,hdac2,hivrt,hs90a,igf1r,kith,kpcb,nram,pde5a,pnph,prgr,Average
39,Vinardo,bestpose_SMINA,4.97,2.52,10.22,2.46,2.47,12.89,2.63,2.46,22.71,0.0,0.0,12.46,17.5,10.11,0.0,0.0,12.79,0.0,6.455
40,AD4,bestpose,5.04,2.56,7.66,0.0,0.0,12.94,0.0,2.52,5.15,0.0,0.0,12.88,12.72,0.0,2.56,0.0,2.57,2.41,3.8338888888888882
41,CHEMPLP,bestpose,12.59,5.12,17.88,4.97,0.0,5.18,0.0,0.0,12.89,0.0,0.0,5.15,17.81,0.0,2.56,0.0,2.57,0.0,4.817777777777778
42,GNINA,bestpose,5.04,5.12,7.66,4.97,5.08,12.94,0.0,0.0,18.04,2.41,0.0,12.88,22.89,2.56,2.56,0.0,2.57,0.0,5.817777777777777
43,CNN-Score,bestpose,2.52,0.0,10.22,2.49,0.0,12.94,2.64,7.57,5.15,9.62,2.58,10.3,30.52,2.56,5.12,0.0,7.71,2.41,6.352777777777778
44,CNN-Affinity,bestpose,0.0,0.0,17.88,0.0,2.54,10.35,0.0,2.52,5.15,2.41,2.58,18.02,10.17,5.13,2.56,0.0,2.57,0.0,4.548888888888888
45,LinF9,bestpose,2.52,0.0,10.22,0.0,2.54,2.59,0.0,0.0,10.31,2.41,0.0,12.88,15.26,12.82,2.56,0.0,2.57,0.0,4.26
46,RFScoreVS,bestpose,5.04,0.0,20.44,19.9,7.62,23.29,2.64,17.66,0.0,4.81,2.58,15.45,17.81,7.69,20.5,0.0,30.85,9.65,11.440555555555555
47,RTMScore,bestpose,7.56,2.56,2.55,7.46,15.25,15.52,0.0,7.57,10.31,7.22,7.72,18.02,0.0,10.26,2.56,0.0,18.0,0.0,7.364444444444445
48,SCORCH,bestpose,25.19,7.68,0.0,4.97,7.62,10.35,0.0,2.52,7.73,0.0,2.58,0.0,0.0,2.56,0.0,0.0,7.71,2.41,4.517777777777777
49,Vinardo,bestpose,7.56,2.56,10.22,2.49,2.54,18.11,0.0,2.52,23.19,0.0,0.0,10.3,25.44,2.56,0.0,0.0,7.71,0.0,6.3999999999999995
50,AD4,espsim,2.52,5.12,0.0,4.97,0.0,0.0,0.0,0.0,2.58,0.0,0.0,12.88,7.63,0.0,2.56,0.0,0.0,4.82,2.3933333333333335
51,CHEMPLP,espsim,10.07,2.56,10.2,2.49,0.0,0.0,0.0,0.0,2.58,0.0,0.0,5.15,12.72,2.56,2.56,0.0,2.57,0.0,2.97
52,GNINA,espsim,2.52,2.56,0.0,9.95,0.0,5.18,0.0,0.0,5.15,2.41,0.0,7.72,10.17,0.0,0.0,0.0,0.0,0.0,2.536666666666667
53,CNN-Score,espsim,0.0,2.56,0.0,2.49,0.0,2.59,7.92,0.0,0.0,0.0,0.0,0.0,7.63,5.13,7.68,0.0,0.0,2.41,2.1338888888888885
54,CNN-Affinity,espsim,5.04,0.0,5.1,2.49,2.54,2.59,0.0,2.52,5.15,2.41,0.0,10.3,7.63,5.13,0.0,2.55,2.57,2.41,3.2461111111111114
55,LinF9,espsim,5.04,5.12,5.1,4.97,0.0,0.0,2.64,0.0,2.58,0.0,0.0,12.88,10.17,5.13,2.56,0.0,0.0,0.0,3.1216666666666675
56,RFScoreVS,espsim,5.04,0.0,12.75,17.41,10.17,10.35,5.28,10.08,0.0,2.41,0.0,10.3,2.54,10.26,7.68,5.1,25.71,7.23,7.9061111111111115
57,RTMScore,espsim,0.0,2.56,10.2,7.46,0.0,0.0,2.64,7.56,0.0,0.0,0.0,7.72,0.0,15.39,0.0,0.0,0.0,4.82,3.2416666666666667
58,SCORCH,espsim,10.07,5.12,2.55,12.44,7.62,2.59,2.64,0.0,5.15,2.41,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,2.9533333333333336
59,Vinardo,espsim,5.04,5.12,7.65,2.49,0.0,2.59,2.64,0.0,10.31,0.0,0.0,15.45,10.17,0.0,2.56,0.0,2.57,0.0,3.6994444444444445
60,AD4,RMSD,2.52,0.0,2.55,2.49,0.0,0.0,2.61,2.51,5.23,0.0,0.0,8.07,10.17,2.96,0.0,0.0,0.0,5.3,2.467222222222222
61,CHEMPLP,RMSD,10.07,2.56,7.66,2.49,0.0,0.0,2.61,0.0,2.61,0.0,0.0,2.69,12.71,0.0,0.0,0.0,2.57,0.0,2.5538888888888893
62,GNINA,RMSD,2.52,7.68,2.55,7.46,0.0,2.59,0.0,2.51,15.68,2.61,4.96,8.07,7.62,2.96,0.0,0.0,2.57,2.65,4.023888888888888
63,CNN-Score,RMSD,0.0,2.56,5.11,2.49,0.0,0.0,5.22,0.0,2.61,2.61,4.96,2.69,7.62,2.96,5.11,0.0,0.0,7.94,2.882222222222222
64,CNN-Affinity,RMSD,2.52,0.0,7.66,0.0,2.54,7.76,2.61,0.0,5.23,2.61,2.48,16.14,7.62,0.0,0.0,5.11,0.0,2.65,3.6072222222222217
65,LinF9,RMSD,2.52,0.0,5.11,2.49,0.0,0.0,2.61,0.0,2.61,0.0,0.0,13.45,7.62,2.96,0.0,0.0,2.57,0.0,2.33
66,RFScoreVS,RMSD,2.52,0.0,15.33,14.92,5.08,18.11,10.43,15.09,2.61,2.61,2.48,16.14,12.71,0.0,10.22,2.56,28.28,13.24,9.57388888888889
67,RTMScore,RMSD,0.0,2.56,0.0,2.49,7.62,2.59,2.61,0.0,2.61,2.61,7.44,16.14,0.0,11.85,0.0,0.0,5.14,10.59,4.125
68,SCORCH,RMSD,17.63,10.23,5.11,4.97,7.62,5.18,2.61,2.51,2.61,0.0,2.48,0.0,0.0,0.0,2.56,0.0,7.71,0.0,3.9566666666666657
69,Vinardo,RMSD,2.52,2.56,10.22,2.49,0.0,2.59,2.61,5.03,18.29,0.0,0.0,8.07,12.71,5.93,0.0,0.0,2.57,0.0,4.1994444444444445
70,AD4,spyRMSD,2.52,0.0,2.55,2.49,0.0,0.0,2.64,0.0,5.15,0.0,0.0,7.72,7.63,5.13,0.0,0.0,2.57,7.24,2.535555555555556
71,CHEMPLP,spyRMSD,10.07,2.56,7.66,2.49,0.0,0.0,5.28,0.0,2.58,0.0,0.0,0.0,15.26,0.0,2.56,0.0,0.0,0.0,2.692222222222222
72,GNINA,spyRMSD,0.0,5.12,2.55,7.46,0.0,2.59,0.0,2.52,15.45,2.41,2.58,7.72,7.63,2.56,0.0,0.0,5.14,2.41,3.6744444444444446
73,CNN-Score,spyRMSD,0.0,0.0,5.11,2.49,0.0,0.0,5.28,0.0,5.15,2.41,5.15,2.57,7.63,5.13,7.69,0.0,0.0,4.82,2.9683333333333337
74,CNN-Affinity,spyRMSD,2.52,0.0,7.66,0.0,0.0,5.18,2.64,0.0,5.15,2.41,2.58,12.86,7.63,2.56,0.0,2.55,0.0,2.41,3.119444444444445
75,LinF9,spyRMSD,2.52,0.0,5.11,2.49,0.0,2.59,2.64,0.0,2.58,0.0,0.0,12.86,5.09,7.69,0.0,0.0,2.57,0.0,2.563333333333333
76,RFScoreVS,spyRMSD,2.52,0.0,12.77,17.41,5.08,18.11,10.56,10.09,0.0,2.41,2.58,15.44,7.63,2.56,10.25,2.55,30.85,14.48,9.182777777777778
77,RTMScore,spyRMSD,0.0,2.56,2.55,2.49,7.62,2.59,5.28,5.05,5.15,2.41,5.15,15.44,0.0,12.82,0.0,0.0,5.14,9.65,4.661111111111111
78,SCORCH,spyRMSD,15.11,7.68,5.11,4.97,5.08,5.18,2.64,2.52,5.15,0.0,5.15,0.0,0.0,0.0,2.56,0.0,7.71,0.0,3.8255555555555554
79,Vinardo,spyRMSD,2.52,5.12,10.22,0.0,0.0,2.59,5.28,5.05,15.45,0.0,0.0,7.72,10.17,2.56,0.0,0.0,5.14,0.0,3.99
