Target,Model,Percentile,Factor_Type,EF_lit,NEF_lit,EF_calc,NEF_calc,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,AUC_ROC,BEDROC
adrb2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.717,0.008
adrb2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.717,0.008
adrb2,Autodock Vina,5.0,NEF,,2.381,8.065,2.5,40,1240,62,5,0.725,2.632,0.539,12.5,0.063,0.061,0.717,0.008
akt1,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.475,0.001
akt1,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.475,0.001
akt1,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.475,0.001
alr2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.813,0.005
alr2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.813,0.005
alr2,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.813,0.005
ar,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.672,0.106
ar,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.672,0.106
ar,Autodock Vina,5.0,NEF,,3.176,9.677,3.0,40,1240,62,6,0.763,3.214,0.552,15.0,0.084,0.082,0.672,0.106
aurka,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.651,0.175
aurka,Autodock Vina,1.0,NEF,,6.214,23.077,7.154,40,1240,13,3,0.9,9.0,0.533,23.077,0.116,0.099,0.651,0.175
aurka,Autodock Vina,5.0,NEF,,2.762,9.677,3.0,40,1240,62,6,0.763,3.214,0.552,15.0,0.084,0.082,0.651,0.175
aurkb,Autodock Vina,0.5,NEF,,11.244,42.857,13.286,40,1240,7,3,0.957,22.5,0.536,42.857,0.169,0.119,0.796,0.337
aurkb,Autodock Vina,1.0,NEF,,11.244,38.462,11.923,40,1240,13,5,0.949,18.75,0.559,38.462,0.205,0.176,0.796,0.337
aurkb,Autodock Vina,5.0,NEF,,5.19,16.129,5.0,40,1240,62,10,0.852,5.769,0.603,25.0,0.168,0.163,0.796,0.337
bcl2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.534,0.179
bcl2,Autodock Vina,1.0,NEF,,8.247,23.077,7.154,40,1240,13,3,0.9,9.0,0.533,23.077,0.116,0.099,0.534,0.179
bcl2,Autodock Vina,5.0,NEF,,3.608,11.29,3.5,40,1240,62,7,0.792,3.818,0.565,17.5,0.105,0.102,0.534,0.179
braf,Autodock Vina,0.5,NEF,,13.321,42.857,13.286,40,1240,7,3,0.957,22.5,0.536,42.857,0.169,0.119,0.716,0.278
braf,Autodock Vina,1.0,NEF,,6.661,23.077,7.154,40,1240,13,3,0.9,9.0,0.533,23.077,0.116,0.099,0.716,0.278
braf,Autodock Vina,5.0,NEF,,2.805,9.677,3.0,40,1240,62,6,0.763,3.214,0.552,15.0,0.084,0.082,0.716,0.278
catl,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.708,0.014
catl,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.708,0.014
catl,Autodock Vina,5.0,NEF,,1.529,4.839,1.5,40,1240,62,3,0.604,1.525,0.513,7.5,0.021,0.02,0.708,0.014
cdk2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.574,0.0
cdk2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.574,0.0
cdk2,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.574,0.0
cox1,Autodock Vina,0.5,NEF,,15.192,42.857,13.286,40,1240,7,3,0.957,22.5,0.536,42.857,0.169,0.119,0.757,0.338
cox1,Autodock Vina,1.0,NEF,,7.596,23.077,7.154,40,1240,13,3,0.9,9.0,0.533,23.077,0.116,0.099,0.757,0.338
cox1,Autodock Vina,5.0,NEF,,6.077,19.355,6.0,40,1240,62,12,0.878,7.2,0.629,30.0,0.209,0.204,0.757,0.338
cox2,Autodock Vina,0.5,NEF,,38.875,128.571,39.857,40,1240,7,9,1.007,inf,0.613,100.0,0.535,0.377,0.711,0.458
cox2,Autodock Vina,1.0,NEF,,19.438,61.538,19.077,40,1240,13,8,0.98,48.0,0.598,61.538,0.34,0.291,0.711,0.458
cox2,Autodock Vina,5.0,NEF,,4.859,16.129,5.0,40,1240,62,10,0.852,5.769,0.603,25.0,0.168,0.163,0.711,0.458
ctsk,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.545,0.046
ctsk,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.545,0.046
ctsk,Autodock Vina,5.0,NEF,,2.79,9.677,3.0,40,1240,62,6,0.763,3.214,0.552,15.0,0.084,0.082,0.545,0.046
cyp2a6,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.251,0.0
cyp2a6,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.251,0.0
cyp2a6,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.251,0.0
dhfr,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.469,0.014
dhfr,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.469,0.014
dhfr,Autodock Vina,5.0,NEF,,1.327,4.839,1.5,40,1240,62,3,0.604,1.525,0.513,7.5,0.021,0.02,0.469,0.014
egfr,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.524,0.106
egfr,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.524,0.106
egfr,Autodock Vina,5.0,NEF,,2.024,6.452,2.0,40,1240,62,4,0.674,2.069,0.526,10.0,0.042,0.041,0.524,0.106
ephb4,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.756,0.046
ephb4,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.756,0.046
ephb4,Autodock Vina,5.0,NEF,,1.212,3.226,1.0,40,1240,62,2,0.5,1.0,0.5,5.0,0.0,0.0,0.756,0.046
erbb2,Autodock Vina,0.5,NEF,,14.367,42.857,13.286,40,1240,7,3,0.957,22.5,0.536,42.857,0.169,0.119,0.789,0.306
erbb2,Autodock Vina,1.0,NEF,,8.62,30.769,9.538,40,1240,13,4,0.93,13.333,0.546,30.769,0.16,0.137,0.789,0.306
erbb2,Autodock Vina,5.0,NEF,,5.877,19.355,6.0,40,1240,62,12,0.878,7.2,0.629,30.0,0.209,0.204,0.789,0.306
er-beta,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.526,0.051
er-beta,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.526,0.051
er-beta,Autodock Vina,5.0,NEF,,4.75,16.129,5.0,40,1240,62,10,0.852,5.769,0.603,25.0,0.168,0.163,0.526,0.051
fgfr1,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.564,0.002
fgfr1,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.564,0.002
fgfr1,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.564,0.002
fkbp1a,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.472,0.0
fkbp1a,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.472,0.0
fkbp1a,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.472,0.0
fxa,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.788,0.281
fxa,Autodock Vina,1.0,NEF,,10.472,30.769,9.538,40,1240,13,4,0.93,13.333,0.546,30.769,0.16,0.137,0.788,0.281
fxa,Autodock Vina,5.0,NEF,,6.614,20.968,6.5,40,1240,62,13,0.888,7.959,0.642,32.5,0.23,0.224,0.788,0.281
gba,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.405,0.0
gba,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.405,0.0
gba,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.405,0.0
gr,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.615,0.008
gr,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.615,0.008
gr,Autodock Vina,5.0,NEF,,1.109,3.226,1.0,40,1240,62,2,0.5,1.0,0.5,5.0,0.0,0.0,0.615,0.008
gsk3b,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.596,0.001
gsk3b,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.596,0.001
gsk3b,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.596,0.001
hdac2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.691,0.241
hdac2,Autodock Vina,1.0,NEF,,11.893,38.462,11.923,40,1240,13,5,0.949,18.75,0.559,38.462,0.205,0.176,0.691,0.241
hdac2,Autodock Vina,5.0,NEF,,8.395,27.419,8.5,40,1240,62,17,0.919,11.333,0.694,42.5,0.314,0.306,0.691,0.241
hdac8,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.633,0.015
hdac8,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.633,0.015
hdac8,Autodock Vina,5.0,NEF,,2.216,6.452,2.0,40,1240,62,4,0.674,2.069,0.526,10.0,0.042,0.041,0.633,0.015
hiv1pr,Autodock Vina,0.5,NEF,,15.175,42.857,13.286,40,1240,7,3,0.957,22.5,0.536,42.857,0.169,0.119,0.855,0.485
hiv1pr,Autodock Vina,1.0,NEF,,13.007,38.462,11.923,40,1240,13,5,0.949,18.75,0.559,38.462,0.205,0.176,0.855,0.485
hiv1pr,Autodock Vina,5.0,NEF,,6.853,22.581,7.0,40,1240,62,14,0.897,8.75,0.655,35.0,0.251,0.245,0.855,0.485
hiv1rt,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.356,0.0
hiv1rt,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.356,0.0
hiv1rt,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.356,0.0
hmgr,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.524,0.0
hmgr,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.524,0.0
hmgr,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.524,0.0
hsp90,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.435,0.0
hsp90,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.435,0.0
hsp90,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.435,0.0
igf1r,Autodock Vina,0.5,NEF,,13.333,42.857,13.286,40,1240,7,3,0.957,22.5,0.536,42.857,0.169,0.119,0.662,0.219
igf1r,Autodock Vina,1.0,NEF,,6.667,23.077,7.154,40,1240,13,3,0.9,9.0,0.533,23.077,0.116,0.099,0.662,0.219
igf1r,Autodock Vina,5.0,NEF,,3.077,9.677,3.0,40,1240,62,6,0.763,3.214,0.552,15.0,0.084,0.082,0.662,0.219
inha,Autodock Vina,0.5,NEF,,38.75,128.571,39.857,40,1240,7,9,1.007,inf,0.613,100.0,0.535,0.377,0.666,0.601
inha,Autodock Vina,1.0,NEF,,19.375,61.538,19.077,40,1240,13,8,0.98,48.0,0.598,61.538,0.34,0.291,0.666,0.601
inha,Autodock Vina,5.0,NEF,,4.844,16.129,5.0,40,1240,62,10,0.852,5.769,0.603,25.0,0.168,0.163,0.666,0.601
itk,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.506,0.0
itk,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.506,0.0
itk,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.506,0.0
jak3,Autodock Vina,0.5,NEF,,8.778,28.571,8.857,40,1240,7,2,0.923,12.0,0.523,28.571,0.108,0.076,0.759,0.477
jak3,Autodock Vina,1.0,NEF,,10.533,30.769,9.538,40,1240,13,4,0.93,13.333,0.546,30.769,0.16,0.137,0.759,0.477
jak3,Autodock Vina,5.0,NEF,,7.681,24.194,7.5,40,1240,62,15,0.905,9.574,0.668,37.5,0.272,0.265,0.759,0.477
jnk1,Autodock Vina,0.5,NEF,,10.667,28.571,8.857,40,1240,7,2,0.923,12.0,0.523,28.571,0.108,0.076,0.613,0.183
jnk1,Autodock Vina,1.0,NEF,,6.4,23.077,7.154,40,1240,13,3,0.9,9.0,0.533,23.077,0.116,0.099,0.613,0.183
jnk1,Autodock Vina,5.0,NEF,,1.391,4.839,1.5,40,1240,62,3,0.604,1.525,0.513,7.5,0.021,0.02,0.613,0.183
jnk2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.466,0.011
jnk2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.466,0.011
jnk2,Autodock Vina,5.0,NEF,,1.732,4.839,1.5,40,1240,62,3,0.604,1.525,0.513,7.5,0.021,0.02,0.466,0.011
jnk3,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.715,0.055
jnk3,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.715,0.055
jnk3,Autodock Vina,5.0,NEF,,3.021,9.677,3.0,40,1240,62,6,0.763,3.214,0.552,15.0,0.084,0.082,0.715,0.055
kif11,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.895,0.052
kif11,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.895,0.052
kif11,Autodock Vina,5.0,NEF,,3.705,11.29,3.5,40,1240,62,7,0.792,3.818,0.565,17.5,0.105,0.102,0.895,0.052
lck,Autodock Vina,0.5,NEF,,10.157,28.571,8.857,40,1240,7,2,0.923,12.0,0.523,28.571,0.108,0.076,0.592,0.199
lck,Autodock Vina,1.0,NEF,,5.078,15.385,4.769,40,1240,13,2,0.845,5.455,0.52,15.385,0.071,0.061,0.592,0.199
lck,Autodock Vina,5.0,NEF,,2.344,8.065,2.5,40,1240,62,5,0.725,2.632,0.539,12.5,0.063,0.061,0.592,0.199
mdm2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.524,0.002
mdm2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.524,0.002
mdm2,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.524,0.002
mk2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.914,0.397
mk2,Autodock Vina,1.0,NEF,,21.3,69.231,21.462,40,1240,13,9,0.985,67.5,0.611,69.231,0.385,0.329,0.914,0.397
mk2,Autodock Vina,5.0,NEF,,9.682,30.645,9.5,40,1240,62,19,0.93,13.256,0.72,47.5,0.356,0.347,0.914,0.397
mmp2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.62,0.002
mmp2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.62,0.002
mmp2,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.62,0.002
na,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.495,0.0
na,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.495,0.0
na,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.495,0.0
p38-alpha,Autodock Vina,0.5,NEF,,23.667,71.429,22.143,40,1240,7,5,0.987,75.0,0.562,71.429,0.291,0.205,0.592,0.308
p38-alpha,Autodock Vina,1.0,NEF,,14.2,46.154,14.308,40,1240,13,6,0.963,25.714,0.572,46.154,0.25,0.214,0.592,0.308
p38-alpha,Autodock Vina,5.0,NEF,,3.227,9.677,3.0,40,1240,62,6,0.763,3.214,0.552,15.0,0.084,0.082,0.592,0.308
parp-1,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.796,0.209
parp-1,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.796,0.209
parp-1,Autodock Vina,5.0,NEF,,9.893,32.258,10.0,40,1240,62,20,0.935,14.286,0.732,50.0,0.377,0.367,0.796,0.209
pde4b,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.698,0.124
pde4b,Autodock Vina,1.0,NEF,,5.046,15.385,4.769,40,1240,13,2,0.845,5.455,0.52,15.385,0.071,0.061,0.698,0.124
pde4b,Autodock Vina,5.0,NEF,,2.163,6.452,2.0,40,1240,62,4,0.674,2.069,0.526,10.0,0.042,0.041,0.698,0.124
pde5,Autodock Vina,0.5,NEF,,19.037,57.143,17.714,40,1240,7,4,0.976,40.0,0.549,57.143,0.23,0.162,0.472,0.164
pde5,Autodock Vina,1.0,NEF,,9.519,30.769,9.538,40,1240,13,4,0.93,13.333,0.546,30.769,0.16,0.137,0.472,0.164
pde5,Autodock Vina,5.0,NEF,,2.197,6.452,2.0,40,1240,62,4,0.674,2.069,0.526,10.0,0.042,0.041,0.472,0.164
pdk1,Autodock Vina,0.5,NEF,,19.25,57.143,17.714,40,1240,7,4,0.976,40.0,0.549,57.143,0.23,0.162,0.822,0.278
pdk1,Autodock Vina,1.0,NEF,,9.625,30.769,9.538,40,1240,13,4,0.93,13.333,0.546,30.769,0.16,0.137,0.822,0.278
pdk1,Autodock Vina,5.0,NEF,,3.85,12.903,4.0,40,1240,62,8,0.816,4.444,0.578,20.0,0.126,0.122,0.822,0.278
pi3kg,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.701,0.006
pi3kg,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.701,0.006
pi3kg,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.701,0.006
pim-1,Autodock Vina,0.5,NEF,,12.879,42.857,13.286,40,1240,7,3,0.957,22.5,0.536,42.857,0.169,0.119,0.814,0.251
pim-1,Autodock Vina,1.0,NEF,,7.727,23.077,7.154,40,1240,13,3,0.9,9.0,0.533,23.077,0.116,0.099,0.814,0.251
pim-1,Autodock Vina,5.0,NEF,,3.512,11.29,3.5,40,1240,62,7,0.792,3.818,0.565,17.5,0.105,0.102,0.814,0.251
pim-2,Autodock Vina,0.5,NEF,,27.6,85.714,26.571,40,1240,7,6,0.994,180.0,0.575,85.714,0.352,0.248,0.717,0.486
pim-2,Autodock Vina,1.0,NEF,,16.56,53.846,16.692,40,1240,13,7,0.972,35.0,0.585,53.846,0.295,0.252,0.717,0.486
pim-2,Autodock Vina,5.0,NEF,,5.914,19.355,6.0,40,1240,62,12,0.878,7.2,0.629,30.0,0.209,0.204,0.717,0.486
pnp,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.815,0.014
pnp,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.815,0.014
pnp,Autodock Vina,5.0,NEF,,6.538,20.968,6.5,40,1240,62,13,0.888,7.959,0.642,32.5,0.23,0.224,0.815,0.014
ppara,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.847,0.045
ppara,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.847,0.045
