Target,Model,Percentile,Factor_Type,EF_lit,NEF_lit,EF_calc,NEF_calc,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,AUC_ROC,BEDROC
adam17,Autodock Vina,1.0,NEF,,7.483,24.139,7.483,40,1240,13,3.138,0.905,9.546,0.535,24.139,0.122,0.104,0.439,0.186
adam17,Autodock Vina,5.0,NEF,,1.627,5.248,1.627,40,1240,62,3.254,0.624,1.662,0.516,8.135,0.026,0.026,0.439,0.186
adrb2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.717,0.008
adrb2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.717,0.008
adrb2,Autodock Vina,5.0,NEF,,2.381,7.681,2.381,40,1240,62,4.762,0.714,2.496,0.536,11.905,0.058,0.056,0.717,0.008
akt1,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.475,0.001
akt1,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.475,0.001
akt1,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.475,0.001
alr2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.813,0.005
alr2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.813,0.005
alr2,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.813,0.005
ar,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.672,0.106
ar,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.672,0.106
ar,Autodock Vina,5.0,NEF,,3.176,10.245,3.176,40,1240,62,6.352,0.774,3.424,0.556,15.88,0.091,0.089,0.672,0.106
aurka,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.651,0.175
aurka,Autodock Vina,1.0,NEF,,6.214,20.045,6.214,40,1240,13,2.606,0.883,7.521,0.528,20.045,0.098,0.084,0.651,0.175
aurka,Autodock Vina,5.0,NEF,,2.762,8.91,2.762,40,1240,62,5.524,0.746,2.934,0.546,13.81,0.074,0.072,0.651,0.175
aurkb,Autodock Vina,0.5,NEF,,11.244,36.271,11.244,40,1240,7,2.539,0.945,17.074,0.53,36.271,0.141,0.099,0.796,0.337
aurkb,Autodock Vina,1.0,NEF,,11.244,36.271,11.244,40,1240,13,4.715,0.945,17.074,0.555,36.271,0.193,0.165,0.796,0.337
aurkb,Autodock Vina,5.0,NEF,,5.19,16.742,5.19,40,1240,62,10.38,0.858,6.033,0.608,25.95,0.175,0.171,0.796,0.337
bcl2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.534,0.179
bcl2,Autodock Vina,1.0,NEF,,8.247,26.603,8.247,40,1240,13,3.458,0.916,10.874,0.539,26.603,0.136,0.117,0.534,0.179
bcl2,Autodock Vina,5.0,NEF,,3.608,11.639,3.608,40,1240,62,7.216,0.798,3.952,0.567,18.04,0.109,0.106,0.534,0.179
braf,Autodock Vina,0.5,NEF,,13.321,42.971,13.321,40,1240,7,3.008,0.958,22.605,0.536,42.971,0.169,0.12,0.716,0.278
braf,Autodock Vina,1.0,NEF,,6.661,21.487,6.661,40,1240,13,2.793,0.891,8.21,0.531,21.487,0.106,0.091,0.716,0.278
braf,Autodock Vina,5.0,NEF,,2.805,9.048,2.805,40,1240,62,5.61,0.749,2.985,0.547,14.025,0.076,0.074,0.716,0.278
catl,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.708,0.014
catl,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.708,0.014
catl,Autodock Vina,5.0,NEF,,1.529,4.932,1.529,40,1240,62,3.058,0.609,1.556,0.514,7.645,0.022,0.022,0.708,0.014
cdk2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.574,0.0
cdk2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.574,0.0
cdk2,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.574,0.0
cox1,Autodock Vina,0.5,NEF,,15.192,49.006,15.192,40,1240,7,3.43,0.966,28.831,0.541,49.006,0.195,0.138,0.757,0.338
cox1,Autodock Vina,1.0,NEF,,7.596,24.503,7.596,40,1240,13,3.185,0.907,9.737,0.536,24.503,0.124,0.106,0.757,0.338
cox1,Autodock Vina,5.0,NEF,,6.077,19.603,6.077,40,1240,62,12.154,0.88,7.315,0.631,30.385,0.213,0.207,0.757,0.338
cox2,Autodock Vina,0.5,NEF,,38.875,125.403,38.875,40,1240,7,8.778,1.007,inf,0.61,100.0,0.521,0.367,0.711,0.458
cox2,Autodock Vina,1.0,NEF,,19.438,62.703,19.438,40,1240,13,8.151,0.981,50.436,0.6,62.703,0.346,0.296,0.711,0.458
cox2,Autodock Vina,5.0,NEF,,4.859,15.674,4.859,40,1240,62,9.718,0.848,5.576,0.6,24.295,0.162,0.158,0.711,0.458
ctsk,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.545,0.046
ctsk,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.545,0.046
ctsk,Autodock Vina,5.0,NEF,,2.79,9.0,2.79,40,1240,62,5.58,0.748,2.967,0.546,13.95,0.075,0.073,0.545,0.046
cyp2a6,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.251,0.0
cyp2a6,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.251,0.0
cyp2a6,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.251,0.0
dhfr,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.469,0.014
dhfr,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.469,0.014
dhfr,Autodock Vina,5.0,NEF,,1.327,4.281,1.327,40,1240,62,2.654,0.573,1.342,0.508,6.635,0.014,0.013,0.469,0.014
egfr,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.524,0.106
egfr,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.524,0.106
egfr,Autodock Vina,5.0,NEF,,2.024,6.529,2.024,40,1240,62,4.048,0.677,2.096,0.526,10.12,0.043,0.042,0.524,0.106
ephb4,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.756,0.046
ephb4,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.756,0.046
ephb4,Autodock Vina,5.0,NEF,,1.212,3.91,1.212,40,1240,62,2.424,0.55,1.221,0.505,6.06,0.009,0.009,0.756,0.046
erbb2,Autodock Vina,0.5,NEF,,14.367,46.345,14.367,40,1240,7,3.244,0.963,25.913,0.539,46.345,0.184,0.13,0.789,0.306
erbb2,Autodock Vina,1.0,NEF,,8.62,27.806,8.62,40,1240,13,3.615,0.92,11.555,0.541,27.806,0.143,0.123,0.789,0.306
erbb2,Autodock Vina,5.0,NEF,,5.877,18.958,5.877,40,1240,62,11.754,0.875,7.018,0.626,29.385,0.204,0.199,0.789,0.306
er-beta,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.526,0.051
er-beta,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.526,0.051
er-beta,Autodock Vina,5.0,NEF,,4.75,15.323,4.75,40,1240,62,9.5,0.844,5.429,0.597,23.75,0.157,0.153,0.526,0.051
fgfr1,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.564,0.002
fgfr1,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.564,0.002
fgfr1,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.564,0.002
fkbp1a,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.472,0.0
fkbp1a,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.472,0.0
fkbp1a,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.472,0.0
fxa,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.788,0.281
fxa,Autodock Vina,1.0,NEF,,10.472,33.781,10.472,40,1240,13,4.391,0.939,15.304,0.551,33.781,0.178,0.152,0.788,0.281
fxa,Autodock Vina,5.0,NEF,,6.614,21.335,6.614,40,1240,62,13.228,0.891,8.137,0.645,33.07,0.235,0.229,0.788,0.281
gba,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.405,0.0
gba,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.405,0.0
gba,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.405,0.0
gr,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.615,0.008
gr,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.615,0.008
gr,Autodock Vina,5.0,NEF,,1.109,3.577,1.109,40,1240,62,2.218,0.527,1.113,0.503,5.545,0.005,0.004,0.615,0.008
gsk3b,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.596,0.001
gsk3b,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.596,0.001
gsk3b,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.596,0.001
hdac2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.691,0.241
hdac2,Autodock Vina,1.0,NEF,,11.893,38.365,11.893,40,1240,13,4.987,0.949,18.673,0.559,38.365,0.205,0.175,0.691,0.241
hdac2,Autodock Vina,5.0,NEF,,8.395,27.081,8.395,40,1240,62,16.79,0.918,11.141,0.691,41.975,0.31,0.302,0.691,0.241
hdac8,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.633,0.015
hdac8,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.633,0.015
hdac8,Autodock Vina,5.0,NEF,,2.216,7.148,2.216,40,1240,62,4.432,0.698,2.31,0.531,11.08,0.051,0.05,0.633,0.015
hiv1pr,Autodock Vina,0.5,NEF,,15.175,48.952,15.175,40,1240,7,3.427,0.966,28.768,0.541,48.952,0.195,0.138,0.855,0.485
hiv1pr,Autodock Vina,1.0,NEF,,13.007,41.958,13.007,40,1240,13,5.455,0.956,21.687,0.565,41.958,0.226,0.193,0.855,0.485
hiv1pr,Autodock Vina,5.0,NEF,,6.853,22.106,6.853,40,1240,62,13.706,0.895,8.514,0.651,34.265,0.245,0.239,0.855,0.485
hiv1rt,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.356,0.0
hiv1rt,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.356,0.0
hiv1rt,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.356,0.0
hmgr,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.524,0.0
hmgr,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.524,0.0
hmgr,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.524,0.0
hsp90,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.435,0.0
hsp90,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.435,0.0
hsp90,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.435,0.0
igf1r,Autodock Vina,0.5,NEF,,13.333,43.01,13.333,40,1240,7,3.011,0.958,22.641,0.536,43.01,0.17,0.12,0.662,0.219
igf1r,Autodock Vina,1.0,NEF,,6.667,21.506,6.667,40,1240,13,2.796,0.892,8.22,0.531,21.506,0.106,0.091,0.662,0.219
igf1r,Autodock Vina,5.0,NEF,,3.077,9.926,3.077,40,1240,62,6.154,0.768,3.306,0.554,15.385,0.087,0.085,0.662,0.219
inha,Autodock Vina,0.5,NEF,,38.75,125.0,38.75,40,1240,7,8.75,1.007,inf,0.61,100.0,0.519,0.366,0.666,0.601
inha,Autodock Vina,1.0,NEF,,19.375,62.5,19.375,40,1240,13,8.125,0.98,50.0,0.6,62.5,0.345,0.295,0.666,0.601
inha,Autodock Vina,5.0,NEF,,4.844,15.626,4.844,40,1240,62,9.688,0.847,5.556,0.599,24.22,0.161,0.157,0.666,0.601
itk,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.506,0.0
itk,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.506,0.0
itk,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.506,0.0
jak3,Autodock Vina,0.5,NEF,,8.778,28.316,8.778,40,1240,7,1.982,0.922,11.85,0.523,28.316,0.107,0.075,0.759,0.477
jak3,Autodock Vina,1.0,NEF,,10.533,33.977,10.533,40,1240,13,4.417,0.939,15.439,0.552,33.977,0.179,0.153,0.759,0.477
jak3,Autodock Vina,5.0,NEF,,7.681,24.777,7.681,40,1240,62,15.362,0.908,9.882,0.673,38.405,0.28,0.273,0.759,0.477
jnk1,Autodock Vina,0.5,NEF,,10.667,34.41,10.667,40,1240,7,2.409,0.94,15.738,0.528,34.41,0.133,0.094,0.613,0.183
jnk1,Autodock Vina,1.0,NEF,,6.4,20.645,6.4,40,1240,13,2.684,0.886,7.805,0.529,20.645,0.101,0.087,0.613,0.183
jnk1,Autodock Vina,5.0,NEF,,1.391,4.487,1.391,40,1240,62,2.782,0.585,1.409,0.51,6.955,0.016,0.016,0.613,0.183
jnk2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.466,0.011
jnk2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.466,0.011
jnk2,Autodock Vina,5.0,NEF,,1.732,5.587,1.732,40,1240,62,3.464,0.64,1.775,0.519,8.66,0.031,0.03,0.466,0.011
jnk3,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.715,0.055
jnk3,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.715,0.055
jnk3,Autodock Vina,5.0,NEF,,3.021,9.745,3.021,40,1240,62,6.042,0.764,3.239,0.552,15.105,0.085,0.082,0.715,0.055
kif11,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.895,0.052
kif11,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.895,0.052
kif11,Autodock Vina,5.0,NEF,,3.705,11.952,3.705,40,1240,62,7.41,0.803,4.072,0.57,18.525,0.113,0.11,0.895,0.052
lck,Autodock Vina,0.5,NEF,,10.157,32.765,10.157,40,1240,7,2.294,0.936,14.619,0.527,32.765,0.126,0.089,0.592,0.199
lck,Autodock Vina,1.0,NEF,,5.078,16.381,5.078,40,1240,13,2.129,0.855,5.877,0.522,16.381,0.077,0.066,0.592,0.199
lck,Autodock Vina,5.0,NEF,,2.344,7.561,2.344,40,1240,62,4.688,0.71,2.454,0.535,11.72,0.056,0.055,0.592,0.199
mdm2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.524,0.002
mdm2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.524,0.002
mdm2,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.524,0.002
mk2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.914,0.397
mk2,Autodock Vina,1.0,NEF,,21.3,68.71,21.3,40,1240,13,8.932,0.985,65.876,0.61,68.71,0.381,0.326,0.914,0.397
mk2,Autodock Vina,5.0,NEF,,9.682,31.232,9.682,40,1240,62,19.364,0.932,13.625,0.724,48.41,0.364,0.354,0.914,0.397
mmp2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.62,0.002
mmp2,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.62,0.002
mmp2,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.62,0.002
na,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.495,0.0
na,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.495,0.0
na,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.495,0.0
p38-alpha,Autodock Vina,0.5,NEF,,23.667,76.345,23.667,40,1240,7,5.344,0.99,96.824,0.566,76.345,0.312,0.22,0.592,0.308
p38-alpha,Autodock Vina,1.0,NEF,,14.2,45.806,14.2,40,1240,13,5.955,0.962,25.357,0.572,45.806,0.248,0.212,0.592,0.308
p38-alpha,Autodock Vina,5.0,NEF,,3.227,10.41,3.227,40,1240,62,6.454,0.777,3.486,0.558,16.135,0.093,0.091,0.592,0.308
parp-1,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.796,0.209
parp-1,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.796,0.209
parp-1,Autodock Vina,5.0,NEF,,9.893,31.913,9.893,40,1240,62,19.786,0.934,14.061,0.73,49.465,0.372,0.363,0.796,0.209
pde4b,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.698,0.124
pde4b,Autodock Vina,1.0,NEF,,5.046,16.277,5.046,40,1240,13,2.116,0.854,5.833,0.522,16.277,0.076,0.065,0.698,0.124
pde4b,Autodock Vina,5.0,NEF,,2.163,6.977,2.163,40,1240,62,4.326,0.692,2.25,0.53,10.815,0.049,0.047,0.698,0.124
pde5,Autodock Vina,0.5,NEF,,19.037,61.41,19.037,40,1240,7,4.299,0.979,47.74,0.553,61.41,0.248,0.175,0.472,0.164
pde5,Autodock Vina,1.0,NEF,,9.519,30.706,9.519,40,1240,13,3.992,0.93,13.294,0.546,30.706,0.16,0.137,0.472,0.164
pde5,Autodock Vina,5.0,NEF,,2.197,7.087,2.197,40,1240,62,4.394,0.696,2.288,0.531,10.985,0.05,0.049,0.472,0.164
pdk1,Autodock Vina,0.5,NEF,,19.25,62.097,19.25,40,1240,7,4.347,0.98,49.149,0.553,62.097,0.251,0.177,0.822,0.278
pdk1,Autodock Vina,1.0,NEF,,9.625,31.048,9.625,40,1240,13,4.036,0.931,13.509,0.547,31.048,0.162,0.139,0.822,0.278
pdk1,Autodock Vina,5.0,NEF,,3.85,12.419,3.85,40,1240,62,7.7,0.81,4.254,0.574,19.25,0.119,0.116,0.822,0.278
pi3kg,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.701,0.006
pi3kg,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.701,0.006
pi3kg,Autodock Vina,5.0,NEF,,0.0,0.0,0.0,40,1240,62,0.0,0.0,0.0,0.474,0.0,-0.042,-0.041,0.701,0.006
pim-1,Autodock Vina,0.5,NEF,,12.879,41.545,12.879,40,1240,7,2.908,0.955,21.322,0.535,41.545,0.163,0.115,0.814,0.251
pim-1,Autodock Vina,1.0,NEF,,7.727,24.926,7.727,40,1240,13,3.24,0.909,9.96,0.536,24.926,0.126,0.108,0.814,0.251
pim-1,Autodock Vina,5.0,NEF,,3.512,11.329,3.512,40,1240,62,7.024,0.793,3.833,0.565,17.56,0.105,0.103,0.814,0.251
pim-2,Autodock Vina,0.5,NEF,,27.6,89.032,27.6,40,1240,7,6.232,0.996,243.529,0.578,89.032,0.366,0.258,0.717,0.486
pim-2,Autodock Vina,1.0,NEF,,16.56,53.419,16.56,40,1240,13,6.945,0.972,34.404,0.584,53.419,0.292,0.25,0.717,0.486
pim-2,Autodock Vina,5.0,NEF,,5.914,19.077,5.914,40,1240,62,11.828,0.876,7.072,0.627,29.57,0.206,0.201,0.717,0.486
