Target,Model,Percentile,Factor_Type,EF_lit,NEF_lit,EF_calc,NEF_calc,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,AUC_ROC,BEDROC
andr,Scardino et al.(proprietary)*,1.0,NEF,,14.0,25.761,14.0,269,14619,147,37.869,0.949,18.511,0.567,25.761,0.179,0.171,,
fabp4,Scardino et al.(free)*,1.0,NEF,,27.0,45.37,27.0,47,2797,28,12.704,0.98,48.593,0.632,45.37,0.342,0.33,,
hivrt,Scardino et al.(free)*,1.0,NEF,,5.0,8.789,5.0,338,19229,193,16.962,0.843,5.385,0.52,8.789,0.054,0.052,,
dyr,Scardino et al.(free)*,1.0,NEF,,14.5,19.216,14.5,231,17431,175,33.628,0.947,17.711,0.569,19.216,0.158,0.156,,
aldr,Scardino et al.(free)*,1.0,NEF,,24.0,41.664,24.0,159,9159,92,38.331,0.976,40.427,0.618,41.664,0.308,0.296,,
lkha4,Scardino et al.(free)*,1.0,NEF,,23.6,41.946,23.6,171,9621,97,40.687,0.976,39.929,0.616,41.946,0.307,0.295,,
ptn1,Scardino et al.(free)*,1.0,NEF,,30.0,52.846,30.0,130,7380,74,39.106,0.984,62.5,0.648,52.846,0.391,0.375,,
pyrd,Scardino et al.(free)*,1.0,NEF,,28.3,47.878,28.3,111,6561,66,31.6,0.982,53.377,0.64,47.878,0.361,0.349,,
reni,Scardino et al.(free)*,1.0,NEF,,12.5,18.408,12.5,104,7062,71,13.07,0.938,15.095,0.559,18.408,0.142,0.139,,
hdac2,Scardino et al.(free)*,1.0,NEF,,23.9,42.17,23.9,185,10485,105,44.278,0.976,40.599,0.617,42.17,0.309,0.296,,
hs90a,Scardino et al.(free)*,1.0,NEF,,0.0,0.0,0.0,88,4938,50,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,,
abl1,Scardino et al.(free)*,1.0,NEF,,13.4,22.309,13.4,182,10932,110,24.54,0.944,16.961,0.563,22.309,0.163,0.158,,
gria2,Scardino et al.(free)*,1.0,NEF,,24.0,31.592,24.0,158,12003,121,38.226,0.972,34.622,0.617,31.592,0.268,0.266,,
esr1,Scardino et al.(free)*,1.0,NEF,,20.4,37.086,20.4,383,21068,211,78.251,0.97,31.836,0.599,37.086,0.266,0.254,,
dhi1,Scardino et al.(free)*,1.0,NEF,,7.0,11.738,7.0,330,19680,197,23.123,0.886,7.798,0.531,11.738,0.079,0.076,,
pgh1,Scardino et al.(free)*,1.0,NEF,,1.9,3.37,1.9,195,10995,110,3.707,0.659,1.931,0.505,3.37,0.012,0.012,,
cdk2,Scardino et al.(free)*,1.0,NEF,,16.0,26.776,16.0,474,28324,284,76.043,0.956,21.485,0.576,26.776,0.197,0.19,,
ace,Scardino et al.(free)*,1.0,NEF,,14.0,22.978,14.0,282,17182,172,39.521,0.947,17.878,0.566,22.978,0.169,0.164,,
fa7,Scardino et al.(free)*,1.0,NEF,,26.6,47.649,26.6,114,6364,64,30.496,0.98,49.901,0.631,47.649,0.348,0.334,,
kpcb,Scardino et al.(free)*,1.0,NEF,,46.0,70.289,46.0,135,8835,89,62.557,0.993,152.457,0.73,70.289,0.565,0.553,,
igf1r,Scardino et al.(free)*,1.0,NEF,,30.0,46.994,30.0,148,9448,95,44.644,0.982,55.711,0.648,46.994,0.369,0.36,,
hxk4,Scardino et al.(free)*,1.0,NEF,,2.0,3.84,2.0,92,4792,48,1.843,0.671,2.04,0.505,3.84,0.014,0.013,,
prgr,Scardino et al.(free)*,1.0,NEF,,8.0,14.702,8.0,293,15943,160,23.524,0.902,9.207,0.536,14.702,0.096,0.092,,
nram,Scardino et al.(free)*,1.0,NEF,,2.0,3.112,2.0,98,6298,63,1.961,0.67,2.032,0.505,3.112,0.013,0.012,,
kith,Scardino et al.(free)*,1.0,NEF,,8.0,15.686,8.0,57,2907,30,4.706,0.903,9.302,0.537,15.686,0.101,0.096,,
ital,Scardino et al.(free)*,1.0,NEF,,10.6,16.934,10.6,138,8638,87,14.733,0.926,12.557,0.549,16.934,0.123,0.12,,
urok,Scardino et al.(free)*,1.0,NEF,,43.0,69.577,43.0,162,10012,101,70.272,0.993,139.051,0.715,69.577,0.544,0.529,,
andr,Scardino et al.(free)*,1.0,NEF,,7.0,12.88,7.0,269,14619,147,18.934,0.887,7.887,0.531,12.88,0.083,0.079,,
aa2ar,Gold,1.0,NEF,,17.01,25.596,17.01,482,32032,321,82.162,0.957,22.518,0.581,25.596,0.199,0.195,,0.29
abl1,Gold,1.0,NEF,,26.92,44.817,26.92,182,10932,110,49.299,0.98,47.971,0.633,44.817,0.34,0.329,,0.46
ace,Gold,1.0,NEF,,14.54,23.864,14.54,282,17182,172,41.046,0.949,18.784,0.569,23.864,0.176,0.171,,0.27
aces,Gold,1.0,NEF,,22.52,38.204,22.52,453,26703,268,102.386,0.973,35.824,0.61,38.204,0.285,0.275,,0.36
ada,Gold,1.0,NEF,,18.28,30.67,18.28,93,5543,56,17.175,0.963,25.924,0.589,30.67,0.228,0.221,,0.32
ada17,Gold,1.0,NEF,,20.49,29.921,20.49,532,36432,365,109.21,0.966,28.811,0.599,29.921,0.239,0.234,,0.34
adrb1,Gold,1.0,NEF,,27.53,42.243,27.53,247,16097,161,68.012,0.979,46.934,0.635,42.243,0.333,0.325,,0.45
adrb2,Gold,1.0,NEF,,26.41,40.055,26.41,231,15231,153,61.283,0.977,43.389,0.63,40.055,0.318,0.311,,0.42
akt1,Gold,1.0,NEF,,20.48,35.84,20.48,293,16743,168,60.211,0.969,31.361,0.599,35.84,0.262,0.252,,0.38
akt2,Gold,1.0,NEF,,41.03,68.413,41.03,117,7017,71,48.573,0.992,127.728,0.706,68.413,0.527,0.511,,0.63
aldr,Gold,1.0,NEF,,23.9,41.49,23.9,159,9159,92,38.171,0.976,40.139,0.617,41.49,0.307,0.295,,0.4
ampc,Gold,1.0,NEF,,0.0,0.0,0.0,48,2898,29,0.0,0.0,0.0,0.495,0.0,-0.013,-0.013,,0.04
andr,Gold,1.0,NEF,,1.12,2.061,1.12,269,14619,147,3.029,0.529,1.123,0.501,2.061,0.002,0.002,,0.04
aofb,Gold,1.0,NEF,,16.39,28.476,16.39,122,7022,71,20.218,0.957,22.517,0.579,28.476,0.207,0.199,,0.27
bace1,Gold,1.0,NEF,,25.44,39.164,25.44,283,18383,184,72.062,0.976,41.174,0.624,39.164,0.307,0.3,,0.41
braf,Gold,1.0,NEF,,25.0,37.616,25.0,152,10102,102,38.369,0.975,39.472,0.623,37.616,0.3,0.294,,0.39
cah2,Gold,1.0,NEF,,16.7,25.949,16.7,492,31664,317,82.257,0.957,22.202,0.58,25.949,0.198,0.194,,0.29
casp3,Gold,1.0,NEF,,25.13,45.884,25.13,199,10899,109,50.013,0.979,45.589,0.623,45.884,0.331,0.316,,0.49
cdk2,Gold,1.0,NEF,,15.82,26.475,15.82,474,28324,284,75.188,0.955,21.156,0.576,26.475,0.195,0.188,,0.29
comt,Gold,1.0,NEF,,70.73,74.529,70.73,41,3891,39,29.066,0.996,274.764,0.853,74.529,0.724,0.724,,0.82
cp2c9,Gold,1.0,NEF,,5.83,9.242,5.83,120,7570,76,7.024,0.863,6.322,0.525,9.242,0.062,0.06,,0.12
cp3a4,Gold,1.0,NEF,,12.35,17.54,12.35,170,11970,120,21.048,0.937,14.764,0.558,17.54,0.137,0.135,,0.22
csf1r,Gold,1.0,NEF,,19.28,25.986,19.28,166,12316,124,32.223,0.963,25.698,0.593,25.986,0.215,0.213,,0.34
cxcr4,Gold,1.0,NEF,,2.5,2.902,2.5,40,3446,35,1.016,0.718,2.545,0.508,2.902,0.016,0.016,,0.11
def,Gold,1.0,NEF,,26.47,46.535,26.47,102,5802,59,27.455,0.98,48.638,0.632,46.535,0.345,0.332,,0.48
dhi1,Gold,1.0,NEF,,8.79,14.739,8.79,330,19680,197,29.036,0.91,10.137,0.54,14.739,0.102,0.099,,0.16
dpp4,Gold,1.0,NEF,,20.08,25.8,20.08,533,41483,415,107.07,0.964,26.714,0.597,25.8,0.219,0.217,,0.3
drd3,Gold,1.0,NEF,,11.04,15.347,11.04,480,34530,346,53.099,0.928,12.86,0.551,15.347,0.12,0.118,,0.18
dyr,Gold,1.0,NEF,,48.48,64.247,48.48,231,17431,175,112.432,0.993,133.8,0.742,64.247,0.554,0.549,,0.66
egfr,Gold,1.0,NEF,,25.09,38.207,25.09,542,35592,356,136.018,0.976,39.985,0.622,38.207,0.301,0.294,,0.4
esr1,Gold,1.0,NEF,,24.61,44.739,24.61,383,21068,211,94.399,0.978,43.725,0.62,44.739,0.323,0.309,,0.42
esr2,Gold,1.0,NEF,,17.49,31.211,17.49,367,20566,206,64.294,0.961,24.972,0.584,31.211,0.224,0.214,,0.31
fa10,Gold,1.0,NEF,,34.26,63.743,34.26,537,28862,289,184.218,0.989,92.735,0.67,63.743,0.461,0.439,,0.72
fa7,Gold,1.0,NEF,,45.61,81.702,45.61,114,6364,64,52.29,0.996,244.802,0.728,81.702,0.607,0.582,,0.77
fabp4,Gold,1.0,NEF,,31.91,53.621,31.91,47,2797,28,15.014,0.985,67.646,0.657,53.621,0.406,0.393,,0.5
fak1,Gold,1.0,NEF,,29.0,53.211,29.0,100,5450,55,29.266,0.984,60.843,0.644,53.211,0.387,0.369,,0.52
fgfr1,Gold,1.0,NEF,,3.6,5.661,3.6,139,8839,89,5.039,0.79,3.756,0.513,5.661,0.033,0.032,,0.83
fkb1a,Gold,1.0,NEF,,25.0,46.946,25.0,111,5911,60,28.168,0.979,46.237,0.624,46.946,0.336,0.32,,0.39
fnta,Gold,1.0,NEF,,21.62,24.57,21.62,592,52092,521,128.01,0.966,28.337,0.604,24.57,0.222,0.222,,0.32
fpps,Gold,1.0,NEF,,91.76,87.293,91.76,85,8935,90,78.563,0.999,715.233,0.961,92.428,0.897,0.897,,0.97
gcr,Gold,1.0,NEF,,6.98,11.803,6.98,258,15258,153,18.058,0.886,7.78,0.53,11.803,0.079,0.076,,0.13
glcm,Gold,1.0,NEF,,27.78,38.924,27.78,54,3854,39,15.18,0.978,44.847,0.637,38.924,0.323,0.318,,0.4
gria2,Gold,1.0,NEF,,14.56,19.166,14.56,158,12003,121,23.191,0.947,17.775,0.569,19.166,0.158,0.157,,0.23
grik1,Gold,1.0,NEF,,29.7,45.101,29.7,101,6651,67,30.218,0.982,53.278,0.647,45.101,0.36,0.352,,0.47
hdac2,Gold,1.0,NEF,,16.76,29.572,16.76,185,10485,105,31.05,0.959,23.377,0.58,29.572,0.212,0.204,,0.32
hdac8,Gold,1.0,NEF,,10.0,16.008,10.0,170,10620,107,17.128,0.921,11.715,0.546,16.008,0.116,0.113,,0.21
hivint,Gold,1.0,NEF,,9.0,13.333,9.0,100,6750,68,9.067,0.911,10.231,0.541,13.333,0.099,0.097,,0.17
hivpr,Gold,1.0,NEF,,17.91,26.456,17.91,536,36286,363,96.035,0.96,23.993,0.586,26.456,0.208,0.204,,0.28
hivrt,Gold,1.0,NEF,,12.72,22.359,12.72,338,19229,193,43.152,0.942,16.095,0.56,22.359,0.158,0.152,,0.23
hmdh,Gold,1.0,NEF,,24.12,45.969,24.12,170,8920,90,41.372,0.978,43.79,0.619,45.969,0.325,0.309,,0.42
hs90a,Gold,1.0,NEF,,13.64,24.308,13.64,88,4938,50,12.154,0.947,17.699,0.565,24.308,0.172,0.165,,0.26
hxk4,Gold,1.0,NEF,,14.13,27.128,14.13,92,4792,48,13.021,0.95,19.018,0.567,27.128,0.185,0.175,,0.31
igf1r,Gold,1.0,NEF,,28.38,44.456,28.38,148,9448,95,42.234,0.981,50.295,0.64,44.456,0.348,0.34,,0.46
inha,Gold,1.0,NEF,,25.58,46.946,25.58,43,2343,24,11.267,0.979,47.33,0.628,46.946,0.342,0.327,,0.55
ital,Gold,1.0,NEF,,6.52,10.416,6.52,138,8638,87,9.062,0.877,7.162,0.528,10.416,0.071,0.069,,0.12
jak2,Gold,1.0,NEF,,28.97,46.917,28.97,107,6607,67,31.434,0.982,53.691,0.644,46.917,0.363,0.353,,0.49
kif11,Gold,1.0,NEF,,33.62,55.985,33.62,116,6966,70,39.19,0.987,75.111,0.667,55.985,0.428,0.414,,0.54
kit,Gold,1.0,NEF,,14.46,22.611,14.46,166,10616,107,24.194,0.948,18.393,0.569,22.611,0.171,0.167,,0.25
kith,Gold,1.0,NEF,,15.79,30.961,15.79,57,2907,30,9.288,0.957,22.423,0.578,30.961,0.214,0.203,,0.3
kpcb,Gold,1.0,NEF,,28.89,44.144,28.89,135,8835,89,39.288,0.981,50.932,0.643,44.144,0.35,0.343,,0.5
lck,Gold,1.0,NEF,,15.48,23.37,15.48,420,27820,279,65.203,0.952,19.896,0.574,23.37,0.18,0.177,,0.26
lkha4,Gold,1.0,NEF,,13.45,23.906,13.45,171,9621,97,23.188,0.946,17.361,0.564,23.906,0.169,0.162,,0.28
mapk2,Gold,1.0,NEF,,21.78,35.191,21.78,101,6251,63,22.17,0.971,33.063,0.606,35.191,0.269,0.261,,0.43
mcr,Gold,1.0,NEF,,2.13,3.818,2.13,94,5244,53,2.024,0.685,2.175,0.506,3.818,0.015,0.015,,0.05
met,Gold,1.0,NEF,,39.76,57.815,39.76,166,11416,115,66.487,0.989,92.881,0.698,57.815,0.475,0.467,,0.61
mk01,Gold,1.0,NEF,,20.25,34.559,20.25,79,4629,47,16.243,0.968,30.416,0.599,34.559,0.257,0.248,,0.44
mk10,Gold,1.0,NEF,,23.08,35.804,23.08,104,6704,68,24.347,0.973,35.395,0.614,35.804,0.281,0.274,,0.41
mk14,Gold,1.0,NEF,,14.19,22.515,14.19,578,36428,365,82.18,0.947,18.023,0.567,22.515,0.168,0.164,,0.26
mmp13,Gold,1.0,NEF,,25.7,38.919,25.7,572,37772,378,147.113,0.976,41.438,0.625,38.919,0.308,0.301,,0.4
mp2k1,Gold,1.0,NEF,,23.14,33.852,23.14,121,8271,83,28.098,0.972,34.471,0.613,33.852,0.272,0.267,,0.37
nos1,Gold,1.0,NEF,,20.0,24.54,20.0,100,8150,82,20.123,0.963,26.179,0.597,24.54,0.213,0.212,,0.3
nram,Gold,1.0,NEF,,19.39,30.172,19.39,98,6298,63,19.008,0.965,27.336,0.593,30.172,0.232,0.227,,0.39
pa2ga,Gold,1.0,NEF,,20.2,38.099,20.2,99,5249,53,20.192,0.97,32.017,0.599,38.099,0.269,0.256,,0.34
parp1,Gold,1.0,NEF,,14.17,23.556,14.17,508,30558,306,72.083,0.948,18.228,0.567,23.556,0.172,0.167,,0.24
pde5a,Gold,1.0,NEF,,10.55,15.024,10.55,398,27948,280,42.067,0.924,12.238,0.549,15.024,0.115,0.114,,0.18
pgh1,Gold,1.0,NEF,,14.36,25.468,14.36,195,10995,110,28.015,0.95,18.925,0.568,25.468,0.18,0.173,,0.25
pgh2,Gold,1.0,NEF,,18.62,34.343,18.62,435,23585,236,81.049,0.965,27.836,0.59,34.343,0.243,0.232,,0.33
plk1,Gold,1.0,NEF,,30.84,47.776,30.84,107,6907,70,33.443,0.983,58.138,0.654,47.776,0.379,0.37,,0.49
pnph,Gold,1.0,NEF,,25.24,36.86,25.24,103,7053,71,26.17,0.975,39.391,0.624,36.86,0.298,0.292,,0.47
ppara,Gold,1.0,NEF,,17.43,32.882,17.43,373,19772,198,65.106,0.962,25.479,0.584,32.882,0.229,0.218,,0.34
ppard,Gold,1.0,NEF,,12.08,23.212,12.08,240,12490,125,29.015,0.939,15.429,0.557,23.212,0.156,0.148,,0.24
pparg,Gold,1.0,NEF,,17.36,32.587,17.36,484,25784,258,84.075,0.962,25.268,0.583,32.587,0.227,0.216,,0.34
prgr,Gold,1.0,NEF,,2.39,4.392,2.39,293,15943,160,7.028,0.71,2.454,0.507,4.392,0.019,0.018,,0.07
ptn1,Gold,1.0,NEF,,41.54,73.173,41.54,130,7380,74,54.148,0.993,152.119,0.707,73.173,0.546,0.525,,0.66
pur2,Gold,1.0,NEF,,56.0,101.818,56.0,50,2750,28,28.509,1.0,inf,0.785,100.0,0.759,0.727,,0.95
pygm,Gold,1.0,NEF,,6.49,12.409,6.49,77,4027,41,5.088,0.879,7.268,0.528,12.409,0.078,0.074,,0.19
pyrd,Gold,1.0,NEF,,31.53,53.343,31.53,111,6561,66,35.206,0.985,66.435,0.656,53.343,0.404,0.39,,0.52
reni,Gold,1.0,NEF,,24.04,35.403,24.04,104,7062,71,25.136,0.973,36.667,0.618,35.403,0.284,0.279,,0.44
rock1,Gold,1.0,NEF,,12.0,18.75,12.0,100,6400,64,12.0,0.936,14.538,0.556,18.75,0.139,0.136,,0.24
rxra,Gold,1.0,NEF,,30.53,56.481,30.53,131,7081,71,40.102,0.986,68.856,0.651,56.481,0.408,0.389,,0.52
sahh,Gold,1.0,NEF,,42.86,76.863,42.86,63,3513,36,27.671,0.995,181.919,0.718,76.863,0.576,0.553,,0.69
src,Gold,1.0,NEF,,14.31,21.409,14.31,524,35024,351,75.147,0.947,17.936,0.568,21.409,0.165,0.162,,0.24
tgfr1,Gold,1.0,NEF,,38.35,59.082,38.35,133,8633,87,51.401,0.989,92.28,0.691,59.082,0.471,0.461,,0.6
thb,Gold,1.0,NEF,,31.07,42.37,31.07,103,7553,76,32.201,0.982,53.178,0.653,42.37,0.356,0.352,,0.46
thrb,Gold,1.0,NEF,,32.75,54.971,32.75,461,27465,275,151.17,0.986,71.51,0.662,54.971,0.417,0.403,,0.53
try1,Gold,1.0,NEF,,42.76,72.645,42.76,449,26429,265,192.508,0.994,153.657,0.713,72.645,0.553,0.533,,0.67
tryb1,Gold,1.0,NEF,,33.78,64.112,33.78,148,7798,78,50.007,0.989,92.339,0.667,64.112,0.458,0.435,,0.6
tysy,Gold,1.0,NEF,,45.87,72.894,45.87,109,6859,69,50.297,0.994,166.538,0.729,72.894,0.575,0.56,,0.7
urok,Gold,1.0,NEF,,43.21,69.916,43.21,162,10012,101,70.615,0.993,141.309,0.716,69.916,0.546,0.531,,0.66
vgfr2,Gold,1.0,NEF,,20.54,33.128,20.54,409,25359,254,84.144,0.968,30.22,0.599,33.128,0.252,0.244,,0.35
wee1,Gold,1.0,NEF,,61.76,100.76,61.76,102,6252,63,63.479,1.0,inf,0.811,100.0,0.789,0.767,,0.89
xiap,Gold,1.0,NEF,,26.0,49.524,26.0,100,5250,53,26.248,0.981,50.528,0.629,49.524,0.352,0.334,,0.5
aa2ar,Glide,1.0,NEF,,5.21,7.84,5.21,482,32032,321,25.166,0.848,5.568,0.521,7.84,0.052,0.051,,0.13
abl1,Glide,1.0,NEF,,17.42,29.001,17.42,182,10932,110,31.902,0.96,24.127,0.584,29.001,0.215,0.209,,0.33
ace,Glide,1.0,NEF,,5.42,8.896,5.42,282,17182,172,15.3,0.854,5.852,0.522,8.896,0.057,0.056,,0.09
aces,Glide,1.0,NEF,,8.13,13.792,8.13,453,26703,268,36.963,0.903,9.271,0.536,13.792,0.094,0.091,,0.16
ada,Glide,1.0,NEF,,5.38,9.027,5.38,93,5543,56,5.055,0.853,5.815,0.523,9.027,0.058,0.056,,0.15
ada17,Glide,1.0,NEF,,28.91,42.216,28.91,532,36432,365,154.088,0.98,49.301,0.642,42.216,0.342,0.336,,0.43
adrb1,Glide,1.0,NEF,,18.7,28.694,18.7,247,16097,161,46.198,0.963,25.823,0.59,28.694,0.222,0.217,,0.32
adrb2,Glide,1.0,NEF,,27.71,42.026,27.71,231,15231,153,64.3,0.979,47.073,0.636,42.026,0.334,0.327,,0.47
akt1,Glide,1.0,NEF,,10.92,19.11,10.92,293,16743,168,32.105,0.93,13.264,0.551,19.11,0.133,0.128,,0.21
akt2,Glide,1.0,NEF,,24.35,40.601,24.35,117,7017,71,28.826,0.976,40.31,0.62,40.601,0.307,0.298,,0.42
aldr,Glide,1.0,NEF,,27.67,48.035,27.67,159,9159,92,44.192,0.981,52.323,0.636,48.035,0.357,0.344,,0.43
ampc,Glide,1.0,NEF,,2.08,3.445,2.08,48,2898,29,0.999,0.679,2.119,0.505,3.445,0.014,0.014,,0.09
andr,Glide,1.0,NEF,,25.7,47.29,25.7,269,14619,147,69.516,0.98,47.86,0.627,47.29,0.341,0.325,,0.42
aofb,Glide,1.0,NEF,,6.67,11.588,6.67,122,7022,71,8.228,0.881,7.413,0.529,11.588,0.076,0.073,,0.14
bace1,Glide,1.0,NEF,,14.13,21.753,14.13,283,18383,184,40.025,0.947,17.78,0.567,21.753,0.165,0.161,,0.26
braf,Glide,1.0,NEF,,29.8,44.839,29.8,152,10102,102,45.735,0.982,53.21,0.648,44.839,0.36,0.352,,0.5
cah2,Glide,1.0,NEF,,3.89,6.044,3.89,492,31664,317,19.161,0.803,4.076,0.515,6.044,0.037,0.036,,0.08
casp3,Glide,1.0,NEF,,27.78,50.722,27.78,199,10899,109,55.287,0.982,55.345,0.636,50.722,0.367,0.351,,0.46
cdk2,Glide,1.0,NEF,,29.87,49.987,29.87,474,28324,284,141.964,0.983,58.725,0.647,49.987,0.379,0.367,,0.5
comt,Glide,1.0,NEF,,83.78,88.28,83.78,41,3891,39,34.429,0.999,707.322,0.919,88.28,0.86,0.859,,0.95
cp2c9,Glide,1.0,NEF,,0.88,1.395,0.88,120,7570,76,1.06,0.468,0.878,0.499,1.395,-0.002,-0.001,,0.04
cp3a4,Glide,1.0,NEF,,11.8,16.759,11.8,170,11970,120,20.11,0.933,13.974,0.555,16.759,0.13,0.128,,0.17
csf1r,Glide,1.0,NEF,,18.4,24.8,18.4,166,12316,124,30.752,0.96,24.138,0.589,24.8,0.205,0.203,,0.31
cxcr4,Glide,1.0,NEF,,0.0,0.0,0.0,40,3446,35,0.0,0.0,0.0,0.495,0.0,-0.011,-0.011,,0.01
def,Glide,1.0,NEF,,5.13,9.019,5.13,102,5802,59,5.321,0.847,5.539,0.521,9.019,0.056,0.054,,0.14
dhi1,Glide,1.0,NEF,,7.03,11.788,7.03,330,19680,197,23.223,0.887,7.836,0.531,11.788,0.079,0.077,,0.13
dpp4,Glide,1.0,NEF,,11.84,15.213,11.84,533,41483,415,63.133,0.932,13.785,0.555,15.213,0.124,0.123,,0.22
drd3,Glide,1.0,NEF,,1.69,2.349,1.69,480,34530,346,8.128,0.631,1.707,0.504,2.349,0.008,0.008,,0.04
dyr,Glide,1.0,NEF,,30.87,40.91,30.87,231,17431,175,71.592,0.981,51.55,0.652,40.91,0.349,0.345,,0.47
egfr,Glide,1.0,NEF,,24.95,37.994,24.95,542,35592,356,135.259,0.975,39.625,0.622,37.994,0.299,0.293,,0.41
esr1,Glide,1.0,NEF,,48.78,88.678,48.78,383,21068,211,187.111,0.998,423.021,0.744,88.678,0.654,0.625,,0.81
esr2,Glide,1.0,NEF,,44.26,78.982,44.26,367,20566,206,162.703,0.995,206.823,0.721,78.982,0.587,0.562,,0.75
fa10,Glide,1.0,NEF,,13.74,25.564,13.74,537,28862,289,73.881,0.948,18.115,0.565,25.564,0.176,0.168,,0.31
fa7,Glide,1.0,NEF,,44.04,78.89,44.04,114,6364,64,50.49,0.995,204.884,0.72,78.89,0.586,0.562,,0.71
fabp4,Glide,1.0,NEF,,25.58,42.984,25.58,47,2797,28,12.035,0.978,44.111,0.625,42.984,0.323,0.312,,0.48
fak1,Glide,1.0,NEF,,20.0,36.697,20.0,100,5450,55,20.183,0.969,31.014,0.598,36.697,0.262,0.251,,0.33
fgfr1,Glide,1.0,NEF,,0.0,0.0,0.0,139,8839,89,0.0,0.0,0.0,0.495,0.0,-0.013,-0.012,,0.04
fkb1a,Glide,1.0,NEF,,41.82,78.532,41.82,111,5911,60,47.119,0.995,191.142,0.711,78.532,0.572,0.545,,0.71
