Target,Model,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,NEF0.1,NEF0.5,NEF1,NEF5,REF0.1,REF0.5,REF1,REF5,Source,Notes
oprk1,GenScore(ft_0.5),0.643,0.04,,,,,,8.33,4.17,1.67,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pkm2,GenScore(ft_0.5),0.604,0.036,,,,,,4.03,3.3,2.05,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pparg,GenScore(ft_0.5),0.839,0.295,,,,,,43.11,25.62,8.89,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
tp53,GenScore(ft_0.5),0.597,0.03,,,,,,0,0,1.26,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
vdr,GenScore(ft_0.5),0.454,0.016,,,,,,1.81,1.47,1.02,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
adrb2,Surflex/Surflex,,,,,,,,,5.88,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
aldh1,Surflex/Surflex,,,,,,,,,0.96,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
esr1a,Surflex/Surflex,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
esr1t,Surflex/Surflex,,,,,,,,,0.98,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
fen1,Surflex/Surflex,,,,,,,,,4.34,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
gba,Surflex/Surflex,,,,,,,,,8.43,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
idh1,Surflex/Surflex,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
kat2a,Surflex/Surflex,,,,,,,,,2.58,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
mapk1,Surflex/Surflex,,,,,,,,,1.62,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
mtorc1,Surflex/Surflex,,,,,,,,,1.03,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
oprk1,Surflex/Surflex,,,,,,,,,4.17,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
pkm2,Surflex/Surflex,,,,,,,,,0.18,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
pparg,Surflex/Surflex,,,,,,,,,7.41,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
tp53,Surflex/Surflex,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
vdr,Surflex/Surflex,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
adrb2,Pafnucy/Surflex,,,,,,,,,11.76,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
aldh1,Pafnucy/Surflex,,,,,,,,,15.93,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
esr1a,Pafnucy/Surflex,,,,,,,,,7.69,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
esr1t,Pafnucy/Surflex,,,,,,,,,0.98,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
fen1,Pafnucy/Surflex,,,,,,,,,5.15,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
gba,Pafnucy/Surflex,,,,,,,,,9.64,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
idh1,Pafnucy/Surflex,,,,,,,,,2.56,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
kat2a,Pafnucy/Surflex,,,,,,,,,3.09,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
mapk1,Pafnucy/Surflex,,,,,,,,,1.3,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
mtorc1,Pafnucy/Surflex,,,,,,,,,1.03,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
oprk1,Pafnucy/Surflex,,,,,,,,,8.33,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
pkm2,Pafnucy/Surflex,,,,,,,,,0.37,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
pparg,Pafnucy/Surflex,,,,,,,,,11.11,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
tp53,Pafnucy/Surflex,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
vdr,Pafnucy/Surflex,,,,,,,,,0.91,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
adrb2,ΔVinaRF20/Surflex,,,,,,,,,11.76,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
aldh1,ΔVinaRF20/Surflex,,,,,,,,,15.74,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
esr1a,ΔVinaRF20/Surflex,,,,,,,,,7.69,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
esr1t,ΔVinaRF20/Surflex,,,,,,,,,0.98,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
fen1,ΔVinaRF20/Surflex,,,,,,,,,5.15,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
gba,ΔVinaRF20/Surflex,,,,,,,,,9.64,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
idh1,ΔVinaRF20/Surflex,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
kat2a,ΔVinaRF20/Surflex,,,,,,,,,3.61,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
mapk1,ΔVinaRF20/Surflex,,,,,,,,,1.3,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
mtorc1,ΔVinaRF20/Surflex,,,,,,,,,2.06,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
oprk1,ΔVinaRF20/Surflex,,,,,,,,,8.33,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
pkm2,ΔVinaRF20/Surflex,,,,,,,,,2.38,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
pparg,ΔVinaRF20/Surflex,,,,,,,,,11.11,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
tp53,ΔVinaRF20/Surflex,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
vdr,ΔVinaRF20/Surflex,,,,,,,,,0.91,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
adrb2,IFP/Surflex,,,,,,,,,23.53,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
aldh1,IFP/Surflex,,,,,,,,,15.35,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
esr1a,IFP/Surflex,,,,,,,,,7.69,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
esr1t,IFP/Surflex,,,,,,,,,5.88,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
fen1,IFP/Surflex,,,,,,,,,6.78,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
gba,IFP/Surflex,,,,,,,,,9.64,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
idh1,IFP/Surflex,,,,,,,,,1.61,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
kat2a,IFP/Surflex,,,,,,,,,3.61,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
mapk1,IFP/Surflex,,,,,,,,,1.62,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
mtorc1,IFP/Surflex,,,,,,,,,3.61,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
oprk1,IFP/Surflex,,,,,,,,,12.5,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
pkm2,IFP/Surflex,,,,,,,,,7.14,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
pparg,IFP/Surflex,,,,,,,,,11.11,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
tp53,IFP/Surflex,,,,,,,,,0.66,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
vdr,IFP/Surflex,,,,,,,,,1.24,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
adrb2,GRIM/Surflex,,,,,,,,,17.65,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
aldh1,GRIM/Surflex,,,,,,,,,15.76,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
esr1a,GRIM/Surflex,,,,,,,,,7.69,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
esr1t,GRIM/Surflex,,,,,,,,,0.98,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
fen1,GRIM/Surflex,,,,,,,,,7.32,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
gba,GRIM/Surflex,,,,,,,,,10.84,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
idh1,GRIM/Surflex,,,,,,,,,2.56,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
kat2a,GRIM/Surflex,,,,,,,,,3.61,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
mapk1,GRIM/Surflex,,,,,,,,,3.9,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
mtorc1,GRIM/Surflex,,,,,,,,,2.06,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
oprk1,GRIM/Surflex,,,,,,,,,12.5,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
pkm2,GRIM/Surflex,,,,,,,,,5.86,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
pparg,GRIM/Surflex,,,,,,,,,11.11,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
tp53,GRIM/Surflex,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
vdr,GRIM/Surflex,,,,,,,,,1.24,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,Not sure if NEF or EF
aldh1,TB-IECS†(10/15),0.61,,,,,,,,8.96,,,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,Using NEF
esr1t,TB-IECS†(10/15),0.697,,,,,,,,2.8,,,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,Using NEF
fen1,TB-IECS†(10/15),0.812,,,,,,,,1.143,,,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,Using NEF
gba,TB-IECS†(10/15),0.689,,,,,,,,0,,,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,Using NEF
kat2a,TB-IECS†(10/15),0.523,,,,,,,,1.299,,,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,Using NEF
mapk1,TB-IECS†(10/15),0.697,,,,,,,,0,,,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,Using NEF
mtorc1,TB-IECS†(10/15),0.511,,,,,,,,0,,,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,Using NEF
pkm2,TB-IECS†(10/15),0.632,,,,,,,,1.198,,,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,Using NEF
tp53,TB-IECS†(10/15),0.654,,,,,,,,7.279,,,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,Using NEF
vdr,TB-IECS†(10/15),0.609,,,,,,,,0.543,,,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,Using NEF
fen1,KIDA†(3/15),,,,,,,,12.319,11.957,4.348,,,,,KIDA,
kat2a,KIDA†(3/15),,,,,,,,9.722,6.25,3.611,,,,,KIDA,
pkm2,KIDA†(3/15),,,,,,,,2.451,2.451,2.794,,,,,KIDA,
adrb2,DENVIS D-G,0.6,0.19,,,,,,,25,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
aldh1,DENVIS D-G,0.54,0.07,,,,,,,1.38,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
esr1a,DENVIS D-G,0.66,0.1,,,,,,,8.33,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
esr1t,DENVIS D-G,0.52,0.04,,,,,,,0.99,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
fen1,DENVIS D-G,0.58,0.04,,,,,,,3.26,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
gba,DENVIS D-G,0.46,0.03,,,,,,,3.03,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
idh1,DENVIS D-G,0.46,0.01,,,,,,,0,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
kat2a,DENVIS D-G,0.39,0.01,,,,,,,0.52,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
mapk1,DENVIS D-G,0.61,0.05,,,,,,,3.58,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
mtorc1,DENVIS D-G,0.57,0.01,,,,,,,1.04,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
oprk1,DENVIS D-G,0.82,0.01,,,,,,,0,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
pkm2,DENVIS D-G,0.49,0.01,,,,,,,0.55,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
pparg,DENVIS D-G,0.76,0.15,,,,,,,11.54,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
tp53,DENVIS D-G,0.52,0.04,,,,,,,1.28,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
vdr,DENVIS D-G,0.57,0.05,,,,,,,4.42,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
adrb2,GNINA,0.52,0.01,,,,,,,0,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
aldh1,GNINA,0.6,0.09,,,,,,,1.88,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
esr1a,GNINA,0.71,0.12,,,,,,,15.38,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
esr1t,GNINA,0.72,0.12,,,,,,,5.88,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
fen1,GNINA,0.55,0.02,,,,,,,1.9,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
gba,GNINA,0.71,0.1,,,,,,,9.04,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
idh1,GNINA,0.69,0.12,,,,,,,12.82,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
kat2a,GNINA,0.41,0.02,,,,,,,1.55,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
mapk1,GNINA,0.62,0.02,,,,,,,1.62,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
mtorc1,GNINA,0.49,0.01,,,,,,,1.03,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
oprk1,GNINA,0.8,0.07,,,,,,,8.33,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
pkm2,GNINA,0.61,0.01,,,,,,,0.55,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
pparg,GNINA,0.76,0.06,,,,,,,7.41,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
tp53,GNINA,0.56,0.03,,,,,,,1.27,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
vdr,GNINA,0.39,0.01,,,,,,,0.79,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
adrb2,DDTA,0.37,0,,,,,,,0,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
aldh1,DDTA,0.58,0.08,,,,,,,1.42,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
esr1a,DDTA,0.66,0.02,,,,,,,0,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
esr1t,DDTA,0.63,0.04,,,,,,,0,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
fen1,DDTA,0.49,0.01,,,,,,,0.27,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
gba,DDTA,0.55,0.03,,,,,,,4.22,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
idh1,DDTA,0.7,0.06,,,,,,,5.13,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
kat2a,DDTA,0.48,0.02,,,,,,,1.03,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
mapk1,DDTA,0.58,0.02,,,,,,,0.65,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
mtorc1,DDTA,0.47,0.01,,,,,,,1.03,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
oprk1,DDTA,0.69,0.03,,,,,,,4.17,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
pkm2,DDTA,0.57,0.01,,,,,,,0.55,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
pparg,DDTA,0.68,0,,,,,,,0,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
tp53,DDTA,0.57,0.04,,,,,,,2.53,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
vdr,DDTA,0.42,0.01,,,,,,,1.02,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,Uses non normalized EF
adrb2,GlideSP@PLANET,0.57,,,,,,,,5.55,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
aldh1,GlideSP@PLANET,0.78,,,,,,,,10.33,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
esr1a,GlideSP@PLANET,0.51,,,,,,,,7.1,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
esr1t,GlideSP@PLANET,0.45,,,,,,,,0.41,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
fen1,GlideSP@PLANET,0.4,,,,,,,,0.6,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
gba,GlideSP@PLANET,0.58,,,,,,,,4.2,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
idh1,GlideSP@PLANET,0.21,,,,,,,,0.14,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
kat2a,GlideSP@PLANET,0.49,,,,,,,,1.5,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
mapk1,GlideSP@PLANET,0.55,,,,,,,,1.29,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
