Target,Model,AUC,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,NEF0.1,NEF0.5,NEF1,NEF5,Source,Notes
cox1,Autodock Vina,,0.757,0.338,,,,,,15.192,7.596,6.077,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
cox2,Autodock Vina,,0.711,0.458,,,,,,38.875,19.438,4.859,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ctsk,Autodock Vina,,0.545,0.046,,,,,,0,0,2.79,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
cyp2a6,Autodock Vina,,0.251,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
dhfr,Autodock Vina,,0.469,0.014,,,,,,0,0,1.327,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
egfr,Autodock Vina,,0.524,0.106,,,,,,0,0,2.024,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ephb4,Autodock Vina,,0.756,0.046,,,,,,0,0,1.212,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
erbb2,Autodock Vina,,0.789,0.306,,,,,,14.367,8.62,5.877,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
er-beta,Autodock Vina,,0.526,0.051,,,,,,0,0,4.75,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
fgfr1,Autodock Vina,,0.564,0.002,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
fkbp1a,Autodock Vina,,0.472,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
fxa,Autodock Vina,,0.788,0.281,,,,,,0,10.472,6.614,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
gba,Autodock Vina,,0.405,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
gr,Autodock Vina,,0.615,0.008,,,,,,0,0,1.109,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
gsk3b,Autodock Vina,,0.596,0.001,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hdac2,Autodock Vina,,0.691,0.241,,,,,,0,11.893,8.395,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hdac8,Autodock Vina,,0.633,0.015,,,,,,0,0,2.216,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hiv1pr,Autodock Vina,,0.855,0.485,,,,,,15.175,13.007,6.853,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hiv1rt,Autodock Vina,,0.356,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hmgr,Autodock Vina,,0.524,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hsp90,Autodock Vina,,0.435,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
igf1r,Autodock Vina,,0.662,0.219,,,,,,13.333,6.667,3.077,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
inha,Autodock Vina,,0.666,0.601,,,,,,38.75,19.375,4.844,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
itk,Autodock Vina,,0.506,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jak3,Autodock Vina,,0.759,0.477,,,,,,8.778,10.533,7.681,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jnk1,Autodock Vina,,0.613,0.183,,,,,,10.667,6.4,1.391,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jnk2,Autodock Vina,,0.466,0.011,,,,,,0,0,1.732,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jnk3,Autodock Vina,,0.715,0.055,,,,,,0,0,3.021,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
kif11,Autodock Vina,,0.895,0.052,,,,,,0,0,3.705,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
lck,Autodock Vina,,0.592,0.199,,,,,,10.157,5.078,2.344,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
mdm2,Autodock Vina,,0.524,0.002,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
mk2,Autodock Vina,,0.914,0.397,,,,,,0,21.3,9.682,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
mmp2,Autodock Vina,,0.62,0.002,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
na,Autodock Vina,,0.495,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
p38-alpha,Autodock Vina,,0.592,0.308,,,,,,23.667,14.2,3.227,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
parp-1,Autodock Vina,,0.796,0.209,,,,,,0,0,9.893,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pde4b,Autodock Vina,,0.698,0.124,,,,,,0,5.046,2.163,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pde5,Autodock Vina,,0.472,0.164,,,,,,19.037,9.519,2.197,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pdk1,Autodock Vina,,0.822,0.278,,,,,,19.25,9.625,3.85,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pi3kg,Autodock Vina,,0.701,0.006,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pim-1,Autodock Vina,,0.814,0.251,,,,,,12.879,7.727,3.512,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pim-2,Autodock Vina,,0.717,0.486,,,,,,27.6,16.56,5.914,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pnp,Autodock Vina,,0.815,0.014,,,,,,0,0,6.538,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ppara,Autodock Vina,,0.847,0.045,,,,,,0,0,2.987,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pparg,Autodock Vina,,0.776,0.129,,,,,,0,6.862,1.492,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pr,Autodock Vina,,0.678,0.002,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
prkcq,Autodock Vina,,0.749,0.137,,,,,,0,0,5.978,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pygl-in,Autodock Vina,,0.674,0.001,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pygl-out,Autodock Vina,,0.855,0.352,,,,,,14.944,14.944,8.302,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
qpct,Autodock Vina,,0.421,0.003,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
rock-1,Autodock Vina,,0.503,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
rxr,Autodock Vina,,0.544,0.237,,,,,,23.563,11.781,2.48,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
sars-hcov,Autodock Vina,,0.503,0.07,,,,,,0,0,2.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
sirt2,Autodock Vina,,0.543,0.216,,,,,,9.25,5.55,3.62,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
src,Autodock Vina,,0.484,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
thrombin,Autodock Vina,,0.663,0.138,,,,,,0,7.85,3.271,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tie2,Autodock Vina,,0.566,0.004,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tk,Autodock Vina,,0.52,0.32,,,,,,0,6.354,4.766,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tp,Autodock Vina,,0.516,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tpa,Autodock Vina,,0.735,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ts,Autodock Vina,,0.738,0.358,,,,,,12.028,14.433,4.92,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
upa,Autodock Vina,,0.766,0.297,,,,,,24.583,16.389,3.278,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
vegfr1,Autodock Vina,,0.82,0.499,,,,,,33.75,22.5,4.821,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
vegfr2,Autodock Vina,,0.637,0.065,,,,,,0,0,5.59,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
17betahsd1,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
ace2,DLIGAND2,,,,,,,,,,4.88,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
ache,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
akt1,DLIGAND2,,,,,,,,,,4.88,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
alr2,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
ar,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
aurka,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
aurkb,DLIGAND2,,,,,,,,,,4.88,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
bcl2,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
catl,DLIGAND2,,,,,,,,,,7.32,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
cdk2,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
ctsk,DLIGAND2,,,,,,,,,,4.88,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
cyp2a6,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
dhfr,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
egfr,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
ephb4,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
erbb2,DLIGAND2,,,,,,,,,,19.51,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
er-beta,DLIGAND2,,,,,,,,,,4.88,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
gsk3b,DLIGAND2,,,,,,,,,,4.88,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
hiv1pr,DLIGAND2,,,,,,,,,,19.51,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
itk,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
jak3,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
jnk1,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
jnk2,DLIGAND2,,,,,,,,,,12.2,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
mdm2,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
mk2,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
mmp2,DLIGAND2,,,,,,,,,,9.76,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
na,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
p38-alpha,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
pde4b,DLIGAND2,,,,,,,,,,9.76,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
pde5,DLIGAND2,,,,,,,,,,12.2,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
pdk1,DLIGAND2,,,,,,,,,,4.88,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
pi3kg,DLIGAND2,,,,,,,,,,7.32,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
pim-1,DLIGAND2,,,,,,,,,,4.88,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
pim-2,DLIGAND2,,,,,,,,,,2.5,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
pnp,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
pparg,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
pr,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
prkcq,DLIGAND2,,,,,,,,,,4.88,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
pygl-in,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
pygl-out,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
qpct,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
sars-hcov,DLIGAND2,,,,,,,,,,2.66,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
src,DLIGAND2,,,,,,,,,,2.61,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
thrombin,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
tie2,DLIGAND2,,,,,,,,,,17.07,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
tk,DLIGAND2,,,,,,,,,,2.44,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
tp,DLIGAND2,,,,,,,,,,19.51,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
tpa,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
ts,DLIGAND2,,,,,,,,,,7.32,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
vegfr1,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
vegfr2,DLIGAND2,,,,,,,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4,Uses NEF
11betahsd1,GenScore(ft_0.5),,0.579,0.032,,,,,,0,0,1.99,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
17betahsd1,GenScore(ft_0.5),,0.524,0.019,,,,,,0,0,0.99,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
a2a,GenScore(ft_0.5),,0.769,0.576,,,,,,30.53,16.44,7.88,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
ace,GenScore(ft_0.5),,0.833,0.887,,,,,,30.9,30.9,11.96,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
ace2,GenScore(ft_0.5),,0.844,0.382,,,,,,22.13,14.3,5,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
ache,GenScore(ft_0.5),,0.535,0.047,,,,,,0,2.35,0.99,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
adam17,GenScore(ft_0.5),,0.854,0.656,,,,,,26.36,21.29,9.42,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
adrb2,GenScore(ft_0.5),,0.699,0.159,,,,,,9.47,4.74,2.49,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
akt1,GenScore(ft_0.5),,0.725,0.436,,,,,,20.15,15.12,8.2,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
alr2,GenScore(ft_0.5),,0.613,0.155,,,,,,8.77,4.72,3.47,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
ar,GenScore(ft_0.5),,0.937,0.712,,,,,,11.78,16.83,9.57,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
aurka,GenScore(ft_0.5),,0.915,0.904,,,,,,31.05,28.66,13.74,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
aurkb,GenScore(ft_0.5),,0.897,0.891,,,,,,30.33,27.99,13.42,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
bcl2,GenScore(ft_0.5),,0.596,0.077,,,,,,4.34,2.34,1,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
braf,GenScore(ft_0.5),,0.874,0.243,,,,,,4.42,7.14,7.6,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
catl,GenScore(ft_0.5),,0.635,0.067,,,,,,0,0,2.98,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
cdk2,GenScore(ft_0.5),,0.842,0.667,,,,,,25.62,23.06,9.74,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
cox1,GenScore(ft_0.5),,0.746,0.39,,,,,,14.38,11.99,5.55,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
cox2,GenScore(ft_0.5),,0.845,0.45,,,,,,9.23,10.26,7.51,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
ctsk,GenScore(ft_0.5),,0.574,0.301,,,,,,17.57,11.83,2.98,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
cyp2a6,GenScore(ft_0.5),,0.44,0.005,,,,,,0,0,0.55,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
dhfr,GenScore(ft_0.5),,0.812,0.769,,,,,,30.42,25.74,11.47,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
egfr,GenScore(ft_0.5),,0.833,0.63,,,,,,26.46,23.75,9.11,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
ephb4,GenScore(ft_0.5),,0.875,0.751,,,,,,31.18,31.18,10.22,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
erbb2,GenScore(ft_0.5),,0.979,0.984,,,,,,29.43,29.43,17.46,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
er-beta,GenScore(ft_0.5),,0.934,0.802,,,,,,28.45,22.13,13.55,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
fgfr1,GenScore(ft_0.5),,0.881,0.796,,,,,,30.33,30.33,10.11,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
fkbp1a,GenScore(ft_0.5),,0.68,0.648,,,,,,32.34,24.88,9.39,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
fxa,GenScore(ft_0.5),,0.876,0.876,,,,,,30.54,30.54,11.71,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
gba,GenScore(ft_0.5),,0.398,0.18,,,,,,8.82,4.75,2.49,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
gr,GenScore(ft_0.5),,0.596,0.26,,,,,,17.44,9.39,2.46,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
gsk3b,GenScore(ft_0.5),,0.882,0.646,,,,,,26.42,21.34,7.58,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
hdac2,GenScore(ft_0.5),,0.704,0.265,,,,,,17.23,9.28,1.98,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
hdac8,GenScore(ft_0.5),,0.377,0,,,,,,0,0,0,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
hiv1pr,GenScore(ft_0.5),,0.791,0.78,,,,,,34.46,31.81,10.73,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
hiv1rt,GenScore(ft_0.5),,0.692,0.329,,,,,,18.78,12.64,3.77,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
hmgr,GenScore(ft_0.5),,0.986,1.043,,,,,,30.9,30.9,18.44,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
hsp90,GenScore(ft_0.5),,0.771,0.779,,,,,,30.33,30.33,10.44,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
igf1r,GenScore(ft_0.5),,0.525,0.311,,,,,,20.21,10.11,4.18,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
inha,GenScore(ft_0.5),,0.481,0.156,,,,,,8.76,4.72,1.98,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
itk,GenScore(ft_0.5),,0.603,0.216,,,,,,8.69,9.35,2.49,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
jak3,GenScore(ft_0.5),,0.878,0.822,,,,,,30.69,28.13,11.25,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
jnk1,GenScore(ft_0.5),,0.747,0.596,,,,,,31.37,26.14,7.84,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
