Target,Model,ROCE1,EF1,NEF1,AUC_ROC,AUC,BEDROC,Source,Notes
hivrt,Scardino et al.(free)*,,,5,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
dyr,Scardino et al.(free)*,,,14.5,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
aldr,Scardino et al.(free)*,,,24,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
lkha4,Scardino et al.(free)*,,,23.6,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
ptn1,Scardino et al.(free)*,,,30,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
pyrd,Scardino et al.(free)*,,,28.3,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
reni,Scardino et al.(free)*,,,12.5,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
hdac2,Scardino et al.(free)*,,,23.9,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
hs90a,Scardino et al.(free)*,,,0,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
abl1,Scardino et al.(free)*,,,13.4,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
gria2,Scardino et al.(free)*,,,24,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
esr1,Scardino et al.(free)*,,,20.4,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
dhi1,Scardino et al.(free)*,,,7,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
pgh1,Scardino et al.(free)*,,,1.9,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
cdk2,Scardino et al.(free)*,,,16,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
ace,Scardino et al.(free)*,,,14,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
fa7,Scardino et al.(free)*,,,26.6,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
kpcb,Scardino et al.(free)*,,,46,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
igf1r,Scardino et al.(free)*,,,30,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
hxk4,Scardino et al.(free)*,,,2,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
prgr,Scardino et al.(free)*,,,8,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
nram,Scardino et al.(free)*,,,2,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
kith,Scardino et al.(free)*,,,8,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
ital,Scardino et al.(free)*,,,10.6,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
urok,Scardino et al.(free)*,,,43,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
andr,Scardino et al.(free)*,,,7,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
aa2ar,Gold,,,17.01,,0.87,0.29,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
abl1,Gold,,,26.92,,0.9,0.46,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ace,Gold,,,14.54,,0.74,0.27,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
aces,Gold,,,22.52,,0.75,0.36,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ada,Gold,,,18.28,,0.91,0.32,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ada17,Gold,,,20.49,,0.77,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
adrb1,Gold,,,27.53,,0.86,0.45,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
adrb2,Gold,,,26.41,,0.87,0.42,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
akt1,Gold,,,20.48,,0.91,0.38,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
akt2,Gold,,,41.03,,0.94,0.63,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
aldr,Gold,,,23.9,,0.79,0.4,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ampc,Gold,,,0,,0.75,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
andr,Gold,,,1.12,,0.57,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
aofb,Gold,,,16.39,,0.84,0.27,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
bace1,Gold,,,25.44,,0.78,0.41,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
braf,Gold,,,25,,0.91,0.39,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
cah2,Gold,,,16.7,,0.82,0.29,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
casp3,Gold,,,25.13,,0.91,0.49,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
cdk2,Gold,,,15.82,,0.85,0.29,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
comt,Gold,,,70.73,,0.99,0.82,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
cp2c9,Gold,,,5.83,,0.82,0.12,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
cp3a4,Gold,,,12.35,,0.77,0.22,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
csf1r,Gold,,,19.28,,0.87,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
cxcr4,Gold,,,2.5,,0.92,0.11,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
def,Gold,,,26.47,,0.91,0.48,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
dhi1,Gold,,,8.79,,0.75,0.16,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
dpp4,Gold,,,20.08,,0.75,0.3,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
drd3,Gold,,,11.04,,0.73,0.18,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
dyr,Gold,,,48.48,,0.92,0.66,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
egfr,Gold,,,25.09,,0.84,0.4,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
esr1,Gold,,,24.61,,0.76,0.42,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
esr2,Gold,,,17.49,,0.79,0.31,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fa10,Gold,,,34.26,,0.9,0.72,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fa7,Gold,,,45.61,,0.97,0.77,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fabp4,Gold,,,31.91,,0.87,0.5,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fak1,Gold,,,29,,0.95,0.52,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fgfr1,Gold,,,3.6,,0.7,0.83,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fkb1a,Gold,,,25,,0.84,0.39,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fnta,Gold,,,21.62,,0.78,0.32,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fpps,Gold,,,91.76,,1,0.97,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
gcr,Gold,,,6.98,,0.54,0.13,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
glcm,Gold,,,27.78,,0.9,0.4,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
gria2,Gold,,,14.56,,0.83,0.23,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
grik1,Gold,,,29.7,,0.92,0.47,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hdac2,Gold,,,16.76,,0.88,0.32,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hdac8,Gold,,,10,,0.87,0.21,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hivint,Gold,,,9,,0.78,0.17,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hivpr,Gold,,,17.91,,0.64,0.28,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hivrt,Gold,,,12.72,,0.8,0.23,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hmdh,Gold,,,24.12,,0.87,0.42,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hs90a,Gold,,,13.64,,0.85,0.26,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hxk4,Gold,,,14.13,,0.88,0.31,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
igf1r,Gold,,,28.38,,0.9,0.46,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
inha,Gold,,,25.58,,0.96,0.55,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ital,Gold,,,6.52,,0.8,0.12,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
jak2,Gold,,,28.97,,0.94,0.49,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
kif11,Gold,,,33.62,,0.89,0.54,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
kit,Gold,,,14.46,,0.83,0.25,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
kith,Gold,,,15.79,,0.87,0.3,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
kpcb,Gold,,,28.89,,0.9,0.5,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
lck,Gold,,,15.48,,0.8,0.26,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
lkha4,Gold,,,13.45,,0.85,0.28,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
mapk2,Gold,,,21.78,,0.91,0.43,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
mcr,Gold,,,2.13,,0.54,0.05,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
met,Gold,,,39.76,,0.93,0.61,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
mk01,Gold,,,20.25,,0.94,0.44,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
mk10,Gold,,,23.08,,0.91,0.41,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
mk14,Gold,,,14.19,,0.82,0.26,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
mmp13,Gold,,,25.7,,0.76,0.4,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
mp2k1,Gold,,,23.14,,0.86,0.37,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
nos1,Gold,,,20,,0.87,0.3,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
nram,Gold,,,19.39,,0.93,0.39,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
pa2ga,Gold,,,20.2,,0.82,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
parp1,Gold,,,14.17,,0.8,0.24,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
pde5a,Gold,,,10.55,,0.73,0.18,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
pgh1,Gold,,,14.36,,0.73,0.25,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
pgh2,Gold,,,18.62,,0.77,0.33,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
plk1,Gold,,,30.84,,0.9,0.49,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
pnph,Gold,,,25.24,,0.94,0.47,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ppara,Gold,,,17.43,,0.85,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ppard,Gold,,,12.08,,0.84,0.24,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
pparg,Gold,,,17.36,,0.84,0.34,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
prgr,Gold,,,2.39,,0.64,0.07,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ptn1,Gold,,,41.54,,0.91,0.66,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
pur2,Gold,,,56,,1,0.95,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
pygm,Gold,,,6.49,,0.8,0.19,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
pyrd,Gold,,,31.53,,0.85,0.52,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
reni,Gold,,,24.04,,0.85,0.44,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
rock1,Gold,,,12,,0.9,0.24,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
rxra,Gold,,,30.53,,0.82,0.52,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
sahh,Gold,,,42.86,,0.89,0.69,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
src,Gold,,,14.31,,0.77,0.24,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
tgfr1,Gold,,,38.35,,0.96,0.6,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
thb,Gold,,,31.07,,0.91,0.46,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
thrb,Gold,,,32.75,,0.85,0.53,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
try1,Gold,,,42.76,,0.88,0.67,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
tryb1,Gold,,,33.78,,0.9,0.6,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
tysy,Gold,,,45.87,,0.94,0.7,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
urok,Gold,,,43.21,,0.91,0.66,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
vgfr2,Gold,,,20.54,,0.82,0.35,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
wee1,Gold,,,61.76,,0.98,0.89,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
xiap,Gold,,,26,,0.94,0.5,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
aa2ar,Glide,,,5.21,,0.8,0.13,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
abl1,Glide,,,17.42,,0.74,0.33,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ace,Glide,,,5.42,,0.72,0.09,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
aces,Glide,,,8.13,,0.67,0.16,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ada,Glide,,,5.38,,0.68,0.15,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ada17,Glide,,,28.91,,0.81,0.43,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
adrb1,Glide,,,18.7,,0.88,0.32,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
adrb2,Glide,,,27.71,,0.88,0.47,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
akt1,Glide,,,10.92,,0.78,0.21,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
akt2,Glide,,,24.35,,0.85,0.42,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
aldr,Glide,,,27.67,,0.79,0.43,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
ampc,Glide,,,2.08,,0.79,0.09,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
andr,Glide,,,25.7,,0.84,0.42,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
aofb,Glide,,,6.67,,0.76,0.14,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
bace1,Glide,,,14.13,,0.82,0.26,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
braf,Glide,,,29.8,,0.86,0.5,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
cah2,Glide,,,3.89,,0.77,0.08,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
casp3,Glide,,,27.78,,0.76,0.46,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
cdk2,Glide,,,29.87,,0.88,0.5,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
comt,Glide,,,83.78,,1,0.95,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
cp2c9,Glide,,,0.88,,0.64,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
cp3a4,Glide,,,11.8,,0.72,0.17,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
csf1r,Glide,,,18.4,,0.8,0.31,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
cxcr4,Glide,,,0,,0.72,0.01,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
def,Glide,,,5.13,,0.87,0.14,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
dhi1,Glide,,,7.03,,0.68,0.13,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
dpp4,Glide,,,11.84,,0.87,0.22,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
drd3,Glide,,,1.69,,0.72,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
dyr,Glide,,,30.87,,0.87,0.47,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
egfr,Glide,,,24.95,,0.84,0.41,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
esr1,Glide,,,48.78,,0.91,0.81,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
esr2,Glide,,,44.26,,0.94,0.75,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fa10,Glide,,,13.74,,0.68,0.31,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fa7,Glide,,,44.04,,0.91,0.71,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fabp4,Glide,,,25.58,,0.85,0.48,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fak1,Glide,,,20,,0.8,0.33,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fgfr1,Glide,,,0,,0.48,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fkb1a,Glide,,,41.82,,0.87,0.71,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fnta,Glide,,,6.85,,0.75,0.12,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
fpps,Glide,,,1.23,,0.55,0.01,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
gcr,Glide,,,16.56,,0.72,0.25,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
glcm,Glide,,,11.11,,0.65,0.18,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
gria2,Glide,,,33.33,,0.77,0.48,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
grik1,Glide,,,20,,0.9,0.33,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hdac2,Glide,,,15.84,,0.63,0.27,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hdac8,Glide,,,2.45,,0.88,0.1,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hivint,Glide,,,2.06,,0.72,0.04,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hivpr,Glide,,,9.14,,0.72,0.16,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hivrt,Glide,,,22.94,,0.83,0.41,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hmdh,Glide,,,39.41,,0.92,0.69,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hs90a,Glide,,,1.16,,0.65,0.03,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
hxk4,Glide,,,22.83,,0.57,0.38,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
igf1r,Glide,,,32.65,,0.86,0.5,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
inha,Glide,,,9.3,,0.56,0.15,https://pubs.acs.org/doi/10.1021/acs.jcim.2c01057,Uses non-normalized EF
